driver	gran	opt	pmean	pstd	seed	acc	probe	mabs	g_h0	g_h1	g_out
er	-	sgd	-	-	42	0.903365	nan	0	0	0	0
er	-	adam	-	-	42	0.897549	nan	0	0	0	0
ach	synapse	sgd	0	0	42	0.903365	0.252	0.174829	0	0	0
nerisez	synapse	sgd	0	0	42	0.903365	0.2485	0.69348	0	0	0
vecproj	neuron	sgd	0	0	42	0.903365	0.6847	0.688784	0	0	0
ach	synapse	adam	0	0	42	0.897549	0.2483	0.10084	0	0	0
nerisez	synapse	adam	0	0	42	0.897549	0.2459	1.29676	0	0	0
vecproj	neuron	adam	0	0	42	0.897549	0.6847	0.688784	0	0	0
ach	synapse	sgd	0	1	42	0.888225	0.2677	1.82688	0.0335903	0.0426922	0.076315
ach	synapse	sgd	1	1	42	0.870688	0.24	1.99597	0.0703507	0.0808064	0.173624
ach	synapse	sgd	10	1	42	0.0926714	nan	nan	nan	nan	nan
ach	synapse	sgd	0	10	42	0.0926714	nan	nan	nan	nan	nan
ach	synapse	sgd	1	10	42	0.0926714	nan	nan	nan	nan	nan
ach	synapse	sgd	10	10	42	0.0926714	nan	nan	nan	nan	nan
ach	synapse	adam	0	1	42	0.897224	0.258	2.2918	0.0379777	0.0510692	0.0612623
ach	synapse	adam	1	1	42	0.883919	0.2585	2.29358	0.0522334	0.0704518	0.0745748
ach	synapse	adam	10	1	42	0.358159	0.2973	2.29935	0.439704	0.587957	0.547765
ach	synapse	adam	0	10	42	0.839607	0.233	2.29984	0.34925	0.471453	0.393204
ach	synapse	adam	1	10	42	0.821137	0.22	2.30063	0.35142	0.473694	0.390278
ach	synapse	adam	10	10	42	0.761156	0.2459	2.3008	0.515414	0.692146	0.561342
nerisez	synapse	sgd	0	1	42	0.0926714	0.2115	0	nan	nan	nan
nerisez	synapse	sgd	1	1	42	0.0926714	0.2115	0	nan	nan	nan
nerisez	synapse	sgd	10	1	42	0.0926714	0.2115	0	nan	nan	nan
nerisez	synapse	sgd	0	10	42	0.0926714	0.2115	0	nan	nan	nan
nerisez	synapse	sgd	1	10	42	0.0926714	0.2115	0	nan	nan	nan
nerisez	synapse	sgd	10	10	42	0.0926714	0.2115	0	nan	nan	nan
nerisez	synapse	adam	0	1	42	0.873612	0.2485	0.435791	0.00731119	0.0106545	0.0128708
nerisez	synapse	adam	1	1	42	0.874849	0.2556	0.424528	0.0101442	0.0148209	0.0222704
nerisez	synapse	adam	10	1	42	0.762256	0.2964	0.362433	0.071708	0.0966868	0.187785
nerisez	synapse	adam	0	10	42	0.849624	0.2553	0.493568	0.0798842	0.114002	0.125375
nerisez	synapse	adam	1	10	42	0.828861	0.2832	0.428747	0.0701144	0.100497	0.110348
nerisez	synapse	adam	10	10	42	0.790045	0.2767	0.454617	0.10461	0.14829	0.25039
vecproj	neuron	sgd	0	1	42	0.0926714	0.6847	0.688784	3.8896	3.8306	3.6458
vecproj	neuron	sgd	1	1	42	0.0926714	0.6847	0.688784	5.09709	5.06386	5.35742
vecproj	neuron	sgd	10	1	42	0.0926714	0.6847	0.688784	33.5724	33.5759	34.222
vecproj	neuron	sgd	0	10	42	0.0926714	0.6847	0.688784	38.896	38.306	36.458
vecproj	neuron	sgd	1	10	42	0.0926714	0.6847	0.688784	39.0337	38.4589	37.1982
vecproj	neuron	sgd	10	10	42	0.0926714	0.6847	0.688784	50.9709	50.6386	53.5742
vecproj	neuron	adam	0	1	42	0.580669	0.6847	0.688784	3.8896	3.8306	3.6458
vecproj	neuron	adam	1	1	42	0.620575	0.6847	0.688784	5.09709	5.06386	5.35742
vecproj	neuron	adam	10	1	42	0.331729	0.6847	0.688784	33.5724	33.5759	34.222
vecproj	neuron	adam	0	10	42	0.246454	0.6847	0.688784	38.896	38.306	36.458
vecproj	neuron	adam	1	10	42	0.247993	0.6847	0.688784	39.0337	38.4589	37.1982
vecproj	neuron	adam	10	10	42	0.200794	0.6847	0.688784	50.9709	50.6386	53.5742
