metric	kind	norm	mean_mode	proj	gran	opt	regime	seed	acc	val	epoch	probe	mabs	g_h0	g_h1	g_out	backbone_params	extra_params	param_ratio	buffer_bytes	fwd_train	bwd_train	fwd_infer	bwd_infer
classil	none	0	-	-	-	adam	normal	42	0.897549	nan	5	nan	0	0	0	0	478410	0	0	3144000	1	1	1	0
classil	vec_x	0	ema	dead	neuron	adam	normal	42	0.897549	nan	nan	0.9332	1.64242	0	0	0	478410	635040	1.3274	3144000	1	1	1	0
classil	vec_x	0	trueavg	dead	neuron	adam	normal	42	0.897549	nan	nan	0.9336	2.87963	0	0	0	478410	635040	1.3274	3144000	1	1	1	0
classil	vec_x	1	ema	dead	neuron	adam	normal	42	0.897549	nan	nan	0.2493	0.860537	0	0	0	478410	810	0.0017	3144000	1	1	1	0
classil	vec_x	1	trueavg	dead	neuron	adam	normal	42	0.897549	nan	nan	0.2294	0.83567	0	0	0	478410	810	0.0017	3144000	1	1	1	0
classil	vecproj	0	ema	dead	neuron	adam	normal	42	0.897549	nan	nan	0.6847	0.826793	0	0	0	478410	25920	0.0542	3144000	1	1	1	0
classil	vecproj	0	trueavg	dead	neuron	adam	normal	42	0.897549	nan	nan	0.6847	0.826543	0	0	0	478410	25920	0.0542	3144000	1	1	1	0
classil	vecproj	1	ema	dead	neuron	adam	normal	42	0.897549	nan	nan	0.2421	0.833643	0	0	0	478410	810	0.0017	3144000	1	1	1	0
classil	vecproj	1	trueavg	dead	neuron	adam	normal	42	0.897549	nan	nan	0.2103	0.82756	0	0	0	478410	810	0.0017	3144000	1	1	1	0
standard	none	0	-	-	-	adam	single-task	42	0.9766	0.977	5	nan	0	0	0	0	478410	0	0	0	1	1	1	0
standard	vec_x	0	ema	dead	neuron	adam	single-task	42	0.9766	0.977	5	nan	0.433187	0	0	0	478410	635040	1.3274	0	1	1	1	0
standard	vec_x	0	trueavg	dead	neuron	adam	single-task	42	0.9766	0.977	5	nan	0.433641	0	0	0	478410	635040	1.3274	0	1	1	1	0
standard	vec_x	1	ema	dead	neuron	adam	single-task	42	0.9766	0.977	5	nan	0.819183	0	0	0	478410	810	0.0017	0	1	1	1	0
standard	vec_x	1	trueavg	dead	neuron	adam	single-task	42	0.9766	0.977	5	nan	0.811289	0	0	0	478410	810	0.0017	0	1	1	1	0
standard	vecproj	0	ema	dead	neuron	adam	single-task	42	0.9766	0.977	5	nan	0.789366	0	0	0	478410	25920	0.0542	0	1	1	1	0
standard	vecproj	0	trueavg	dead	neuron	adam	single-task	42	0.9766	0.977	5	nan	0.79007	0	0	0	478410	25920	0.0542	0	1	1	1	0
standard	vecproj	1	ema	dead	neuron	adam	single-task	42	0.9766	0.977	5	nan	0.784076	0	0	0	478410	810	0.0017	0	1	1	1	0
standard	vecproj	1	trueavg	dead	neuron	adam	single-task	42	0.9766	0.977	5	nan	0.777613	0	0	0	478410	810	0.0017	0	1	1	1	0
classil	vec_x	0	ema	learned	neuron	adam	normal	42	0.835507	nan	nan	0.9332	1.64242	8.63509	11.4518	37.3377	478410	635040	1.3274	3144000	1	1	1	0
classil	vec_x	0	ema	random	neuron	adam	normal	42	0.575091	nan	nan	0.9332	1.64242	59.299	59.5548	45.9622	478410	635040	1.3274	3144000	1	1	1	0
classil	vec_x	0	cumulative	learned	neuron	adam	normal	42	0.844575	nan	nan	0.9332	1.65864	11.6574	14.8682	49.4667	478410	635040	1.3274	3144000	1	1	1	0
classil	vec_x	0	cumulative	random	neuron	adam	normal	42	0.553615	nan	nan	0.9332	1.65864	59.3563	59.6108	46.0139	478410	635040	1.3274	3144000	1	1	1	0
classil	vec_x	0	trueavg	learned	neuron	adam	normal	42	0.122314	nan	nan	0.9336	2.87963	15.9964	17.5274	22.1724	478410	635040	1.3274	3144000	1	1	1	0
classil	vec_x	0	trueavg	random	neuron	adam	normal	42	0.100945	nan	nan	0.9336	2.87963	77.9371	77.506	57.4112	478410	635040	1.3274	3144000	1	1	1	0
classil	vec_x	0	ema+trueavg	learned	neuron	adam	normal	42	0.0999721	nan	nan	0.9335	2.87841	13.4926	17.8632	69.3849	478410	635040	1.3274	3144000	1	1	1	0
classil	vec_x	0	ema+trueavg	random	neuron	adam	normal	42	0.123556	nan	nan	0.9335	2.87841	90.3262	91.7371	70.8712	478410	635040	1.3274	3144000	1	1	1	0
classil	vec_x	1	ema	learned	neuron	adam	normal	42	0.896256	nan	nan	0.2493	0.860537	0.0243166	0.0311841	0.0198913	478410	810	0.0017	3144000	1	1	1	0
classil	vec_x	1	ema	random	neuron	adam	normal	42	0.900241	nan	nan	0.2493	0.860537	0.0689289	0.0704148	0.071857	478410	810	0.0017	3144000	1	1	1	0
classil	vec_x	1	cumulative	learned	neuron	adam	normal	42	0.898756	nan	nan	0.2389	0.856414	0.0240859	0.030566	0.0240654	478410	810	0.0017	3144000	1	1	1	0
classil	vec_x	1	cumulative	random	neuron	adam	normal	42	0.901971	nan	nan	0.2389	0.856414	0.0685986	0.0700774	0.0715127	478410	810	0.0017	3144000	1	1	1	0
classil	vec_x	1	trueavg	learned	neuron	adam	normal	42	0.901615	nan	nan	0.2294	0.83567	0.0229212	0.0298825	0.0262647	478410	810	0.0017	3144000	1	1	1	0
classil	vec_x	1	trueavg	random	neuron	adam	normal	42	0.899543	nan	nan	0.2294	0.83567	0.066937	0.0683799	0.0697805	478410	810	0.0017	3144000	1	1	1	0
classil	vec_x	1	ema+trueavg	learned	neuron	adam	normal	42	0.896348	nan	nan	0.2294	0.784727	0.0221744	0.0284369	0.018139	478410	810	0.0017	3144000	1	1	1	0
classil	vec_x	1	ema+trueavg	random	neuron	adam	normal	42	0.900648	nan	nan	0.2294	0.784727	0.0628565	0.0642115	0.0655267	478410	810	0.0017	3144000	1	1	1	0
classil	vecproj	0	ema	learned	neuron	adam	normal	42	0.895564	nan	nan	0.6847	0.826793	0.177434	0.222223	0.149683	478410	25920	0.0542	3144000	1	1	1	0
classil	vecproj	0	ema	random	neuron	adam	normal	42	0.840798	nan	nan	0.6847	0.826793	0.463827	0.458519	0.431054	478410	25920	0.0542	3144000	1	1	1	0
classil	vecproj	0	cumulative	learned	neuron	adam	normal	42	0.899201	nan	nan	0.6847	0.826773	0.174158	0.226471	0.153906	478410	25920	0.0542	3144000	1	1	1	0
classil	vecproj	0	cumulative	random	neuron	adam	normal	42	0.833683	nan	nan	0.6847	0.826773	0.463825	0.458504	0.430959	478410	25920	0.0542	3144000	1	1	1	0
classil	vecproj	0	trueavg	learned	neuron	adam	normal	42	0.898944	nan	nan	0.6847	0.826543	0.171202	0.216183	0.142617	478410	25920	0.0542	3144000	1	1	1	0
classil	vecproj	0	trueavg	random	neuron	adam	normal	42	0.841172	nan	nan	0.6847	0.826543	0.463668	0.458368	0.430705	478410	25920	0.0542	3144000	1	1	1	0
classil	vecproj	0	ema+trueavg	learned	neuron	adam	normal	42	0.888414	nan	nan	0.6847	0.821263	0.176242	0.219354	0.149172	478410	25920	0.0542	3144000	1	1	1	0
classil	vecproj	0	ema+trueavg	random	neuron	adam	normal	42	0.843896	nan	nan	0.6847	0.821263	0.460801	0.455916	0.426908	478410	25920	0.0542	3144000	1	1	1	0
classil	vecproj	1	ema	learned	neuron	adam	normal	42	0.891426	nan	nan	0.2421	0.833643	0.0233408	0.0266422	0.0179679	478410	810	0.0017	3144000	1	1	1	0
classil	vecproj	1	ema	random	neuron	adam	normal	42	0.900418	nan	nan	0.2421	0.833643	0.0667746	0.0682141	0.0696112	478410	810	0.0017	3144000	1	1	1	0
classil	vecproj	1	cumulative	learned	neuron	adam	normal	42	0.905118	nan	nan	0.1906	0.837864	0.0248433	0.0259819	0.0196578	478410	810	0.0017	3144000	1	1	1	0
classil	vecproj	1	cumulative	random	neuron	adam	normal	42	0.898791	nan	nan	0.1906	0.837864	0.0671127	0.0685595	0.0699637	478410	810	0.0017	3144000	1	1	1	0
classil	vecproj	1	trueavg	learned	neuron	adam	normal	42	0.897891	nan	nan	0.2103	0.82756	0.022345	0.0247328	0.0300283	478410	810	0.0017	3144000	1	1	1	0
classil	vecproj	1	trueavg	random	neuron	adam	normal	42	0.895754	nan	nan	0.2103	0.82756	0.0662874	0.0677163	0.0691033	478410	810	0.0017	3144000	1	1	1	0
classil	vecproj	1	ema+trueavg	learned	neuron	adam	normal	42	0.890605	nan	nan	0.2103	0.804222	0.0225171	0.025702	0.0173338	478410	810	0.0017	3144000	1	1	1	0
classil	vecproj	1	ema+trueavg	random	neuron	adam	normal	42	0.900809	nan	nan	0.2103	0.804222	0.064418	0.0658067	0.0671545	478410	810	0.0017	3144000	1	1	1	0
standard	vec_x	0	ema	learned	neuron	adam	single-task	42	0.9484	0.9493	1	nan	0.433187	1.382	2.49665	1.60305	478410	635040	1.3274	0	1	1	1	0
standard	vec_x	0	ema	random	neuron	adam	single-task	42	0.6617	0.6644	6	nan	0.433187	1.7392	1.74383	1.80783	478410	635040	1.3274	0	1	1	1	0
standard	vec_x	0	cumulative	learned	neuron	adam	single-task	42	0.9411	0.9466	3	nan	0.433642	1.41454	2.55231	1.79198	478410	635040	1.3274	0	1	1	1	0
standard	vec_x	0	cumulative	random	neuron	adam	single-task	42	0.6412	0.6482	6	nan	0.433642	1.73988	1.74483	1.80678	478410	635040	1.3274	0	1	1	1	0
standard	vec_x	0	trueavg	learned	neuron	adam	single-task	42	0.9398	0.9453	1	nan	0.433641	1.33487	2.47934	1.70182	478410	635040	1.3274	0	1	1	1	0
standard	vec_x	0	trueavg	random	neuron	adam	single-task	42	0.1824	0.5826	6	nan	0.43364	1.73989	1.74484	1.80678	478410	635040	1.3274	0	1	1	1	0
standard	vec_x	0	ema+trueavg	learned	neuron	adam	single-task	42	0.9482	0.9497	1	nan	0.454415	1.38183	2.50015	1.605	478410	635040	1.3274	0	1	1	1	0
standard	vec_x	0	ema+trueavg	random	neuron	adam	single-task	42	0.1883	0.6664	5	nan	0.454415	1.74764	1.7542	1.81838	478410	635040	1.3274	0	1	1	1	0
standard	vec_x	1	ema	learned	neuron	adam	single-task	42	0.9731	0.9753	5	nan	0.819183	0.0422227	0.0444655	0.0396332	478410	810	0.0017	0	1	1	1	0
standard	vec_x	1	ema	random	neuron	adam	single-task	42	0.974	0.9755	4	nan	0.819183	0.0656164	0.0670309	0.0684038	478410	810	0.0017	0	1	1	1	0
standard	vec_x	1	cumulative	learned	neuron	adam	single-task	42	0.9751	0.9777	6	nan	0.8114	0.0408683	0.0451614	0.0370513	478410	810	0.0017	0	1	1	1	0
standard	vec_x	1	cumulative	random	neuron	adam	single-task	42	0.9736	0.9771	5	nan	0.8114	0.064993	0.0663941	0.0677539	478410	810	0.0017	0	1	1	1	0
standard	vec_x	1	trueavg	learned	neuron	adam	single-task	42	0.9768	0.9773	5	nan	0.811289	0.041899	0.0443128	0.0373303	478410	810	0.0017	0	1	1	1	0
