metric	kind	norm	mean_mode	proj	gran	opt	regime	seed	acc	val	epoch	probe	mabs	g_h0	g_h1	g_out	backbone_params	extra_params	param_ratio	buffer_bytes	fwd_train	bwd_train	fwd_infer	bwd_infer
classil	none	0	-	-	-	adam	normal	42	0.897549	nan	5	nan	0	0	0	0	478410	0	0	3144000	1	1	1	0
classil	vec_x	0	ema	dead	neuron	adam	normal	42	0.897549	nan	nan	0.9332	1.64242	0	0	0	478410	635040	1.3274	3144000	1	1	1	0
classil	vec_x	0	trueavg	dead	neuron	adam	normal	42	0.897549	nan	nan	0.9336	2.87963	0	0	0	478410	635040	1.3274	3144000	1	1	1	0
classil	vec_x	1	ema	dead	neuron	adam	normal	42	0.897549	nan	nan	0.2493	0.860537	0	0	0	478410	810	0.0017	3144000	1	1	1	0
classil	vec_x	1	trueavg	dead	neuron	adam	normal	42	0.897549	nan	nan	0.2294	0.83567	0	0	0	478410	810	0.0017	3144000	1	1	1	0
classil	vecproj	0	ema	dead	neuron	adam	normal	42	0.897549	nan	nan	0.6847	0.826793	0	0	0	478410	25920	0.0542	3144000	1	1	1	0
classil	vecproj	0	trueavg	dead	neuron	adam	normal	42	0.897549	nan	nan	0.6847	0.826543	0	0	0	478410	25920	0.0542	3144000	1	1	1	0
classil	vecproj	1	ema	dead	neuron	adam	normal	42	0.897549	nan	nan	0.2421	0.833643	0	0	0	478410	810	0.0017	3144000	1	1	1	0
classil	vecproj	1	trueavg	dead	neuron	adam	normal	42	0.897549	nan	nan	0.2103	0.82756	0	0	0	478410	810	0.0017	3144000	1	1	1	0
standard	none	0	-	-	-	adam	single-task	42	0.9766	0.977	5	nan	0	0	0	0	478410	0	0	0	1	1	1	0
standard	vec_x	0	ema	dead	neuron	adam	single-task	42	0.9766	0.977	5	nan	0.433187	0	0	0	478410	635040	1.3274	0	1	1	1	0
standard	vec_x	0	trueavg	dead	neuron	adam	single-task	42	0.9766	0.977	5	nan	0.433641	0	0	0	478410	635040	1.3274	0	1	1	1	0
standard	vec_x	1	ema	dead	neuron	adam	single-task	42	0.9766	0.977	5	nan	0.819183	0	0	0	478410	810	0.0017	0	1	1	1	0
standard	vec_x	1	trueavg	dead	neuron	adam	single-task	42	0.9766	0.977	5	nan	0.811289	0	0	0	478410	810	0.0017	0	1	1	1	0
standard	vecproj	0	ema	dead	neuron	adam	single-task	42	0.9766	0.977	5	nan	0.789366	0	0	0	478410	25920	0.0542	0	1	1	1	0
standard	vecproj	0	trueavg	dead	neuron	adam	single-task	42	0.9766	0.977	5	nan	0.79007	0	0	0	478410	25920	0.0542	0	1	1	1	0
standard	vecproj	1	ema	dead	neuron	adam	single-task	42	0.9766	0.977	5	nan	0.784076	0	0	0	478410	810	0.0017	0	1	1	1	0
standard	vecproj	1	trueavg	dead	neuron	adam	single-task	42	0.9766	0.977	5	nan	0.777613	0	0	0	478410	810	0.0017	0	1	1	1	0
classil	vecproj	0	ema	learned	neuron	adam	normal	42	0.895564	nan	nan	0.6847	0.826793	0.177434	0.222223	0.149683	478410	25920	0.0542	3144000	1	1	1	0
classil	vecproj	0	ema	random	neuron	adam	normal	42	0.840798	nan	nan	0.6847	0.826793	0.463827	0.458519	0.431054	478410	25920	0.0542	3144000	1	1	1	0
classil	vecproj	0	cumulative	learned	neuron	adam	normal	42	0.899201	nan	nan	0.6847	0.826773	0.174158	0.226471	0.153906	478410	25920	0.0542	3144000	1	1	1	0
classil	vecproj	0	cumulative	random	neuron	adam	normal	42	0.833683	nan	nan	0.6847	0.826773	0.463825	0.458504	0.430959	478410	25920	0.0542	3144000	1	1	1	0
classil	vecproj	0	trueavg	learned	neuron	adam	normal	42	0.898944	nan	nan	0.6847	0.826543	0.171202	0.216183	0.142617	478410	25920	0.0542	3144000	1	1	1	0
classil	vecproj	0	trueavg	random	neuron	adam	normal	42	0.841172	nan	nan	0.6847	0.826543	0.463668	0.458368	0.430705	478410	25920	0.0542	3144000	1	1	1	0
classil	vecproj	0	ema+trueavg	learned	neuron	adam	normal	42	0.888414	nan	nan	0.6847	0.821263	0.176242	0.219354	0.149172	478410	25920	0.0542	3144000	1	1	1	0
classil	vecproj	0	ema+trueavg	random	neuron	adam	normal	42	0.843896	nan	nan	0.6847	0.821263	0.460801	0.455916	0.426908	478410	25920	0.0542	3144000	1	1	1	0
