metric	kind	std	norm	mean_mode	proj	gran	opt	regime	seed	acc	val	epoch	probe	mabs	g_h0	g_h1	g_out	backbone_params	extra_params	param_ratio	buffer_bytes	fwd_train	bwd_train	fwd_infer	bwd_infer
classil	none	-	0	-	-	-	adam	normal	42	0.897549	nan	5	nan	0	0	0	0	478410	0	0	3144000	1	1	1	0
classil	vec_x	1	0	ema	dead	neuron	adam	normal	42	0.897549	nan	nan	0.9332	1.64242	0	0	0	478410	635040	1.3274	3144000	1	1	1	0
classil	vec_x	1	0	trueavg	dead	neuron	adam	normal	42	0.897549	nan	nan	0.9336	2.87963	0	0	0	478410	635040	1.3274	3144000	1	1	1	0
classil	vec_x	1	1	ema	dead	neuron	adam	normal	42	0.897549	nan	nan	0.2493	0.860537	0	0	0	478410	810	0.0017	3144000	1	1	1	0
classil	vec_x	1	1	trueavg	dead	neuron	adam	normal	42	0.897549	nan	nan	0.2294	0.83567	0	0	0	478410	810	0.0017	3144000	1	1	1	0
classil	vecproj	1	0	ema	dead	neuron	adam	normal	42	0.897549	nan	nan	0.6847	0.826793	0	0	0	478410	25920	0.0542	3144000	1	1	1	0
classil	vecproj	1	0	trueavg	dead	neuron	adam	normal	42	0.897549	nan	nan	0.6847	0.826543	0	0	0	478410	25920	0.0542	3144000	1	1	1	0
classil	vecproj	1	1	ema	dead	neuron	adam	normal	42	0.897549	nan	nan	0.2421	0.833643	0	0	0	478410	810	0.0017	3144000	1	1	1	0
classil	vecproj	1	1	trueavg	dead	neuron	adam	normal	42	0.897549	nan	nan	0.2103	0.82756	0	0	0	478410	810	0.0017	3144000	1	1	1	0
standard	none	-	0	-	-	-	adam	single-task	42	0.9766	0.977	5	nan	0	0	0	0	478410	0	0	0	1	1	1	0
standard	vec_x	1	0	ema	dead	neuron	adam	single-task	42	0.9766	0.977	5	nan	0.433187	0	0	0	478410	635040	1.3274	0	1	1	1	0
standard	vec_x	1	0	trueavg	dead	neuron	adam	single-task	42	0.9766	0.977	5	nan	0.433641	0	0	0	478410	635040	1.3274	0	1	1	1	0
standard	vec_x	1	1	ema	dead	neuron	adam	single-task	42	0.9766	0.977	5	nan	0.819183	0	0	0	478410	810	0.0017	0	1	1	1	0
standard	vec_x	1	1	trueavg	dead	neuron	adam	single-task	42	0.9766	0.977	5	nan	0.811289	0	0	0	478410	810	0.0017	0	1	1	1	0
standard	vecproj	1	0	ema	dead	neuron	adam	single-task	42	0.9766	0.977	5	nan	0.789366	0	0	0	478410	25920	0.0542	0	1	1	1	0
standard	vecproj	1	0	trueavg	dead	neuron	adam	single-task	42	0.9766	0.977	5	nan	0.79007	0	0	0	478410	25920	0.0542	0	1	1	1	0
standard	vecproj	1	1	ema	dead	neuron	adam	single-task	42	0.9766	0.977	5	nan	0.784076	0	0	0	478410	810	0.0017	0	1	1	1	0
standard	vecproj	1	1	trueavg	dead	neuron	adam	single-task	42	0.9766	0.977	5	nan	0.777613	0	0	0	478410	810	0.0017	0	1	1	1	0
classil	vecproj	1	1	ema	learned	neuron	adam	normal	42	0.891426	nan	nan	0.2421	0.833643	0.0233408	0.0266422	0.0179679	478410	810	0.0017	3144000	1	1	1	0
classil	vecproj	1	1	ema	random	neuron	adam	normal	42	0.900418	nan	nan	0.2421	0.833643	0.0667746	0.0682141	0.0696112	478410	810	0.0017	3144000	1	1	1	0
classil	vecproj	1	1	cumulative	learned	neuron	adam	normal	42	0.905118	nan	nan	0.1906	0.837864	0.0248433	0.0259819	0.0196578	478410	810	0.0017	3144000	1	1	1	0
classil	vecproj	1	1	cumulative	random	neuron	adam	normal	42	0.898791	nan	nan	0.1906	0.837864	0.0671127	0.0685595	0.0699637	478410	810	0.0017	3144000	1	1	1	0
classil	vecproj	1	1	trueavg	learned	neuron	adam	normal	42	0.897891	nan	nan	0.2103	0.82756	0.022345	0.0247328	0.0300283	478410	810	0.0017	3144000	1	1	1	0
classil	vecproj	1	1	trueavg	random	neuron	adam	normal	42	0.895754	nan	nan	0.2103	0.82756	0.0662874	0.0677163	0.0691033	478410	810	0.0017	3144000	1	1	1	0
classil	vecproj	1	1	ema+trueavg	learned	neuron	adam	normal	42	0.890605	nan	nan	0.2103	0.804222	0.0225171	0.025702	0.0173338	478410	810	0.0017	3144000	1	1	1	0
classil	vecproj	1	1	ema+trueavg	random	neuron	adam	normal	42	0.900809	nan	nan	0.2103	0.804222	0.064418	0.0658067	0.0671545	478410	810	0.0017	3144000	1	1	1	0
classil	vecproj	0	1	ema	learned	neuron	adam	normal	42	0.895807	nan	nan	0.2421	4.83214	0.128401	0.127874	0.196363	478410	810	0.0017	3144000	1	1	1	0
classil	vecproj	0	1	ema	random	neuron	adam	normal	42	0.897056	nan	nan	0.2421	4.83214	0.387053	0.395397	0.403495	478410	810	0.0017	3144000	1	1	1	0
classil	vecproj	0	1	cumulative	learned	neuron	adam	normal	42	0.889761	nan	nan	0.1906	4.81751	0.128963	0.123579	0.194543	478410	810	0.0017	3144000	1	1	1	0
classil	vecproj	0	1	cumulative	random	neuron	adam	normal	42	0.898886	nan	nan	0.1906	4.81751	0.385882	0.3942	0.402274	478410	810	0.0017	3144000	1	1	1	0
classil	vecproj	0	1	trueavg	learned	neuron	adam	normal	42	0.900801	nan	nan	0.2103	4.80294	0.130759	0.127023	0.202433	478410	810	0.0017	3144000	1	1	1	0
classil	vecproj	0	1	trueavg	random	neuron	adam	normal	42	0.898441	nan	nan	0.2103	4.80294	0.384715	0.393008	0.401057	478410	810	0.0017	3144000	1	1	1	0
classil	vecproj	0	1	ema+trueavg	learned	neuron	adam	normal	42	0.896415	nan	nan	0.2103	4.80294	0.127625	0.127102	0.195177	478410	810	0.0017	3144000	1	1	1	0
classil	vecproj	0	1	ema+trueavg	random	neuron	adam	normal	42	0.89637	nan	nan	0.2103	4.80294	0.384715	0.393008	0.401057	478410	810	0.0017	3144000	1	1	1	0
