metric	kind	std	norm	mean_mode	proj	gran	opt	regime	seed	acc	val	epoch	probe	mabs	g_h0	g_h1	g_out	backbone_params	extra_params	param_ratio	buffer_bytes	fwd_train	bwd_train	fwd_infer	bwd_infer
classil	none	-	0	-	-	-	adam	normal	42	0.897549	nan	5	nan	0	0	0	0	478410	0	0	3144000	1	1	1	0
classil	vec_x	1	0	ema	dead	neuron	adam	normal	42	0.897549	nan	nan	0.9332	1.64242	0	0	0	478410	635040	1.3274	3144000	1	1	1	0
classil	vec_x	1	0	trueavg	dead	neuron	adam	normal	42	0.897549	nan	nan	0.9336	2.87963	0	0	0	478410	635040	1.3274	3144000	1	1	1	0
classil	vec_x	1	1	ema	dead	neuron	adam	normal	42	0.897549	nan	nan	0.2493	0.860537	0	0	0	478410	810	0.0017	3144000	1	1	1	0
classil	vec_x	1	1	trueavg	dead	neuron	adam	normal	42	0.897549	nan	nan	0.2294	0.83567	0	0	0	478410	810	0.0017	3144000	1	1	1	0
classil	vecproj	1	0	ema	dead	neuron	adam	normal	42	0.897549	nan	nan	0.6847	0.826793	0	0	0	478410	25920	0.0542	3144000	1	1	1	0
classil	vecproj	1	0	trueavg	dead	neuron	adam	normal	42	0.897549	nan	nan	0.6847	0.826543	0	0	0	478410	25920	0.0542	3144000	1	1	1	0
classil	vecproj	1	1	ema	dead	neuron	adam	normal	42	0.897549	nan	nan	0.2421	0.833643	0	0	0	478410	810	0.0017	3144000	1	1	1	0
classil	vecproj	1	1	trueavg	dead	neuron	adam	normal	42	0.897549	nan	nan	0.2103	0.82756	0	0	0	478410	810	0.0017	3144000	1	1	1	0
standard	none	-	0	-	-	-	adam	single-task	42	0.9766	0.977	5	nan	0	0	0	0	478410	0	0	0	1	1	1	0
standard	vec_x	1	0	ema	dead	neuron	adam	single-task	42	0.9766	0.977	5	nan	0.433187	0	0	0	478410	635040	1.3274	0	1	1	1	0
standard	vec_x	1	0	trueavg	dead	neuron	adam	single-task	42	0.9766	0.977	5	nan	0.433641	0	0	0	478410	635040	1.3274	0	1	1	1	0
standard	vec_x	1	1	ema	dead	neuron	adam	single-task	42	0.9766	0.977	5	nan	0.819183	0	0	0	478410	810	0.0017	0	1	1	1	0
standard	vec_x	1	1	trueavg	dead	neuron	adam	single-task	42	0.9766	0.977	5	nan	0.811289	0	0	0	478410	810	0.0017	0	1	1	1	0
standard	vecproj	1	0	ema	dead	neuron	adam	single-task	42	0.9766	0.977	5	nan	0.789366	0	0	0	478410	25920	0.0542	0	1	1	1	0
standard	vecproj	1	0	trueavg	dead	neuron	adam	single-task	42	0.9766	0.977	5	nan	0.79007	0	0	0	478410	25920	0.0542	0	1	1	1	0
standard	vecproj	1	1	ema	dead	neuron	adam	single-task	42	0.9766	0.977	5	nan	0.784076	0	0	0	478410	810	0.0017	0	1	1	1	0
standard	vecproj	1	1	trueavg	dead	neuron	adam	single-task	42	0.9766	0.977	5	nan	0.777613	0	0	0	478410	810	0.0017	0	1	1	1	0
standard	vec_x	1	0	ema	learned	neuron	adam	single-task	42	0.9484	0.9493	1	nan	0.433187	1.382	2.49665	1.60305	478410	635040	1.3274	0	1	1	1	0
standard	vec_x	1	0	ema	random	neuron	adam	single-task	42	0.6617	0.6644	6	nan	0.433187	1.7392	1.74383	1.80783	478410	635040	1.3274	0	1	1	1	0
standard	vec_x	1	0	cumulative	learned	neuron	adam	single-task	42	0.9411	0.9466	3	nan	0.433642	1.41454	2.55231	1.79198	478410	635040	1.3274	0	1	1	1	0
standard	vec_x	1	0	cumulative	random	neuron	adam	single-task	42	0.6412	0.6482	6	nan	0.433642	1.73988	1.74483	1.80678	478410	635040	1.3274	0	1	1	1	0
standard	vec_x	1	0	trueavg	learned	neuron	adam	single-task	42	0.9398	0.9453	1	nan	0.433641	1.33487	2.47934	1.70182	478410	635040	1.3274	0	1	1	1	0
standard	vec_x	1	0	trueavg	random	neuron	adam	single-task	42	0.1824	0.5826	6	nan	0.43364	1.73989	1.74484	1.80678	478410	635040	1.3274	0	1	1	1	0
standard	vec_x	1	0	ema+trueavg	learned	neuron	adam	single-task	42	0.9482	0.9497	1	nan	0.454415	1.38183	2.50015	1.605	478410	635040	1.3274	0	1	1	1	0
standard	vec_x	1	0	ema+trueavg	random	neuron	adam	single-task	42	0.1883	0.6664	5	nan	0.454415	1.74764	1.7542	1.81838	478410	635040	1.3274	0	1	1	1	0
standard	vec_x	0	0	ema	learned	neuron	adam	single-task	42	0.9585	0.9632	3	nan	0.476134	1.42574	2.28689	0.677905	478410	635040	1.3274	0	1	1	1	0
standard	vec_x	0	0	ema	random	neuron	adam	single-task	42	0.7776	0.7914	6	nan	0.476134	1.79861	1.8077	1.78712	478410	635040	1.3274	0	1	1	1	0
standard	vec_x	0	0	cumulative	learned	neuron	adam	single-task	42	0.9661	0.9687	6	nan	0.477054	1.38195	2.21917	0.46379	478410	635040	1.3274	0	1	1	1	0
standard	vec_x	0	0	cumulative	random	neuron	adam	single-task	42	0.7799	0.7919	6	nan	0.477054	1.80024	1.80955	1.78907	478410	635040	1.3274	0	1	1	1	0
standard	vec_x	0	0	trueavg	learned	neuron	adam	single-task	42	0.965	0.9661	6	nan	0.477053	1.4338	2.23108	0.452773	478410	635040	1.3274	0	1	1	1	0
standard	vec_x	0	0	trueavg	random	neuron	adam	single-task	42	0.7775	0.7816	4	nan	0.477053	1.80024	1.80955	1.78907	478410	635040	1.3274	0	1	1	1	0
standard	vec_x	0	0	ema+trueavg	learned	neuron	adam	single-task	42	0.9586	0.9631	3	nan	0.474876	1.42567	2.28514	0.675522	478410	635040	1.3274	0	1	1	1	0
standard	vec_x	0	0	ema+trueavg	random	neuron	adam	single-task	42	0.7753	0.7882	6	nan	0.476617	1.80145	1.81095	1.78763	478410	635040	1.3274	0	1	1	1	0
