form	kind	std	norm	mean_mode	proj	opt	regime	seed	acc	probe	mabs	g_h0	g_h1	g_out	backbone_params	extra_params	param_ratio	buffer_bytes	fwd_train	bwd_train	fwd_infer	bwd_infer
none	none	-	0	-	-	adam	normal	42	0.897549	nan	0	0	0	0	478410	0	0	3144000	1	1	1	0
temp	vec_x	0	0	ema	dead	adam	normal	42	0.897549	0.9332	0.482527	0	0	0	478410	784	0.0016	3144000	1	1	1	0
temp	vec_x	0	1	ema	dead	adam	normal	42	0.897549	0.2493	23.5205	0	0	0	478410	1	0	3144000	1	1	1	0
temp	vecproj	0	0	ema	dead	adam	normal	42	0.897549	0.6847	0.688784	0	0	0	478410	32	0.0001	3144000	1	1	1	0
temp	vecproj	0	1	ema	dead	adam	normal	42	0.897549	0.2421	4.83214	0	0	0	478410	1	0	3144000	1	1	1	0
temp	vec_x	1	0	ema	dead	adam	normal	42	0.897549	0.9332	1.64242	0	0	0	478410	784	0.0016	3144000	1	1	1	0
temp	vec_x	1	1	ema	dead	adam	normal	42	0.897549	0.2493	0.860537	0	0	0	478410	1	0	3144000	1	1	1	0
temp	vecproj	1	0	ema	dead	adam	normal	42	0.897549	0.6847	0.826793	0	0	0	478410	32	0.0001	3144000	1	1	1	0
temp	vecproj	1	1	ema	dead	adam	normal	42	0.897549	0.2421	0.833643	0	0	0	478410	1	0	3144000	1	1	1	0
slope	vec_x	0	0	ema	dead	adam	normal	42	0.897549	0.9332	0.482527	0	0	0	478410	1568	0.0033	3144000	1	1	1	0
slope	vec_x	0	1	ema	dead	adam	normal	42	0.897549	0.2493	23.5205	0	0	0	478410	2	0	3144000	1	1	1	0
slope	vecproj	0	0	ema	dead	adam	normal	42	0.897549	0.6847	0.688784	0	0	0	478410	64	0.0001	3144000	1	1	1	0
slope	vecproj	0	1	ema	dead	adam	normal	42	0.897549	0.2421	4.83214	0	0	0	478410	2	0	3144000	1	1	1	0
slope	vec_x	1	0	ema	dead	adam	normal	42	0.897549	0.9332	1.64242	0	0	0	478410	1568	0.0033	3144000	1	1	1	0
slope	vec_x	1	1	ema	dead	adam	normal	42	0.897549	0.2493	0.860537	0	0	0	478410	2	0	3144000	1	1	1	0
slope	vecproj	1	0	ema	dead	adam	normal	42	0.897549	0.6847	0.826793	0	0	0	478410	64	0.0001	3144000	1	1	1	0
slope	vecproj	1	1	ema	dead	adam	normal	42	0.897549	0.2421	0.833643	0	0	0	478410	2	0	3144000	1	1	1	0
slope	vecproj	0	0	ema	learned	adam	normal	42	0.899312	0.6847	0.688784	0.0814624	0.082295	0	478410	64	0.0001	3144000	1	1	1	0
slope	vecproj	0	0	ema	random	adam	normal	42	0.898691	0.6847	0.688784	0.299049	0.392702	0	478410	64	0.0001	3144000	1	1	1	0
slope	vecproj	0	0	cumulative	learned	adam	normal	42	0.9044	0.6847	0.68642	0.0726682	0.0736146	0	478410	64	0.0001	3144000	1	1	1	0
slope	vecproj	0	0	cumulative	random	adam	normal	42	0.897842	0.6847	0.68642	0.299312	0.379724	0	478410	64	0.0001	3144000	1	1	1	0
slope	vecproj	0	0	trueavg	learned	adam	normal	42	0.899333	0.6847	0.684451	0.0739708	0.074919	0	478410	64	0.0001	3144000	1	1	1	0
slope	vecproj	0	0	trueavg	random	adam	normal	42	0.894306	0.6847	0.684451	0.30211	0.388467	0	478410	64	0.0001	3144000	1	1	1	0
slope	vecproj	0	0	ema+trueavg	learned	adam	normal	42	0.899312	0.6847	0.684451	0.0765721	0.0773509	0	478410	64	0.0001	3144000	1	1	1	0
slope	vecproj	0	0	ema+trueavg	random	adam	normal	42	0.898691	0.6847	0.684451	0.30211	0.388467	0	478410	64	0.0001	3144000	1	1	1	0
slope	vecproj	1	0	ema	learned	adam	normal	42	0.898116	0.6847	0.826793	0.0930605	0.0940181	0	478410	64	0.0001	3144000	1	1	1	0
slope	vecproj	1	0	ema	random	adam	normal	42	0.888997	0.6847	0.826793	0.339565	0.497348	0	478410	64	0.0001	3144000	1	1	1	0
slope	vecproj	1	0	cumulative	learned	adam	normal	42	0.898497	0.6847	0.826773	0.0840258	0.0849446	0	478410	64	0.0001	3144000	1	1	1	0
slope	vecproj	1	0	cumulative	random	adam	normal	42	0.899275	0.6847	0.826773	0.339445	0.498756	0	478410	64	0.0001	3144000	1	1	1	0
slope	vecproj	1	0	trueavg	learned	adam	normal	42	0.900491	0.6847	0.826543	0.0773076	0.078701	0	478410	64	0.0001	3144000	1	1	1	0
slope	vecproj	1	0	trueavg	random	adam	normal	42	0.899287	0.6847	0.826543	0.339364	0.502899	0	478410	64	0.0001	3144000	1	1	1	0
slope	vecproj	1	0	ema+trueavg	learned	adam	normal	42	0.898116	0.6847	0.821263	0.0867462	0.0876216	0	478410	64	0.0001	3144000	1	1	1	0
slope	vecproj	1	0	ema+trueavg	random	adam	normal	42	0.889098	0.6847	0.821263	0.345687	0.490699	0	478410	64	0.0001	3144000	1	1	1	0
