device=mps  temp/slope gate forms, class-IL er-own, adam, 1 seed, NOT retuned
  lr 0.0003, 5 ep/task, buffer 1000   [anchor 0.8975]

  temp   vec_x    std0 norm0 ema          learned | acc=0.8918  probe=0.933  |m|=0.483  |g-1|(h0/h1/out)=0/0/0.465
  temp   vec_x    std0 norm0 ema          random  | acc=0.8296  probe=0.933  |m|=0.483  |g-1|(h0/h1/out)=0/0/14
  temp   vec_x    std0 norm0 cumulative   learned | acc=0.8953  probe=0.933  |m|=0.489  |g-1|(h0/h1/out)=0/0/0.366
  temp   vec_x    std0 norm0 cumulative   random  | acc=0.7935  probe=0.933  |m|=0.489  |g-1|(h0/h1/out)=0/0/11.4
  temp   vec_x    std0 norm0 trueavg      learned | acc=0.9007  probe=0.933  |m|=0.487  |g-1|(h0/h1/out)=0/0/0.264
  temp   vec_x    std0 norm0 trueavg      random  | acc=0.8313  probe=0.933  |m|=0.487  |g-1|(h0/h1/out)=0/0/10.8
  temp   vec_x    std0 norm0 ema+trueavg  learned | acc=0.8918  probe=0.933  |m|=0.487  |g-1|(h0/h1/out)=0/0/0.357
  temp   vec_x    std0 norm0 ema+trueavg  random  | acc=0.8296  probe=0.933  |m|=0.487  |g-1|(h0/h1/out)=0/0/10.8
  temp   vec_x    std1 norm0 ema          learned | acc=0.9034  probe=0.933  |m|=1.64  |g-1|(h0/h1/out)=0/0/inf
  temp   vec_x    std1 norm0 ema          random  | acc=0.2821  probe=0.933  |m|=1.64  |g-1|(h0/h1/out)=0/0/inf
  temp   vec_x    std1 norm0 cumulative   learned | acc=0.8934  probe=0.933  |m|=1.66  |g-1|(h0/h1/out)=0/0/inf
  temp   vec_x    std1 norm0 cumulative   random  | acc=0.2896  probe=0.933  |m|=1.66  |g-1|(h0/h1/out)=0/0/inf
  temp   vec_x    std1 norm0 trueavg      learned | acc=0.8838  probe=0.934  |m|=2.88  |g-1|(h0/h1/out)=0/0/inf
  temp   vec_x    std1 norm0 trueavg      random  | acc=0.0927  probe=0.934  |m|=2.88  |g-1|(h0/h1/out)=0/0/inf
  temp   vec_x    std1 norm0 ema+trueavg  learned | acc=0.9034  probe=0.933  |m|=2.88  |g-1|(h0/h1/out)=0/0/inf
  temp   vec_x    std1 norm0 ema+trueavg  random  | acc=0.0945  probe=0.933  |m|=2.88  |g-1|(h0/h1/out)=0/0/inf
ALL SELECTED CELLS DONE
