form	kind	std	norm	mean_mode	proj	opt	regime	seed	acc	probe	mabs	g_h0	g_h1	g_out	backbone_params	extra_params	param_ratio	buffer_bytes	fwd_train	bwd_train	fwd_infer	bwd_infer
none	none	-	0	-	-	adam	normal	42	0.897549	nan	0	0	0	0	478410	0	0	3144000	1	1	1	0
temp	vec_x	0	0	ema	dead	adam	normal	42	0.897549	0.9332	0.482527	0	0	0	478410	784	0.0016	3144000	1	1	1	0
temp	vec_x	0	1	ema	dead	adam	normal	42	0.897549	0.2493	23.5205	0	0	0	478410	1	0	3144000	1	1	1	0
temp	vecproj	0	0	ema	dead	adam	normal	42	0.897549	0.6847	0.688784	0	0	0	478410	32	0.0001	3144000	1	1	1	0
temp	vecproj	0	1	ema	dead	adam	normal	42	0.897549	0.2421	4.83214	0	0	0	478410	1	0	3144000	1	1	1	0
temp	vec_x	1	0	ema	dead	adam	normal	42	0.897549	0.9332	1.64242	0	0	0	478410	784	0.0016	3144000	1	1	1	0
temp	vec_x	1	1	ema	dead	adam	normal	42	0.897549	0.2493	0.860537	0	0	0	478410	1	0	3144000	1	1	1	0
temp	vecproj	1	0	ema	dead	adam	normal	42	0.897549	0.6847	0.826793	0	0	0	478410	32	0.0001	3144000	1	1	1	0
temp	vecproj	1	1	ema	dead	adam	normal	42	0.897549	0.2421	0.833643	0	0	0	478410	1	0	3144000	1	1	1	0
slope	vec_x	0	0	ema	dead	adam	normal	42	0.897549	0.9332	0.482527	0	0	0	478410	1568	0.0033	3144000	1	1	1	0
slope	vec_x	0	1	ema	dead	adam	normal	42	0.897549	0.2493	23.5205	0	0	0	478410	2	0	3144000	1	1	1	0
slope	vecproj	0	0	ema	dead	adam	normal	42	0.897549	0.6847	0.688784	0	0	0	478410	64	0.0001	3144000	1	1	1	0
slope	vecproj	0	1	ema	dead	adam	normal	42	0.897549	0.2421	4.83214	0	0	0	478410	2	0	3144000	1	1	1	0
slope	vec_x	1	0	ema	dead	adam	normal	42	0.897549	0.9332	1.64242	0	0	0	478410	1568	0.0033	3144000	1	1	1	0
slope	vec_x	1	1	ema	dead	adam	normal	42	0.897549	0.2493	0.860537	0	0	0	478410	2	0	3144000	1	1	1	0
slope	vecproj	1	0	ema	dead	adam	normal	42	0.897549	0.6847	0.826793	0	0	0	478410	64	0.0001	3144000	1	1	1	0
slope	vecproj	1	1	ema	dead	adam	normal	42	0.897549	0.2421	0.833643	0	0	0	478410	2	0	3144000	1	1	1	0
temp	vecproj	0	0	ema	learned	adam	normal	42	0.893279	0.6847	0.688784	0	0	0.113075	478410	32	0.0001	3144000	1	1	1	0
temp	vecproj	0	0	ema	random	adam	normal	42	0.89617	0.6847	0.688784	0	0	0.299049	478410	32	0.0001	3144000	1	1	1	0
temp	vecproj	0	0	cumulative	learned	adam	normal	42	0.896173	0.6847	0.68642	0	0	0.107027	478410	32	0.0001	3144000	1	1	1	0
temp	vecproj	0	0	cumulative	random	adam	normal	42	0.895366	0.6847	0.68642	0	0	0.299312	478410	32	0.0001	3144000	1	1	1	0
temp	vecproj	0	0	trueavg	learned	adam	normal	42	0.894684	0.6847	0.684451	0	0	0.121311	478410	32	0.0001	3144000	1	1	1	0
temp	vecproj	0	0	trueavg	random	adam	normal	42	0.897686	0.6847	0.684451	0	0	0.30211	478410	32	0.0001	3144000	1	1	1	0
temp	vecproj	0	0	ema+trueavg	learned	adam	normal	42	0.893279	0.6847	0.684451	0	0	0.105267	478410	32	0.0001	3144000	1	1	1	0
temp	vecproj	0	0	ema+trueavg	random	adam	normal	42	0.89617	0.6847	0.684451	0	0	0.30211	478410	32	0.0001	3144000	1	1	1	0
temp	vecproj	1	0	ema	learned	adam	normal	42	0.89795	0.6847	0.826793	0	0	0.135218	478410	32	0.0001	3144000	1	1	1	0
temp	vecproj	1	0	ema	random	adam	normal	42	0.892981	0.6847	0.826793	0	0	0.339565	478410	32	0.0001	3144000	1	1	1	0
temp	vecproj	1	0	cumulative	learned	adam	normal	42	0.902075	0.6847	0.826773	0	0	0.120614	478410	32	0.0001	3144000	1	1	1	0
temp	vecproj	1	0	cumulative	random	adam	normal	42	0.898782	0.6847	0.826773	0	0	0.339445	478410	32	0.0001	3144000	1	1	1	0
temp	vecproj	1	0	trueavg	learned	adam	normal	42	0.902524	0.6847	0.826543	0	0	0.127097	478410	32	0.0001	3144000	1	1	1	0
temp	vecproj	1	0	trueavg	random	adam	normal	42	0.89732	0.6847	0.826543	0	0	0.339364	478410	32	0.0001	3144000	1	1	1	0
temp	vecproj	1	0	ema+trueavg	learned	adam	normal	42	0.89795	0.6847	0.821263	0	0	0.12481	478410	32	0.0001	3144000	1	1	1	0
temp	vecproj	1	0	ema+trueavg	random	adam	normal	42	0.892981	0.6847	0.821263	0	0	0.345687	478410	32	0.0001	3144000	1	1	1	0
