regime	coef	nlr	seed	split	acc	forget	infer	c_sum	c_sd	c_err	backbone_params	extra_params	param_ratio	buffer_bytes	fwd_train	bwd_train	fwd_infer	bwd_infer
normal	uniform	0.001	42	test	0.900508	0.0951488	0.8699	1	0.157354	0.423347	478410	101125	0.2114	3144000	2	2	1	0
normal	soft	0.0001	42	val	0.927349	0.0644345	0.884147	1	0.245086	0.0506887	478410	101125	0.2114	3144000	2	2	1	0
normal	soft	0.001	42	val	0.928348	0.0636093	0.880147	1	0.246068	0.0319163	478410	101125	0.2114	3144000	2	2	1	0
normal	soft	0.01	42	val	0.927246	0.0645448	0.390398	1	0.244388	0.111965	478410	101125	0.2114	3144000	2	2	1	0
normal	learned	0.001	42	test	0.903884	0.0912927	0.8845	1	0.00620766	1.01062	478410	101125	0.2114	3144000	2	2	1	0
normal	learned	0.001	43	test	0.903936	0.0911386	0.8823	1	0.00801148	1.0075	478410	101125	0.2114	3144000	2	2	1	0
normal	learned	0.001	44	test	0.896022	0.099048	0.8779	1	0.0078552	0.996131	478410	101125	0.2114	3144000	2	2	1	0
budget	learned	0.001	42	test	0.773058	0.224244	0.73	1	0.00761334	1.01153	478410	101125	0.2114	628800	2	2	1	0
budget	learned	0.001	43	test	0.782593	0.213191	0.6626	1	0.00819559	1.0075	478410	101125	0.2114	628800	2	2	1	0
budget	learned	0.001	44	test	0.766711	0.229265	0.6977	1	0.00757407	0.998866	478410	101125	0.2114	628800	2	2	1	0
rfree	learned	0.001	42	test	0.19879	0.798695	0.1983	1	0.0115603	1.56355	478410	101125	0.2114	0	2	2	1	0
rfree	learned	0.001	43	test	0.198285	0.797811	0.1983	1	0.0121818	1.56146	478410	101125	0.2114	0	2	2	1	0
rfree	learned	0.001	44	test	0.198285	0.798601	0.1983	1	0.0114763	1.56457	478410	101125	0.2114	0	2	2	1	0
