regime	coef	nlr	seed	split	acc	forget	infer	c_sum	c_sd	c_err	backbone_params	extra_params	param_ratio	buffer_bytes	fwd_train	bwd_train	fwd_infer	bwd_infer
normal	uniform	0.001	42	test	0.900508	0.0951488	0.8699	1	0.157354	0.423347	478410	101125	0.2114	3144000	2	2	1	0
normal	soft	0.0001	42	val	0.927349	0.0644345	0.884147	1	0.245086	0.0506887	478410	101125	0.2114	3144000	2	2	1	0
normal	soft	0.001	42	val	0.928348	0.0636093	0.880147	1	0.246068	0.0319163	478410	101125	0.2114	3144000	2	2	1	0
normal	soft	0.01	42	val	0.927246	0.0645448	0.390398	1	0.244388	0.111965	478410	101125	0.2114	3144000	2	2	1	0
normal	soft	0.001	42	test	0.92398	0.0693522	0.8845	1	0.244519	0.0229638	478410	101125	0.2114	3144000	2	2	1	0
normal	soft	0.001	43	test	0.93191	0.0611188	0.8823	1	0.245976	0.0270141	478410	101125	0.2114	3144000	2	2	1	0
normal	soft	0.001	44	test	0.920101	0.072863	0.8779	1	0.241535	0.0256097	478410	101125	0.2114	3144000	2	2	1	0
budget	soft	0.001	42	test	0.825633	0.169132	0.73	1	0.243809	0.0165726	478410	101125	0.2114	628800	2	2	1	0
budget	soft	0.001	43	test	0.827776	0.167076	0.6626	1	0.245536	0.0245614	478410	101125	0.2114	628800	2	2	1	0
budget	soft	0.001	44	test	0.825758	0.169187	0.6977	1	0.241954	0.022069	478410	101125	0.2114	628800	2	2	1	0
rfree	soft	0.001	42	test	0.198819	0.797969	0.1983	1	0.399412	0.0168331	478410	101125	0.2114	0	2	2	1	0
rfree	soft	0.001	43	test	0.197882	0.79839	0.1983	1	0.397317	0.0345229	478410	101125	0.2114	0	2	2	1	0
rfree	soft	0.001	44	test	0.200401	0.796699	0.1983	1	0.399511	0.0164251	478410	101125	0.2114	0	2	2	1	0
