regime	coef	nlr	seed	split	acc	forget	infer	c_sum	c_sd	c_err	backbone_params	extra_params	param_ratio	buffer_bytes	fwd_train	bwd_train	fwd_infer	bwd_infer
normal	uniform	0.001	42	test	0.900508	0.0951488	0.8699	1	0.157354	0.423347	478410	101125	0.2114	3144000	2	2	1	0
normal	soft	0.0001	42	val	0.927349	0.0644345	0.884147	1	0.245086	0.0506887	478410	101125	0.2114	3144000	2	2	1	0
normal	soft	0.001	42	val	0.928348	0.0636093	0.880147	1	0.246068	0.0319163	478410	101125	0.2114	3144000	2	2	1	0
normal	soft	0.01	42	val	0.927246	0.0645448	0.390398	1	0.244388	0.111965	478410	101125	0.2114	3144000	2	2	1	0
normal	truefrac	0.001	42	test	0.926256	0.0674885	0.8845	1	0.244625	3.64991e-11	478410	101125	0.2114	3144000	2	2	1	0
normal	truefrac	0.001	43	test	0.931515	0.0609274	0.8823	1	0.246077	0	478410	101125	0.2114	3144000	2	2	1	0
normal	truefrac	0.001	44	test	0.92279	0.0710785	0.8779	1	0.241392	0	478410	101125	0.2114	3144000	2	2	1	0
budget	truefrac	0.001	42	test	0.820502	0.174652	0.73	1	0.243696	0	478410	101125	0.2114	628800	2	2	1	0
budget	truefrac	0.001	43	test	0.836162	0.159201	0.6626	1	0.245336	1.9043e-11	478410	101125	0.2114	628800	2	2	1	0
budget	truefrac	0.001	44	test	0.813443	0.180402	0.6977	1	0.241883	1.9043e-11	478410	101125	0.2114	628800	2	2	1	0
rfree	truefrac	0.001	42	test	0.5366	0.31494	0.1983	1	0.399926	0	478410	101125	0.2114	0	2	2	1	0
rfree	truefrac	0.001	43	test	0.506155	0.364227	0.1983	1	0.399926	0	478410	101125	0.2114	0	2	2	1	0
rfree	truefrac	0.001	44	test	0.564888	0.307439	0.1983	1	0.399926	0	478410	101125	0.2114	0	2	2	1	0
