regime	coef	nlr	seed	split	acc	forget	infer	c_sum	c_sd	c_err	backbone_params	extra_params	param_ratio	buffer_bytes	fwd_train	bwd_train	fwd_infer	bwd_infer
normal	uniform	0.001	42	test	0.900508	0.0951488	0.8699	1	0.157354	0.423347	478410	101125	0.2114	3144000	2	2	1	0
normal	soft	0.0001	42	val	0.927349	0.0644345	0.884147	1	0.245086	0.0506887	478410	101125	0.2114	3144000	2	2	1	0
normal	soft	0.001	42	val	0.928348	0.0636093	0.880147	1	0.246068	0.0319163	478410	101125	0.2114	3144000	2	2	1	0
normal	soft	0.01	42	val	0.927246	0.0645448	0.390398	1	0.244388	0.111965	478410	101125	0.2114	3144000	2	2	1	0
normal	uniform	0.001	43	test	0.909914	0.0850629	0.8823	1	0.157354	0.428084	478410	101125	0.2114	3144000	2	2	1	0
normal	uniform	0.001	44	test	0.896001	0.0998956	0.8779	1	0.157354	0.411343	478410	101125	0.2114	3144000	2	2	1	0
budget	uniform	0.001	42	test	0.764308	0.232876	0.73	1	0.157354	0.422183	478410	101125	0.2114	628800	2	2	1	0
budget	uniform	0.001	43	test	0.782981	0.213402	0.6626	1	0.157354	0.425812	478410	101125	0.2114	628800	2	2	1	0
budget	uniform	0.001	44	test	0.759387	0.236494	0.6977	1	0.157354	0.413389	478410	101125	0.2114	628800	2	2	1	0
rfree	uniform	0.001	42	test	0.5366	0.31494	0.1983	1	0.399926	0	478410	101125	0.2114	0	2	2	1	0
rfree	uniform	0.001	43	test	0.506155	0.364227	0.1983	1	0.399926	0	478410	101125	0.2114	0	2	2	1	0
rfree	uniform	0.001	44	test	0.564888	0.307439	0.1983	1	0.399926	0	478410	101125	0.2114	0	2	2	1	0
