regime	coef	nlr	seed	split	acc	forget	infer	c_sum	c_sd	c_err	backbone_params	extra_params	param_ratio	buffer_bytes	fwd_train	bwd_train	fwd_infer	bwd_infer
normal	truefrac	0.001	42	test	0.903172	0.0917942	0.8699	1	0.244625	1.74561e-11	478410	101125	0.2114	3144000	2	2	1	0
normal	soft	0.0001	42	val	0.910057	0.0834174	0.884147	1	0.245086	0.0506887	478410	101125	0.2114	3144000	2	2	1	0
normal	soft	0.001	42	val	0.916122	0.0773355	0.880147	1	0.246068	0.0319163	478410	101125	0.2114	3144000	2	2	1	0
normal	soft	0.01	42	val	0.915514	0.0792702	0.390398	1	0.244388	0.111965	478410	101125	0.2114	3144000	2	2	1	0
normal	soft	0.001	42	test	0.900617	0.0946478	0.8845	1	0.244519	0.0229638	478410	101125	0.2114	3144000	2	2	1	0
normal	soft	0.001	43	test	0.903495	0.0909784	0.8823	1	0.245976	0.0270141	478410	101125	0.2114	3144000	2	2	1	0
normal	soft	0.001	44	test	0.891563	0.103508	0.8779	1	0.241535	0.0256097	478410	101125	0.2114	3144000	2	2	1	0
normal	ema	0.001	42	test	0.904726	0.091437	0.8845	1	0.227691	0.180119	478410	101125	0.2114	3144000	2	2	1	0
normal	ema	0.001	43	test	0.915905	0.0800831	0.8823	1	0.229341	0.183129	478410	101125	0.2114	3144000	2	2	1	0
normal	ema	0.001	44	test	0.900574	0.095126	0.8779	1	0.22508	0.180766	478410	101125	0.2114	3144000	2	2	1	0
normal	dev	0.001	42	test	0.906944	0.0874829	0.8845	5	0.080797	1.01101	478410	101125	0.2114	3144000	2	2	1	0
normal	dev	0.001	43	test	0.919485	0.0748424	0.8823	5	0.080387	1.01023	478410	101125	0.2114	3144000	2	2	1	0
normal	dev	0.001	44	test	0.901551	0.092816	0.8779	5	0.0797521	1.0015	478410	101125	0.2114	3144000	2	2	1	0
normal	dev_norm	0.001	42	test	0.914558	0.0802925	0.8845	1	0.0161594	1.01101	478410	101125	0.2114	3144000	2	2	1	0
normal	dev_norm	0.001	43	test	0.916008	0.0785417	0.8823	1	0.0160774	1.01023	478410	101125	0.2114	3144000	2	2	1	0
normal	dev_norm	0.001	44	test	0.904034	0.0907391	0.8779	1	0.0159504	1.0015	478410	101125	0.2114	3144000	2	2	1	0
normal	truefrac	0.001	43	test	0.905535	0.0886205	0.8823	1	0.246077	0	478410	101125	0.2114	3144000	2	2	1	0
normal	truefrac	0.001	44	test	0.894132	0.101338	0.8779	1	0.241392	0	478410	101125	0.2114	3144000	2	2	1	0
normal	uniform	0.001	42	test	0.908383	0.0858679	0.8845	1	0.157354	0.423347	478410	101125	0.2114	3144000	2	2	1	0
normal	uniform	0.001	43	test	0.910486	0.0826555	0.8823	1	0.157354	0.428084	478410	101125	0.2114	3144000	2	2	1	0
normal	uniform	0.001	44	test	0.907541	0.0863187	0.8779	1	0.157354	0.411343	478410	101125	0.2114	3144000	2	2	1	0
normal	learned	0.001	42	test	0.914897	0.0797813	0.8845	1	0.0133866	1.06215	478410	101125	0.2114	3144000	2	2	1	0
normal	learned	0.001	43	test	0.91598	0.0787836	0.8823	1	0.0136158	1.06294	478410	101125	0.2114	3144000	2	2	1	0
normal	learned	0.001	44	test	0.904116	0.0910572	0.8779	1	0.0129092	1.05342	478410	101125	0.2114	3144000	2	2	1	0
