regime	coef	nlr	seed	split	acc	forget	infer	c_sum	c_sd	c_err	backbone_params	extra_params	param_ratio	buffer_bytes	fwd_train	bwd_train	fwd_infer	bwd_infer
normal	truefrac	0.001	42	test	0.903172	0.0917942	0.8699	1	0.244625	1.74561e-11	478410	101125	0.2114	3144000	2	2	1	0
normal	soft	0.0001	42	val	0.910057	0.0834174	0.884147	1	0.245086	0.0506887	478410	101125	0.2114	3144000	2	2	1	0
normal	soft	0.001	42	val	0.916122	0.0773355	0.880147	1	0.246068	0.0319163	478410	101125	0.2114	3144000	2	2	1	0
normal	soft	0.01	42	val	0.915514	0.0792702	0.390398	1	0.244388	0.111965	478410	101125	0.2114	3144000	2	2	1	0
normal	ema	0.001	42	test	0.904726	0.091437	0.8845	1	0.227691	0.180119	478410	101125	0.2114	3144000	2	2	1	0
normal	ema	0.001	43	test	0.915905	0.0800831	0.8823	1	0.229341	0.183129	478410	101125	0.2114	3144000	2	2	1	0
normal	ema	0.001	44	test	0.900574	0.095126	0.8779	1	0.22508	0.180766	478410	101125	0.2114	3144000	2	2	1	0
budget	ema	0.001	42	test	0.772249	0.224947	0.73	1	0.226749	0.178546	478410	101125	0.2114	628800	2	2	1	0
budget	ema	0.001	43	test	0.763222	0.234581	0.6626	1	0.229012	0.182958	478410	101125	0.2114	628800	2	2	1	0
budget	ema	0.001	44	test	0.755058	0.242119	0.6977	1	0.22537	0.181625	478410	101125	0.2114	628800	2	2	1	0
rfree	ema	0.001	42	test	0.19879	0.798521	0.1983	1	0.370972	0.219241	478410	101125	0.2114	0	2	2	1	0
rfree	ema	0.001	43	test	0.199193	0.799007	0.1983	1	0.369279	0.236929	478410	101125	0.2114	0	2	2	1	0
rfree	ema	0.001	44	test	0.198991	0.79842	0.1983	1	0.371012	0.218834	478410	101125	0.2114	0	2	2	1	0
