regime	coef	nlr	seed	split	acc	forget	infer	c_sum	c_sd	c_err	backbone_params	extra_params	param_ratio	buffer_bytes	fwd_train	bwd_train	fwd_infer	bwd_infer
normal	truefrac	0.001	42	test	0.903172	0.0917942	0.8699	1	0.244625	1.74561e-11	478410	101125	0.2114	3144000	2	2	1	0
normal	soft	0.0001	42	val	0.910057	0.0834174	0.884147	1	0.245086	0.0506887	478410	101125	0.2114	3144000	2	2	1	0
normal	soft	0.001	42	val	0.916122	0.0773355	0.880147	1	0.246068	0.0319163	478410	101125	0.2114	3144000	2	2	1	0
normal	soft	0.01	42	val	0.915514	0.0792702	0.390398	1	0.244388	0.111965	478410	101125	0.2114	3144000	2	2	1	0
normal	learned	0.001	42	test	0.914897	0.0797813	0.8845	1	0.0133866	1.06215	478410	101125	0.2114	3144000	2	2	1	0
normal	learned	0.001	43	test	0.91598	0.0787836	0.8823	1	0.0136158	1.06294	478410	101125	0.2114	3144000	2	2	1	0
normal	learned	0.001	44	test	0.904116	0.0910572	0.8779	1	0.0129092	1.05342	478410	101125	0.2114	3144000	2	2	1	0
budget	learned	0.001	42	test	0.795446	0.200849	0.73	1	0.0117404	1.06561	478410	101125	0.2114	628800	2	2	1	0
budget	learned	0.001	43	test	0.792953	0.203828	0.6626	1	0.0119756	1.05994	478410	101125	0.2114	628800	2	2	1	0
budget	learned	0.001	44	test	0.78119	0.214796	0.6977	1	0.0119281	1.05154	478410	101125	0.2114	628800	2	2	1	0
rfree	learned	0.001	42	test	0.197579	0.798402	0.1983	1	0.0123812	1.62346	478410	101125	0.2114	0	2	2	1	0
rfree	learned	0.001	43	test	0.198185	0.798203	0.1983	1	0.0129957	1.62494	478410	101125	0.2114	0	2	2	1	0
rfree	learned	0.001	44	test	0.198991	0.798503	0.1983	1	0.0123143	1.62306	478410	101125	0.2114	0	2	2	1	0
