regime	coef	nlr	seed	split	acc	forget	infer	c_sum	c_sd	c_err	backbone_params	extra_params	param_ratio	buffer_bytes	fwd_train	bwd_train	fwd_infer	bwd_infer
normal	truefrac	0.001	42	test	0.903172	0.0917942	0.8699	1	0.244625	1.74561e-11	478410	101125	0.2114	3144000	2	2	1	0
normal	soft	0.0001	42	val	0.910057	0.0834174	0.884147	1	0.245086	0.0506887	478410	101125	0.2114	3144000	2	2	1	0
normal	soft	0.001	42	val	0.916122	0.0773355	0.880147	1	0.246068	0.0319163	478410	101125	0.2114	3144000	2	2	1	0
normal	soft	0.01	42	val	0.915514	0.0792702	0.390398	1	0.244388	0.111965	478410	101125	0.2114	3144000	2	2	1	0
normal	soft	0.001	42	test	0.900617	0.0946478	0.8845	1	0.244519	0.0229638	478410	101125	0.2114	3144000	2	2	1	0
normal	soft	0.001	43	test	0.903495	0.0909784	0.8823	1	0.245976	0.0270141	478410	101125	0.2114	3144000	2	2	1	0
normal	soft	0.001	44	test	0.891563	0.103508	0.8779	1	0.241535	0.0256097	478410	101125	0.2114	3144000	2	2	1	0
budget	soft	0.001	42	test	0.777794	0.218891	0.73	1	0.243809	0.0165726	478410	101125	0.2114	628800	2	2	1	0
budget	soft	0.001	43	test	0.783516	0.21274	0.6626	1	0.245536	0.0245614	478410	101125	0.2114	628800	2	2	1	0
budget	soft	0.001	44	test	0.774214	0.222088	0.6977	1	0.241954	0.022069	478410	101125	0.2114	628800	2	2	1	0
rfree	soft	0.001	42	test	0.198386	0.798393	0.1983	1	0.399412	0.0168331	478410	101125	0.2114	0	2	2	1	0
rfree	soft	0.001	43	test	0.198891	0.797895	0.1983	1	0.397317	0.0345229	478410	101125	0.2114	0	2	2	1	0
rfree	soft	0.001	44	test	0.198084	0.798491	0.1983	1	0.399511	0.0164251	478410	101125	0.2114	0	2	2	1	0
