regime	coef	nlr	seed	split	acc	forget	infer	c_sum	c_sd	c_err	backbone_params	extra_params	param_ratio	buffer_bytes	fwd_train	bwd_train	fwd_infer	bwd_infer
normal	truefrac	0.001	42	test	0.903172	0.0917942	0.8699	1	0.244625	1.74561e-11	478410	101125	0.2114	3144000	2	2	1	0
normal	soft	0.0001	42	val	0.910057	0.0834174	0.884147	1	0.245086	0.0506887	478410	101125	0.2114	3144000	2	2	1	0
normal	soft	0.001	42	val	0.916122	0.0773355	0.880147	1	0.246068	0.0319163	478410	101125	0.2114	3144000	2	2	1	0
normal	soft	0.01	42	val	0.915514	0.0792702	0.390398	1	0.244388	0.111965	478410	101125	0.2114	3144000	2	2	1	0
normal	truefrac	0.001	43	test	0.905535	0.0886205	0.8823	1	0.246077	0	478410	101125	0.2114	3144000	2	2	1	0
normal	truefrac	0.001	44	test	0.894132	0.101338	0.8779	1	0.241392	0	478410	101125	0.2114	3144000	2	2	1	0
budget	truefrac	0.001	42	test	0.764699	0.231597	0.73	1	0.243696	0	478410	101125	0.2114	628800	2	2	1	0
budget	truefrac	0.001	43	test	0.781646	0.214538	0.6626	1	0.245336	1.9043e-11	478410	101125	0.2114	628800	2	2	1	0
budget	truefrac	0.001	44	test	0.76846	0.22781	0.6977	1	0.241883	1.9043e-11	478410	101125	0.2114	628800	2	2	1	0
rfree	truefrac	0.001	42	test	0.197882	0.798704	0.1983	1	0.399926	0	478410	101125	0.2114	0	2	2	1	0
rfree	truefrac	0.001	43	test	0.198185	0.797791	0.1983	1	0.399926	0	478410	101125	0.2114	0	2	2	1	0
rfree	truefrac	0.001	44	test	0.198386	0.797889	0.1983	1	0.399926	0	478410	101125	0.2114	0	2	2	1	0
