regime	coef	nlr	seed	split	acc	forget	infer	c_sum	c_sd	c_err	w_mean	backbone_params	extra_params	param_ratio	buffer_bytes	fwd_train	bwd_train	fwd_infer	bwd_infer
normal	ones	0.001	42	test	0.903759	0.0912014	0.8699	5	0	1.02924	1	478410	101125	0.2114	3144000	2	2	1	0
normal	soft	0.0001	42	val	0.892707	0.101912	0.884147	1	0.245086	0.0506887	0.540338	478410	101125	0.2114	3144000	2	2	1	0
normal	soft	0.001	42	val	0.895136	0.0986432	0.880147	1	0.246068	0.0319163	0.544348	478410	101125	0.2114	3144000	2	2	1	0
normal	soft	0.01	42	val	0.903425	0.0916968	0.390398	1	0.244388	0.111965	0.535452	478410	101125	0.2114	3144000	2	2	1	0
normal	soft	0.001	42	test	0.881754	0.113505	0.8699	1	0.244549	0.0223648	0.552775	478410	101125	0.2114	3144000	2	2	1	0
normal	soft	0.001	43	test	0.891773	0.103714	0.876	1	0.245924	0.0279976	0.554119	478410	101125	0.2114	3144000	2	2	1	0
normal	soft	0.001	44	test	0.882034	0.113853	0.8759	1	0.240754	0.031058	0.546763	478410	101125	0.2114	3144000	2	2	1	0
normal	ema	0.001	42	test	0.893475	0.103507	0.8699	1	0.22783	0.180234	0.517771	478410	101125	0.2114	3144000	2	2	1	0
normal	ema	0.001	43	test	0.902141	0.0930751	0.876	1	0.22932	0.183802	0.519007	478410	101125	0.2114	3144000	2	2	1	0
normal	ema	0.001	44	test	0.885432	0.110061	0.8759	1	0.224224	0.185076	0.512096	478410	101125	0.2114	3144000	2	2	1	0
normal	dev	0.001	42	test	0.898017	0.0969491	0.8699	5	0.0804417	1.01097	1.035	478410	101125	0.2114	3144000	2	2	1	0
normal	dev	0.001	43	test	0.90712	0.0868101	0.876	5	0.0802672	1.01024	1.03511	478410	101125	0.2114	3144000	2	2	1	0
normal	dev	0.001	44	test	0.896903	0.0977744	0.8759	5	0.0796001	1.00154	1.03467	478410	101125	0.2114	3144000	2	2	1	0
