regime	arm	mask	lr	seed	split	acc	forget	n_allowed	backbone_params	extra_params	param_ratio	buffer_bytes	fwd_train	bwd_train	fwd_infer	bwd_infer
normal	naive	none	0.0003	42	test	0.198588	0.797322	10	478410	0	0	0	1	1	1	0
normal	naive	none	0.0003	43	test	0.198588	0.798286	10	478410	0	0	0	1	1	1	0
normal	naive	none	0.0003	44	test	0.198588	0.798202	10	478410	0	0	0	1	1	1	0
normal	naive	curr	1e-05	42	test	0.595335	0.153116	2	478410	0	0	0	1	1	1	0
normal	naive	curr	1e-05	43	test	0.638294	0.115204	2	478410	0	0	0	1	1	1	0
normal	naive	curr	1e-05	44	test	0.563357	0.143185	2	478410	0	0	0	1	1	1	0
normal	naive	none	1e-06	42	val	0.495358	0.446346	10	478410	0	0	0	1	1	1	0
normal	naive	none	1e-05	42	val	0.198686	0.78292	10	478410	0	0	0	1	1	1	0
normal	naive	none	0.0001	42	val	0.199507	0.794382	10	478410	0	0	0	1	1	1	0
normal	naive	none	0.0003	42	val	0.2	0.795294	10	478410	0	0	0	1	1	1	0
normal	naive	none	0.001	42	val	0.2	0.79361	10	478410	0	0	0	1	1	1	0
normal	er	none	1e-06	42	val	0.634914	0.172431	10	478410	0	0	3144000	1	1	1	0
normal	er	none	1e-05	42	val	0.852586	0.11349	10	478410	0	0	3144000	1	1	1	0
normal	er	none	0.0001	42	val	0.908623	0.0814088	10	478410	0	0	3144000	1	1	1	0
normal	er	none	0.0003	42	val	0.908497	0.0842745	10	478410	0	0	3144000	1	1	1	0
normal	er	none	0.001	42	val	0.898601	0.0947105	10	478410	0	0	3144000	1	1	1	0
normal	naive	curr	1e-06	42	val	0.548996	0.137268	2	478410	0	0	0	1	1	1	0
normal	naive	curr	1e-05	42	val	0.604112	0.0786473	2	478410	0	0	0	1	1	1	0
normal	naive	curr	0.0001	42	val	0.530984	0.182825	2	478410	0	0	0	1	1	1	0
normal	naive	curr	0.0003	42	val	0.45245	0.327261	2	478410	0	0	0	1	1	1	0
normal	naive	curr	0.001	42	val	0.325606	0.616152	2	478410	0	0	0	1	1	1	0
normal	er	curr	1e-06	42	val	0.537917	0.0101193	2	478410	0	0	3144000	1	1	1	0
normal	er	curr	1e-05	42	val	0.534318	0.0270588	2	478410	0	0	3144000	1	1	1	0
normal	er	curr	0.0001	42	val	0.570994	0.0412971	2	478410	0	0	3144000	1	1	1	0
normal	er	curr	0.0003	42	val	0.5977	0.139485	2	478410	0	0	3144000	1	1	1	0
normal	er	curr	0.001	42	val	0.613443	0.24003	2	478410	0	0	3144000	1	1	1	0
normal	naive	past	1e-06	42	val	0.311421	0.0655058	5.95981	478410	0	0	0	1	1	1	0
normal	naive	past	1e-05	42	val	0.200378	0.0648683	5.95981	478410	0	0	0	1	1	1	0
normal	naive	past	0.0001	42	val	0.312467	0.0331899	5.95981	478410	0	0	0	1	1	1	0
normal	naive	past	0.0003	42	val	0.369337	0.0466581	5.95981	478410	0	0	0	1	1	1	0
normal	naive	past	0.001	42	val	0.195178	0.20385	5.95981	478410	0	0	0	1	1	1	0
normal	er	past	1e-06	42	val	0.303703	0.0286333	7.11826	478410	0	0	3144000	1	1	1	0
normal	er	past	1e-05	42	val	0.197158	0.00071048	7.11826	478410	0	0	3144000	1	1	1	0
normal	er	past	0.0001	42	val	0.207722	0.00017762	7.11826	478410	0	0	3144000	1	1	1	0
normal	er	past	0.0003	42	val	0.27664	0.00035524	7.11826	478410	0	0	3144000	1	1	1	0
normal	er	past	0.001	42	val	0.270993	0.00195382	7.11826	478410	0	0	3144000	1	1	1	0
normal	naive	future	1e-06	42	val	0.197708	0.706688	6.04019	478410	0	0	0	1	1	1	0
normal	naive	future	1e-05	42	val	0.198686	0.784437	6.04019	478410	0	0	0	1	1	1	0
normal	naive	future	0.0001	42	val	0.199672	0.794882	6.04019	478410	0	0	0	1	1	1	0
normal	naive	future	0.0003	42	val	0.2	0.795439	6.04019	478410	0	0	0	1	1	1	0
normal	naive	future	0.001	42	val	0.199507	0.794745	6.04019	478410	0	0	0	1	1	1	0
normal	er	future	1e-06	42	val	0.2015	0.713575	4.88174	478410	0	0	3144000	1	1	1	0
normal	er	future	1e-05	42	val	0.198686	0.784821	4.88174	478410	0	0	3144000	1	1	1	0
normal	er	future	0.0001	42	val	0.199839	0.793373	4.88174	478410	0	0	3144000	1	1	1	0
normal	er	future	0.0003	42	val	0.199836	0.795254	4.88174	478410	0	0	3144000	1	1	1	0
normal	er	future	0.001	42	val	0.2	0.794111	4.88174	478410	0	0	3144000	1	1	1	0
normal	naive	none	1e-06	42	test	0.290404	0.650623	10	478410	0	0	0	1	1	1	0
normal	naive	none	1e-06	43	test	0.316834	0.569236	10	478410	0	0	0	1	1	1	0
normal	naive	none	1e-06	44	test	0.29763	0.640454	10	478410	0	0	0	1	1	1	0
normal	er	none	0.0001	42	test	0.907999	0.0841498	10	478410	0	0	3144000	1	1	1	0
normal	er	none	0.0001	43	test	0.905176	0.0870635	10	478410	0	0	3144000	1	1	1	0
normal	er	none	0.0001	44	test	0.910205	0.0833493	10	478410	0	0	3144000	1	1	1	0
normal	er	curr	0.001	42	test	0.648278	0.200119	2	478410	0	0	3144000	1	1	1	0
normal	er	curr	0.001	43	test	0.705683	0.141452	2	478410	0	0	3144000	1	1	1	0
normal	er	curr	0.001	44	test	0.633023	0.17913	2	478410	0	0	3144000	1	1	1	0
normal	naive	past	0.0003	42	test	0.200586	0.15447	6.05112	478410	0	0	0	1	1	1	0
normal	naive	past	0.0003	43	test	0.355275	0.0532727	6.05112	478410	0	0	0	1	1	1	0
normal	naive	past	0.0003	44	test	0.296675	0.125425	6.05112	478410	0	0	0	1	1	1	0
normal	er	past	1e-06	42	test	0.200017	0.00842311	7.22213	478410	0	0	3144000	1	1	1	0
normal	er	past	1e-06	43	test	0.223635	0.0115472	7.20982	478410	0	0	3144000	1	1	1	0
normal	er	past	1e-06	44	test	0.200422	0	7.26443	478410	0	0	3144000	1	1	1	0
normal	naive	future	0.0003	42	test	0.198991	0.798295	5.94888	478410	0	0	0	1	1	1	0
normal	naive	future	0.0003	43	test	0.198386	0.7985	5.94888	478410	0	0	0	1	1	1	0
normal	naive	future	0.0003	44	test	0.198991	0.798995	5.94888	478410	0	0	0	1	1	1	0
normal	er	future	1e-06	42	test	0.230597	0.733499	4.77787	478410	0	0	3144000	1	1	1	0
normal	er	future	1e-06	43	test	0.20844	0.726393	4.79018	478410	0	0	3144000	1	1	1	0
normal	er	future	1e-06	44	test	0.201696	0.742791	4.73557	478410	0	0	3144000	1	1	1	0
