regime	arm	mask	lr	seed	split	acc	forget	n_allowed	backbone_params	extra_params	param_ratio	buffer_bytes	fwd_train	bwd_train	fwd_infer	bwd_infer
normal	naive	none	0.0003	42	test	0.198588	0.797322	10	478410	0	0	0	1	1	1	0
normal	naive	none	0.0003	43	test	0.198588	0.798286	10	478410	0	0	0	1	1	1	0
normal	naive	none	0.0003	44	test	0.198588	0.798202	10	478410	0	0	0	1	1	1	0
normal	naive	curr	1e-05	42	test	0.595335	0.153116	2	478410	0	0	0	1	1	1	0
normal	naive	curr	1e-05	43	test	0.638294	0.115204	2	478410	0	0	0	1	1	1	0
normal	naive	curr	1e-05	44	test	0.563357	0.143185	2	478410	0	0	0	1	1	1	0
normal	naive	curr	1e-06	42	val	0.548996	0.137268	2	478410	0	0	0	1	1	1	0
normal	naive	curr	1e-05	42	val	0.604112	0.0786473	2	478410	0	0	0	1	1	1	0
normal	naive	curr	0.0001	42	val	0.530984	0.182825	2	478410	0	0	0	1	1	1	0
normal	naive	curr	0.0003	42	val	0.45245	0.327261	2	478410	0	0	0	1	1	1	0
normal	naive	curr	0.001	42	val	0.325606	0.616152	2	478410	0	0	0	1	1	1	0
normal	er	curr	1e-06	42	val	0.537917	0.0101193	2	478410	0	0	3144000	1	1	1	0
normal	er	curr	1e-05	42	val	0.534318	0.0270588	2	478410	0	0	3144000	1	1	1	0
normal	er	curr	0.0001	42	val	0.570994	0.0412971	2	478410	0	0	3144000	1	1	1	0
normal	er	curr	0.0003	42	val	0.5977	0.139485	2	478410	0	0	3144000	1	1	1	0
normal	er	curr	0.001	42	val	0.613443	0.24003	2	478410	0	0	3144000	1	1	1	0
normal	er	curr	0.001	42	test	0.648278	0.200119	2	478410	0	0	3144000	1	1	1	0
normal	er	curr	0.001	43	test	0.705683	0.141452	2	478410	0	0	3144000	1	1	1	0
normal	er	curr	0.001	44	test	0.633023	0.17913	2	478410	0	0	3144000	1	1	1	0
