regime	arm	mask	lr	seed	split	acc	forget	n_allowed	backbone_params	extra_params	param_ratio	buffer_bytes	fwd_train	bwd_train	fwd_infer	bwd_infer
normal	naive	none	0.0003	42	test	0.198588	0.797322	10	478410	0	0	0	1	1	1	0
normal	naive	none	0.0003	43	test	0.198588	0.798286	10	478410	0	0	0	1	1	1	0
normal	naive	none	0.0003	44	test	0.198588	0.798202	10	478410	0	0	0	1	1	1	0
normal	naive	curr	1e-05	42	test	0.595335	0.153116	2	478410	0	0	0	1	1	1	0
normal	naive	curr	1e-05	43	test	0.638294	0.115204	2	478410	0	0	0	1	1	1	0
normal	naive	curr	1e-05	44	test	0.563357	0.143185	2	478410	0	0	0	1	1	1	0
normal	naive	future	1e-06	42	val	0.197708	0.706688	6.04019	478410	0	0	0	1	1	1	0
normal	naive	future	1e-05	42	val	0.198686	0.784437	6.04019	478410	0	0	0	1	1	1	0
normal	naive	future	0.0001	42	val	0.199672	0.794882	6.04019	478410	0	0	0	1	1	1	0
normal	naive	future	0.0003	42	val	0.2	0.795439	6.04019	478410	0	0	0	1	1	1	0
normal	naive	future	0.001	42	val	0.199507	0.794745	6.04019	478410	0	0	0	1	1	1	0
normal	er	future	1e-06	42	val	0.2015	0.713575	4.88174	478410	0	0	3144000	1	1	1	0
normal	er	future	1e-05	42	val	0.198686	0.784821	4.88174	478410	0	0	3144000	1	1	1	0
normal	er	future	0.0001	42	val	0.199839	0.793373	4.88174	478410	0	0	3144000	1	1	1	0
normal	er	future	0.0003	42	val	0.199836	0.795254	4.88174	478410	0	0	3144000	1	1	1	0
normal	er	future	0.001	42	val	0.2	0.794111	4.88174	478410	0	0	3144000	1	1	1	0
normal	naive	future	0.0003	42	test	0.198991	0.798295	5.94888	478410	0	0	0	1	1	1	0
normal	naive	future	0.0003	43	test	0.198386	0.7985	5.94888	478410	0	0	0	1	1	1	0
normal	naive	future	0.0003	44	test	0.198991	0.798995	5.94888	478410	0	0	0	1	1	1	0
normal	er	future	1e-06	42	test	0.230597	0.733499	4.77787	478410	0	0	3144000	1	1	1	0
normal	er	future	1e-06	43	test	0.20844	0.726393	4.79018	478410	0	0	3144000	1	1	1	0
normal	er	future	1e-06	44	test	0.201696	0.742791	4.73557	478410	0	0	3144000	1	1	1	0
