regime	arm	mask	lr	seed	split	acc	forget	n_allowed	backbone_params	extra_params	param_ratio	buffer_bytes	fwd_train	bwd_train	fwd_infer	bwd_infer
normal	naive	none	0.0003	42	test	0.198588	0.797322	10	478410	0	0	0	1	1	1	0
normal	naive	none	0.0003	43	test	0.198588	0.798286	10	478410	0	0	0	1	1	1	0
normal	naive	none	0.0003	44	test	0.198588	0.798202	10	478410	0	0	0	1	1	1	0
normal	naive	curr	1e-05	42	test	0.595335	0.153116	2	478410	0	0	0	1	1	1	0
normal	naive	curr	1e-05	43	test	0.638294	0.115204	2	478410	0	0	0	1	1	1	0
normal	naive	curr	1e-05	44	test	0.563357	0.143185	2	478410	0	0	0	1	1	1	0
normal	naive	none	1e-06	42	val	0.495358	0.446346	10	478410	0	0	0	1	1	1	0
normal	naive	none	1e-05	42	val	0.198686	0.78292	10	478410	0	0	0	1	1	1	0
normal	naive	none	0.0001	42	val	0.199507	0.794382	10	478410	0	0	0	1	1	1	0
normal	naive	none	0.0003	42	val	0.2	0.795294	10	478410	0	0	0	1	1	1	0
normal	naive	none	0.001	42	val	0.2	0.79361	10	478410	0	0	0	1	1	1	0
normal	er	none	1e-06	42	val	0.634914	0.172431	10	478410	0	0	3144000	1	1	1	0
normal	er	none	1e-05	42	val	0.852586	0.11349	10	478410	0	0	3144000	1	1	1	0
normal	er	none	0.0001	42	val	0.908623	0.0814088	10	478410	0	0	3144000	1	1	1	0
normal	er	none	0.0003	42	val	0.908497	0.0842745	10	478410	0	0	3144000	1	1	1	0
normal	er	none	0.001	42	val	0.898601	0.0947105	10	478410	0	0	3144000	1	1	1	0
normal	naive	none	1e-06	42	test	0.290404	0.650623	10	478410	0	0	0	1	1	1	0
normal	naive	none	1e-06	43	test	0.316834	0.569236	10	478410	0	0	0	1	1	1	0
normal	naive	none	1e-06	44	test	0.29763	0.640454	10	478410	0	0	0	1	1	1	0
normal	er	none	0.0001	42	test	0.907999	0.0841498	10	478410	0	0	3144000	1	1	1	0
normal	er	none	0.0001	43	test	0.905176	0.0870635	10	478410	0	0	3144000	1	1	1	0
normal	er	none	0.0001	44	test	0.910205	0.0833493	10	478410	0	0	3144000	1	1	1	0
