regime	arm	mask	lr	seed	split	acc	forget	n_allowed	backbone_params	extra_params	param_ratio	buffer_bytes	fwd_train	bwd_train	fwd_infer	bwd_infer
normal	naive	none	0.0003	42	test	0.198588	0.797322	10	478410	0	0	0	1	1	1	0
normal	naive	none	0.0003	43	test	0.198588	0.798286	10	478410	0	0	0	1	1	1	0
normal	naive	none	0.0003	44	test	0.198588	0.798202	10	478410	0	0	0	1	1	1	0
normal	naive	curr	1e-05	42	test	0.595335	0.153116	2	478410	0	0	0	1	1	1	0
normal	naive	curr	1e-05	43	test	0.638294	0.115204	2	478410	0	0	0	1	1	1	0
normal	naive	curr	1e-05	44	test	0.563357	0.143185	2	478410	0	0	0	1	1	1	0
normal	naive	past	1e-06	42	val	0.311421	0.0655058	5.95981	478410	0	0	0	1	1	1	0
normal	naive	past	1e-05	42	val	0.200378	0.0648683	5.95981	478410	0	0	0	1	1	1	0
normal	naive	past	0.0001	42	val	0.312467	0.0331899	5.95981	478410	0	0	0	1	1	1	0
normal	naive	past	0.0003	42	val	0.369337	0.0466581	5.95981	478410	0	0	0	1	1	1	0
normal	naive	past	0.001	42	val	0.195178	0.20385	5.95981	478410	0	0	0	1	1	1	0
normal	er	past	1e-06	42	val	0.303703	0.0286333	7.11826	478410	0	0	3144000	1	1	1	0
normal	er	past	1e-05	42	val	0.197158	0.00071048	7.11826	478410	0	0	3144000	1	1	1	0
normal	er	past	0.0001	42	val	0.207722	0.00017762	7.11826	478410	0	0	3144000	1	1	1	0
normal	er	past	0.0003	42	val	0.27664	0.00035524	7.11826	478410	0	0	3144000	1	1	1	0
normal	er	past	0.001	42	val	0.270993	0.00195382	7.11826	478410	0	0	3144000	1	1	1	0
normal	naive	past	0.0003	42	test	0.200586	0.15447	6.05112	478410	0	0	0	1	1	1	0
normal	naive	past	0.0003	43	test	0.355275	0.0532727	6.05112	478410	0	0	0	1	1	1	0
normal	naive	past	0.0003	44	test	0.296675	0.125425	6.05112	478410	0	0	0	1	1	1	0
normal	er	past	1e-06	42	test	0.200017	0.00842311	7.22213	478410	0	0	3144000	1	1	1	0
normal	er	past	1e-06	43	test	0.223635	0.0115472	7.20982	478410	0	0	3144000	1	1	1	0
normal	er	past	1e-06	44	test	0.200422	0	7.26443	478410	0	0	3144000	1	1	1	0
