regime	switch	gate	nlr	seed	split	acc	oracle	hard	infer	forget	ceiling	gate_mean	switch_step	backbone_params	extra_params	param_ratio	buffer_bytes	fwd_train	bwd_train	fwd_infer	bwd_infer
normal	true	live	0.0001	42	test	0.889599	0.993921	0.883146	0.8882	0.0958044	0.882801	0.2	-1	478410	101125	0.2114	3144000	2	2	2	0
normal	true	live	0.0001	43	test	0.892164	0.99293	0.887975	0.893	0.093161	0.886687	0.2	-1	478410	101125	0.2114	3144000	2	2	2	0
normal	true	live	0.0001	44	test	0.887562	0.991736	0.884793	0.8912	0.0959373	0.883835	0.2	-1	478410	101125	0.2114	3144000	2	2	2	0
normal	true	dead	0.0001	42	test	0.897121	0.897121	0.897121	0.8882	0.0984438	0.796823	1	-1	478410	101125	0.2114	3144000	2	2	2	0
normal	true	dead	0.0001	43	test	0.907491	0.907491	0.907491	0.893	0.0866583	0.81039	1	-1	478410	101125	0.2114	3144000	2	2	2	0
normal	true	dead	0.0001	44	test	0.893315	0.893315	0.893315	0.8912	0.102256	0.796122	1	-1	478410	101125	0.2114	3144000	2	2	2	0
normal	last	live	0.0001	42	test	0.874858	0.989887	0.881948	0.8882	0.112563	0.879218	0.2	-1	478410	101125	0.2114	3144000	2	2	2	0
normal	last	live	0.0001	43	test	0.880653	0.98774	0.885324	0.893	0.105479	0.882052	0.2	-1	478410	101125	0.2114	3144000	2	2	2	0
normal	last	live	0.0001	44	test	0.872656	0.988275	0.883077	0.8912	0.112659	0.880751	0.2	-1	478410	101125	0.2114	3144000	2	2	2	0
normal	last	dead	0.0001	42	test	0.897121	0.897121	0.897121	0.8882	0.0984438	0.796823	1	-1	478410	101125	0.2114	3144000	2	2	2	0
normal	last	dead	0.0001	43	test	0.907491	0.907491	0.907491	0.893	0.0866583	0.81039	1	-1	478410	101125	0.2114	3144000	2	2	2	0
normal	last	dead	0.0001	44	test	0.893315	0.893315	0.893315	0.8912	0.102256	0.796122	1	-1	478410	101125	0.2114	3144000	2	2	2	0
normal	last_half	live	0.0001	42	test	0.871663	0.991636	0.882538	0.8882	0.115253	0.880771	0.2	462	478410	101125	0.2114	3144000	2	2	2	0
normal	last_half	live	0.0001	43	test	0.881022	0.990529	0.886566	0.893	0.105211	0.884543	0.2	462	478410	101125	0.2114	3144000	2	2	2	0
normal	last_half	live	0.0001	44	test	0.869257	0.990497	0.884185	0.8912	0.114949	0.882731	0.2	462	478410	101125	0.2114	3144000	2	2	2	0
normal	last_half	dead	0.0001	42	test	0.897121	0.897121	0.897121	0.8882	0.0984438	0.796823	1	462	478410	101125	0.2114	3144000	2	2	2	0
normal	last_half	dead	0.0001	43	test	0.907491	0.907491	0.907491	0.893	0.0866583	0.81039	1	462	478410	101125	0.2114	3144000	2	2	2	0
normal	last_half	dead	0.0001	44	test	0.893315	0.893315	0.893315	0.8912	0.102256	0.796122	1	462	478410	101125	0.2114	3144000	2	2	2	0
normal	last_plateau	live	0.0001	42	test	0.868679	0.99094	0.882324	0.8882	0.118641	0.880153	0.2	125	478410	101125	0.2114	3144000	2	2	2	0
normal	last_plateau	live	0.0001	43	test	0.878089	0.990325	0.88686	0.893	0.108043	0.88436	0.2	201	478410	101125	0.2114	3144000	2	2	2	0
normal	last_plateau	live	0.0001	44	test	0.866097	0.989708	0.883696	0.8912	0.118916	0.882028	0.2	100	478410	101125	0.2114	3144000	2	2	2	0
normal	last_plateau	dead	0.0001	42	test	0.897121	0.897121	0.897121	0.8882	0.0984438	0.796823	1	125	478410	101125	0.2114	3144000	2	2	2	0
normal	last_plateau	dead	0.0001	43	test	0.907491	0.907491	0.907491	0.893	0.0866583	0.81039	1	201	478410	101125	0.2114	3144000	2	2	2	0
normal	last_plateau	dead	0.0001	44	test	0.893315	0.893315	0.893315	0.8912	0.102256	0.796122	1	100	478410	101125	0.2114	3144000	2	2	2	0
normal	always	live	0.0001	42	test	0.876508	0.989328	0.883291	0.8882	0.114842	0.878721	0.2	-1	478410	101125	0.2114	3144000	2	2	2	0
normal	always	live	0.0001	43	test	0.882529	0.986879	0.886825	0.893	0.106202	0.881283	0.2	-1	478410	101125	0.2114	3144000	2	2	2	0
normal	always	live	0.0001	44	test	0.873701	0.987766	0.883177	0.8912	0.116727	0.880297	0.2	-1	478410	101125	0.2114	3144000	2	2	2	0
normal	always	dead	0.0001	42	test	0.897121	0.897121	0.897121	0.8882	0.0984438	0.796823	1	-1	478410	101125	0.2114	3144000	2	2	2	0
normal	always	dead	0.0001	43	test	0.907491	0.907491	0.907491	0.893	0.0866583	0.81039	1	-1	478410	101125	0.2114	3144000	2	2	2	0
