schedule	metric	arm	driver	gran	nlr	seed	acc	app_h0	app_h1	app_out	eval_h0	eval_h1	eval_out
boundary	classil	erown	taskid	global	0.001	42	0.900568	0.0848618	0.0848618	0.0848618	0.113984	0.113984	0.113984
boundary	classil	erown	taskid	neuron	0.01	42	0.918015	0.142455	0.143304	0.277451	0.150608	0.14557	0.14448
boundary	classil	erown	taskid	synapse	0.001	42	0.925817	0.011167	0.0134965	0.0228808	0.0132754	0.0160302	0.0162369
boundary	classil	erown	ach	global	0.001	42	0.899168	0.0266851	0.0266851	0.0266851	0.0325326	0.0325326	0.0325326
boundary	classil	erown	ach	neuron	0.01	42	0.914635	0.0444812	0.0473823	0.095974	0.040326	0.0413666	0.0716661
boundary	classil	erown	ach	synapse	0.1	42	0.906398	0.0838746	0.0832975	0.129714	0.0662337	0.0659188	0.0890388
boundary	classil	erown	nerisez	global	0.001	42	0.898897	0.0403104	0.0403104	0.0403104	0.0815979	0.0815979	0.0815979
boundary	classil	erown	nerisez	neuron	0.01	42	0.913289	0.0571856	0.061624	0.0954481	0.057818	0.0612287	0.0737626
boundary	classil	erown	nerisez	synapse	0.01	42	0.915439	0.0212693	0.0270356	0.049771	0.0176705	0.0246813	0.0429974
boundary	classil	erown	vecproj	global	0.01	42	0.903322	0.117508	0.117508	0.117508	11.0843	11.0843	11.0843
boundary	classil	erown	vecproj	neuron	0.1	42	0.92215	0.187914	0.18798	0.325574	1.31875e+11	2.4942e+09	207908
boundary	classil	erown	vecproj	synapse	0.01	42	0.922291	0.0110127	0.0124499	0.0153482	0.394583	0.463102	0.573321
boundary	classil	erown	const	global	0.0001	42	0.902401	0.0175719	0.0175719	0.0175719	0.0298173	0.0298173	0.0298173
boundary	classil	erown	const	neuron	0.001	42	0.922337	0.0343481	0.0379072	0.0689903	0.0489814	0.0511802	0.080743
boundary	classil	erown	const	synapse	0.001	42	0.922015	0.0136533	0.0183166	0.0447793	0.0175505	0.0249493	0.0578754
