regime	schedule	metric	arm	driver	gran	nlr	seed	split	acc	forget	probe	g_h0	g_h1	g_out	acc_live	backbone_params	extra_params	param_ratio	buffer_bytes	fwd_train	bwd_train	fwd_infer	bwd_infer
normal	step	classil	erown	er	-	0	42	test	0.903365	0.0809186	nan	0	0	0	0.903365	478410	0	0	3144000	1	1	1	0
normal	step	taskil	erown	er	-	0	42	test	0.994133	0.00306472	nan	0	0	0	0.994133	478410	0	0	3144000	1	1	1	0
normal	step	classil	erown	ach	global	1e-07	42	val	0.903639	0.0804223	0.206868	9.2343e-07	9.2343e-07	9.2343e-07	0.903639	478410	25154	0.0526	3144000	3	2	1	0
normal	step	classil	erown	ach	global	1e-06	42	val	0.890304	0.0952365	0.265878	0.000229006	0.000229006	0.000229006	0.890304	478410	25154	0.0526	3144000	3	2	1	0
normal	step	classil	erown	ach	global	1e-05	42	val	0.842809	0.145255	0.259377	6.1483e-05	6.1483e-05	6.1483e-05	0.842809	478410	25154	0.0526	3144000	3	2	1	0
normal	step	classil	erown	ach	global	0.0001	42	val	0.826429	0.160955	0.282714	4.74343e-05	4.74343e-05	4.74343e-05	0.826429	478410	25154	0.0526	3144000	3	2	1	0
normal	step	classil	erown	ach	global	0.001	42	val	0.815041	0.171519	0.241374	2.25373e-05	2.25373e-05	2.25373e-05	0.815041	478410	25154	0.0526	3144000	3	2	1	0
normal	step	classil	bufcur	ach	global	1e-07	42	val	0.621738	0.104392	0.205034	2.76628e-06	2.76628e-06	2.76628e-06	0.621738	478410	25154	0.0526	3144000	3	2	1	0
normal	step	classil	bufcur	ach	global	1e-06	42	val	0.400232	0.0254807	0.23704	0.00053621	0.00053621	0.00053621	0.400232	478410	25154	0.0526	3144000	3	2	1	0
normal	step	classil	bufcur	ach	global	1e-05	42	val	0.353918	0.00424133	0.346558	0.00120881	0.00120881	0.00120881	0.353918	478410	25154	0.0526	3144000	3	2	1	0
normal	step	classil	bufcur	ach	global	0.0001	42	val	0.404739	0.00905861	0.284547	0.000702022	0.000702022	0.000702022	0.404739	478410	25154	0.0526	3144000	3	2	1	0
normal	step	classil	bufcur	ach	global	0.001	42	val	0.108703	0.334437	0.252542	0.0664081	0.0664081	0.0664081	0.108703	478410	25154	0.0526	3144000	3	2	1	0
normal	step	taskil	erown	ach	global	1e-07	42	val	0.991423	0.00234848	0.205034	1.63109e-06	1.63109e-06	1.63109e-06	0.991423	478410	25154	0.0526	3144000	3	2	1	0
normal	step	taskil	erown	ach	global	1e-06	42	val	0.992246	0.0020217	0.273879	0.000480662	0.000480662	0.000480662	0.992246	478410	25154	0.0526	3144000	3	2	1	0
normal	step	taskil	erown	ach	global	1e-05	42	val	0.988381	0.0047234	0.251042	0.000160354	0.000160354	0.000160354	0.988381	478410	25154	0.0526	3144000	3	2	1	0
normal	step	taskil	erown	ach	global	0.0001	42	val	0.988225	0.00436208	0.375729	7.54688e-05	7.54688e-05	7.54688e-05	0.988225	478410	25154	0.0526	3144000	3	2	1	0
normal	step	taskil	erown	ach	global	0.001	42	val	0.988408	0.00467938	0.304551	0.000170223	0.000170223	0.000170223	0.988408	478410	25154	0.0526	3144000	3	2	1	0
normal	step	taskil	bufcur	ach	global	1e-07	42	val	0.976753	0.00555731	0.205701	2.24206e-06	2.24206e-06	2.24206e-06	0.976753	478410	25154	0.0526	3144000	3	2	1	0
normal	step	taskil	bufcur	ach	global	1e-06	42	val	0.982598	0.00152136	0.235539	0.000407839	0.000407839	0.000407839	0.982598	478410	25154	0.0526	3144000	3	2	1	0
normal	step	taskil	bufcur	ach	global	1e-05	42	val	0.984745	0.00406441	0.272545	0.000405871	0.000405871	0.000405871	0.984745	478410	25154	0.0526	3144000	3	2	1	0
normal	step	taskil	bufcur	ach	global	0.0001	42	val	0.985329	0.0020068	0.276546	0.000586128	0.000586128	0.000586128	0.985329	478410	25154	0.0526	3144000	3	2	1	0
normal	step	taskil	bufcur	ach	global	0.001	42	val	0.495624	0.303778	0.23904	0.149391	0.149391	0.149391	0.495624	478410	25154	0.0526	3144000	3	2	1	0
normal	boundary	classil	erown	ach	global	0.0001	42	val	0.892341	0.0920247	0.288048	0.00264516	0.00264516	0.00264516	0.892341	478410	25154	0.0526	3144000	3	2	1	0
