regime	schedule	metric	arm	driver	gran	nlr	seed	split	acc	forget	probe	g_h0	g_h1	g_out	acc_live	backbone_params	extra_params	param_ratio	buffer_bytes	fwd_train	bwd_train	fwd_infer	bwd_infer
normal	step	classil	erown	er	-	0	42	test	0.903365	0.0809186	nan	0	0	0	0.903365	478410	0	0	3144000	1	1	1	0
normal	step	taskil	erown	er	-	0	42	test	0.994133	0.00306472	nan	0	0	0	0.994133	478410	0	0	3144000	1	1	1	0
normal	step	classil	erown	ach	neuron	1e-07	42	val	0.904134	0.0800914	0.206868	3.86499e-07	3.96525e-07	4.75128e-07	0.904134	478410	25963	0.0543	3144000	3	2	1	0
normal	step	classil	erown	ach	neuron	1e-06	42	val	0.896611	0.0882718	0.268211	0.000124099	0.00013011	0.000146355	0.896611	478410	25963	0.0543	3144000	3	2	1	0
normal	step	classil	erown	ach	neuron	1e-05	42	val	0.848953	0.140944	0.251375	5.84208e-05	6.14941e-05	8.64922e-05	0.848953	478410	25963	0.0543	3144000	3	2	1	0
normal	step	classil	erown	ach	neuron	0.0001	42	val	0.829478	0.158932	0.269712	3.51652e-05	3.54858e-05	4.47685e-05	0.829478	478410	25963	0.0543	3144000	3	2	1	0
normal	step	classil	erown	ach	neuron	0.001	42	val	0.804221	0.180492	0.303384	4.39904e-05	4.60668e-05	3.60886e-05	0.804221	478410	25963	0.0543	3144000	3	2	1	0
normal	step	classil	bufcur	ach	neuron	1e-07	42	val	0.620572	0.105559	0.205034	1.28437e-06	1.28087e-06	1.37047e-06	0.620572	478410	25963	0.0543	3144000	3	2	1	0
normal	step	classil	bufcur	ach	neuron	1e-06	42	val	0.324879	0.0885829	0.230538	0.000408131	0.000409784	0.000309615	0.324879	478410	25963	0.0543	3144000	3	2	1	0
normal	step	classil	bufcur	ach	neuron	1e-05	42	val	0.359585	0.0963351	0.41807	0.000112707	0.000117307	4.43592e-05	0.359585	478410	25963	0.0543	3144000	3	2	1	0
normal	step	classil	bufcur	ach	neuron	0.0001	42	val	0.496539	0.164316	0.23804	6.11168e-05	3.91737e-05	5.30613e-05	0.496539	478410	25963	0.0543	3144000	3	2	1	0
normal	step	classil	bufcur	ach	neuron	0.001	42	val	0.245497	0.609921	0.344057	0.000286807	0.000119034	0.000634815	0.245497	478410	25963	0.0543	3144000	3	2	1	0
normal	step	taskil	erown	ach	neuron	1e-07	42	val	0.991593	0.00217899	0.204867	3.45386e-07	3.7632e-07	6.54574e-07	0.991593	478410	25963	0.0543	3144000	3	2	1	0
normal	step	taskil	erown	ach	neuron	1e-06	42	val	0.992424	0.00151322	0.272879	0.000174532	0.000198267	0.000252648	0.992424	478410	25963	0.0543	3144000	3	2	1	0
normal	step	taskil	erown	ach	neuron	1e-05	42	val	0.993113	0.00166307	0.260877	0.000114501	0.000138886	0.000107108	0.993113	478410	25963	0.0543	3144000	3	2	1	0
normal	step	taskil	erown	ach	neuron	0.0001	42	val	0.990347	0.00289778	0.322387	0.000111568	0.000126397	0.000155901	0.990347	478410	25963	0.0543	3144000	3	2	1	0
normal	step	taskil	erown	ach	neuron	0.001	42	val	0.092733	0.305727	0.187698	nan	nan	nan	0.092733	478410	25963	0.0543	3144000	3	2	1	0
normal	step	taskil	bufcur	ach	neuron	1e-07	42	val	0.976753	0.00555731	0.205701	7.89611e-07	8.2613e-07	8.9437e-07	0.976753	478410	25963	0.0543	3144000	3	2	1	0
normal	step	taskil	bufcur	ach	neuron	1e-06	42	val	0.983485	0.000165426	0.249042	0.000314208	0.000332587	0.000217708	0.983485	478410	25963	0.0543	3144000	3	2	1	0
normal	step	taskil	bufcur	ach	neuron	1e-05	42	val	0.983372	0.00265429	0.361227	7.68203e-05	7.31785e-05	3.96061e-05	0.983372	478410	25963	0.0543	3144000	3	2	1	0
normal	step	taskil	bufcur	ach	neuron	0.0001	42	val	0.985009	0.00256405	0.251875	0.000143986	0.000110455	0.000104816	0.985009	478410	25963	0.0543	3144000	3	2	1	0
normal	step	taskil	bufcur	ach	neuron	0.001	42	val	0.092733	0.59982	0.187698	nan	nan	nan	0.092733	478410	25963	0.0543	3144000	3	2	1	0
normal	boundary	classil	erown	ach	neuron	0.0001	42	val	0.893893	0.0904776	0.282714	0.000838187	0.000819857	0.000843499	0.893893	478410	25963	0.0543	3144000	3	2	1	0
