regime	schedule	metric	arm	driver	gran	nlr	seed	split	acc	forget	probe	g_h0	g_h1	g_out	acc_live	backbone_params	extra_params	param_ratio	buffer_bytes	fwd_train	bwd_train	fwd_infer	bwd_infer
normal	step	classil	erown	er	-	0	42	test	0.903365	0.0809186	nan	0	0	0	0.903365	478410	0	0	3144000	1	1	1	0
normal	step	taskil	erown	er	-	0	42	test	0.994133	0.00306472	nan	0	0	0	0.994133	478410	0	0	3144000	1	1	1	0
normal	step	classil	erown	ach	synapse	1e-07	42	val	0.90397	0.0800914	0.206868	2.16144e-08	3.97533e-08	1.03377e-07	0.90397	478410	502753	1.0509	3144000	3	2	1	0
normal	step	classil	erown	ach	synapse	1e-06	42	val	0.900128	0.0845903	0.269712	2.49545e-05	3.54071e-05	5.58005e-05	0.900128	478410	502753	1.0509	3144000	3	2	1	0
normal	step	classil	erown	ach	synapse	1e-05	42	val	0.884276	0.102781	0.250875	3.29633e-05	4.943e-05	7.35564e-05	0.884276	478410	502753	1.0509	3144000	3	2	1	0
normal	step	classil	erown	ach	synapse	0.0001	42	val	0.873962	0.113759	0.344557	3.80568e-05	4.71484e-05	5.71062e-05	0.873962	478410	502753	1.0509	3144000	3	2	1	0
normal	step	classil	erown	ach	synapse	0.001	42	val	0.092733	0.304168	0.187698	nan	nan	nan	0.092733	478410	502753	1.0509	3144000	3	2	1	0
normal	step	classil	bufcur	ach	synapse	1e-07	42	val	0.619125	0.106682	0.205034	3.78761e-07	3.69269e-07	5.55537e-07	0.619125	478410	502753	1.0509	3144000	3	2	1	0
normal	step	classil	bufcur	ach	synapse	1e-06	42	val	0.301271	0.0781968	0.234039	0.000139694	0.000129649	9.55532e-05	0.301271	478410	502753	1.0509	3144000	3	2	1	0
normal	step	classil	bufcur	ach	synapse	1e-05	42	val	0.196092	0.00142096	0.413402	4.3896e-05	4.27341e-05	1.8634e-05	0.196092	478410	502753	1.0509	3144000	3	2	1	0
normal	step	classil	bufcur	ach	synapse	0.0001	42	val	0.320347	0.0298621	0.248208	0.000133521	0.00012191	0.000107529	0.320347	478410	502753	1.0509	3144000	3	2	1	0
normal	step	classil	bufcur	ach	synapse	0.001	42	val	0.191322	0.137282	0.291882	4.35208e-05	3.16682e-05	3.23344e-05	0.191322	478410	502753	1.0509	3144000	3	2	1	0
normal	step	taskil	erown	ach	synapse	1e-07	42	val	0.991924	0.00167865	0.205034	1.87646e-08	3.15329e-08	9.09512e-08	0.991924	478410	502753	1.0509	3144000	3	2	1	0
normal	step	taskil	erown	ach	synapse	1e-06	42	val	0.99039	0.00354711	0.275879	4.93266e-05	6.17416e-05	7.84787e-05	0.99039	478410	502753	1.0509	3144000	3	2	1	0
normal	step	taskil	erown	ach	synapse	1e-05	42	val	0.985597	0.00783114	0.266544	4.85985e-05	7.39696e-05	6.28706e-05	0.985597	478410	502753	1.0509	3144000	3	2	1	0
normal	step	taskil	erown	ach	synapse	0.0001	42	val	0.979651	0.0151241	0.280547	4.12835e-05	5.11306e-05	5.1817e-05	0.979651	478410	502753	1.0509	3144000	3	2	1	0
normal	step	taskil	erown	ach	synapse	0.001	42	val	0.092733	0.306201	0.187698	nan	nan	nan	0.092733	478410	502753	1.0509	3144000	3	2	1	0
normal	step	taskil	bufcur	ach	synapse	1e-07	42	val	0.976753	0.00555731	0.205701	1.88779e-07	1.99864e-07	3.26951e-07	0.976753	478410	502753	1.0509	3144000	3	2	1	0
normal	step	taskil	bufcur	ach	synapse	1e-06	42	val	0.980406	0.00392812	0.234706	0.000113505	0.000112753	9.12996e-05	0.980406	478410	502753	1.0509	3144000	3	2	1	0
normal	step	taskil	bufcur	ach	synapse	1e-05	42	val	0.965072	0.0191241	0.372229	4.55345e-05	4.6226e-05	2.18635e-05	0.965072	478410	502753	1.0509	3144000	3	2	1	0
normal	step	taskil	bufcur	ach	synapse	0.0001	42	val	0.969852	0.0188539	0.269378	6.51816e-05	6.78179e-05	5.78117e-05	0.969852	478410	502753	1.0509	3144000	3	2	1	0
normal	step	taskil	bufcur	ach	synapse	0.001	42	val	0.092733	0.304346	0.187698	nan	nan	nan	0.092733	478410	502753	1.0509	3144000	3	2	1	0
