regime	schedule	metric	arm	driver	gran	nlr	seed	split	acc	forget	probe	g_h0	g_h1	g_out	acc_live	backbone_params	extra_params	param_ratio	buffer_bytes	fwd_train	bwd_train	fwd_infer	bwd_infer
normal	step	classil	erown	er	-	0	42	test	0.903365	0.0809186	nan	0	0	0	0.903365	478410	0	0	3144000	1	1	1	0
normal	step	taskil	erown	er	-	0	42	test	0.994133	0.00306472	nan	0	0	0	0.994133	478410	0	0	3144000	1	1	1	0
normal	step	classil	erown	nerisez	global	1e-07	42	val	0.903805	0.0802569	0.211035	0	0	0	0.903805	478410	25154	0.0526	3144000	3	2	1	0
normal	step	classil	erown	nerisez	global	1e-06	42	val	0.900419	0.0841355	0.271545	0.000948783	0.000948783	0.000948783	0.900419	478410	25154	0.0526	3144000	3	2	1	0
normal	step	classil	erown	nerisez	global	1e-05	42	val	0.092733	0.198224	0.187698	nan	nan	nan	0.092733	478410	25154	0.0526	3144000	3	2	1	0
normal	step	classil	erown	nerisez	global	0.0001	42	val	0.783817	0.201699	0.273712	0.000792442	0.000792442	0.000792442	0.783817	478410	25154	0.0526	3144000	3	2	1	0
normal	step	classil	erown	nerisez	global	0.001	42	val	0.108703	0.508685	0.234372	0.139695	0.139695	0.139695	0.108703	478410	25154	0.0526	3144000	3	2	1	0
normal	step	classil	bufcur	nerisez	global	1e-07	42	val	0.620855	0.105938	0.211035	0	0	0	0.620855	478410	25154	0.0526	3144000	3	2	1	0
normal	step	classil	bufcur	nerisez	global	1e-06	42	val	0.620855	0.105938	0.211035	0	0	0	0.620855	478410	25154	0.0526	3144000	3	2	1	0
normal	step	classil	bufcur	nerisez	global	1e-05	42	val	0.396491	0.00630965	0.295883	0.000113467	0.000113467	0.000113467	0.396491	478410	25154	0.0526	3144000	3	2	1	0
normal	step	classil	bufcur	nerisez	global	0.0001	42	val	0.42566	0.0619683	0.287381	0.00463931	0.00463931	0.00463931	0.42566	478410	25154	0.0526	3144000	3	2	1	0
normal	step	classil	bufcur	nerisez	global	0.001	42	val	0.108703	0.401455	0.275713	0.0839185	0.0839185	0.0839185	0.108703	478410	25154	0.0526	3144000	3	2	1	0
normal	step	taskil	erown	nerisez	global	1e-07	42	val	0.991758	0.00217899	0.211035	0	0	0	0.991758	478410	25154	0.0526	3144000	3	2	1	0
normal	step	taskil	erown	nerisez	global	1e-06	42	val	0.991758	0.00217899	0.211035	0	0	0	0.991758	478410	25154	0.0526	3144000	3	2	1	0
normal	step	taskil	erown	nerisez	global	1e-05	42	val	0.092733	0.198757	0.187698	nan	nan	nan	0.092733	478410	25154	0.0526	3144000	3	2	1	0
normal	step	taskil	erown	nerisez	global	0.0001	42	val	0.092733	0.198224	0.187698	nan	nan	nan	0.092733	478410	25154	0.0526	3144000	3	2	1	0
normal	step	taskil	erown	nerisez	global	0.001	42	val	0.987442	0.00646235	0.294216	0.000662353	0.000662353	0.000662353	0.987442	478410	25154	0.0526	3144000	3	2	1	0
normal	step	taskil	bufcur	nerisez	global	1e-07	42	val	0.976584	0.00556138	0.211035	0	0	0	0.976584	478410	25154	0.0526	3144000	3	2	1	0
normal	step	taskil	bufcur	nerisez	global	1e-06	42	val	0.976584	0.00556138	0.211035	0	0	0	0.976584	478410	25154	0.0526	3144000	3	2	1	0
normal	step	taskil	bufcur	nerisez	global	1e-05	42	val	0.985051	0.00121895	0.279713	6.6823e-05	6.6823e-05	6.6823e-05	0.985051	478410	25154	0.0526	3144000	3	2	1	0
normal	step	taskil	bufcur	nerisez	global	0.0001	42	val	0.986505	0.000666452	0.27888	0.000814577	0.000814577	0.000814577	0.986505	478410	25154	0.0526	3144000	3	2	1	0
normal	step	taskil	bufcur	nerisez	global	0.001	42	val	0.985684	0.00182987	0.277713	0.0344069	0.0344069	0.0344069	0.985684	478410	25154	0.0526	3144000	3	2	1	0
normal	boundary	classil	erown	nerisez	global	0.0001	42	val	0.893047	0.0916532	0.278046	0.00713744	0.00713744	0.00713744	0.893047	478410	25154	0.0526	3144000	3	2	1	0
normal	boundary	classil	erown	nerisez	global	0.001	42	val	0.894442	0.090087	0.280713	0.133631	0.133631	0.133631	0.894442	478410	25154	0.0526	3144000	3	2	1	0
