regime	schedule	metric	arm	driver	gran	nlr	seed	split	acc	forget	probe	g_h0	g_h1	g_out	acc_live	backbone_params	extra_params	param_ratio	buffer_bytes	fwd_train	bwd_train	fwd_infer	bwd_infer
normal	step	classil	erown	er	-	0	42	test	0.903365	0.0809186	nan	0	0	0	0.903365	478410	0	0	3144000	1	1	1	0
normal	step	taskil	erown	er	-	0	42	test	0.994133	0.00306472	nan	0	0	0	0.994133	478410	0	0	3144000	1	1	1	0
normal	step	classil	erown	nerisez	neuron	1e-07	42	val	0.903805	0.0802569	0.211035	0	0	0	0.903805	478410	25963	0.0543	3144000	3	2	1	0
normal	step	classil	erown	nerisez	neuron	1e-06	42	val	0.902772	0.0816182	0.271712	0.00017142	0.000180922	0.000228104	0.902772	478410	25963	0.0543	3144000	3	2	1	0
normal	step	classil	erown	nerisez	neuron	1e-05	42	val	0.092733	0.304385	0.187698	nan	nan	nan	0.092733	478410	25963	0.0543	3144000	3	2	1	0
normal	step	classil	erown	nerisez	neuron	0.0001	42	val	0.092733	0.198401	0.187698	nan	nan	nan	0.092733	478410	25963	0.0543	3144000	3	2	1	0
normal	step	classil	erown	nerisez	neuron	0.001	42	val	0.092733	0	0.187698	nan	nan	nan	0.092733	478410	25963	0.0543	3144000	3	2	1	0
normal	step	classil	bufcur	nerisez	neuron	1e-07	42	val	0.620855	0.105938	0.211035	0	0	0	0.620855	478410	25963	0.0543	3144000	3	2	1	0
normal	step	classil	bufcur	nerisez	neuron	1e-06	42	val	0.620855	0.105938	0.211035	0	0	0	0.620855	478410	25963	0.0543	3144000	3	2	1	0
normal	step	classil	bufcur	nerisez	neuron	1e-05	42	val	0.092733	0.190941	0.187698	nan	nan	nan	0.092733	478410	25963	0.0543	3144000	3	2	1	0
normal	step	classil	bufcur	nerisez	neuron	0.0001	42	val	0.092733	0.223993	0.187698	nan	nan	nan	0.092733	478410	25963	0.0543	3144000	3	2	1	0
normal	step	classil	bufcur	nerisez	neuron	0.001	42	val	0.092733	0.159307	0.187698	nan	nan	nan	0.092733	478410	25963	0.0543	3144000	3	2	1	0
normal	step	taskil	erown	nerisez	neuron	1e-07	42	val	0.991758	0.00217899	0.211035	0	0	0	0.991758	478410	25963	0.0543	3144000	3	2	1	0
normal	step	taskil	erown	nerisez	neuron	1e-06	42	val	0.991758	0.00217899	0.211035	0	0	0	0.991758	478410	25963	0.0543	3144000	3	2	1	0
normal	step	taskil	erown	nerisez	neuron	1e-05	42	val	0.092733	0.695869	0.187698	nan	nan	nan	0.092733	478410	25963	0.0543	3144000	3	2	1	0
normal	step	taskil	erown	nerisez	neuron	0.0001	42	val	0.092733	0.198401	0.187698	nan	nan	nan	0.092733	478410	25963	0.0543	3144000	3	2	1	0
normal	step	taskil	erown	nerisez	neuron	0.001	42	val	0.092733	0.19929	0.187698	nan	nan	nan	0.092733	478410	25963	0.0543	3144000	3	2	1	0
normal	step	taskil	bufcur	nerisez	neuron	1e-07	42	val	0.976584	0.00556138	0.211035	0	0	0	0.976584	478410	25963	0.0543	3144000	3	2	1	0
normal	step	taskil	bufcur	nerisez	neuron	1e-06	42	val	0.976584	0.00556138	0.211035	0	0	0	0.976584	478410	25963	0.0543	3144000	3	2	1	0
normal	step	taskil	bufcur	nerisez	neuron	1e-05	42	val	0.092733	0.196448	0.187698	nan	nan	nan	0.092733	478410	25963	0.0543	3144000	3	2	1	0
normal	step	taskil	bufcur	nerisez	neuron	0.0001	42	val	0.092733	0.197691	0.187698	nan	nan	nan	0.092733	478410	25963	0.0543	3144000	3	2	1	0
normal	step	taskil	bufcur	nerisez	neuron	0.001	42	val	0.092733	0.490933	0.187698	nan	nan	nan	0.092733	478410	25963	0.0543	3144000	3	2	1	0
normal	boundary	classil	erown	nerisez	neuron	0.0001	42	val	0.893912	0.090458	0.274546	0.00219665	0.00217651	0.00194287	0.893912	478410	25963	0.0543	3144000	3	2	1	0
normal	boundary	classil	erown	nerisez	neuron	0.001	42	val	0.902366	0.0798413	0.279047	0.0333893	0.0340219	0.0419586	0.902366	478410	25963	0.0543	3144000	3	2	1	0
normal	boundary	classil	erown	nerisez	neuron	0.01	42	val	0.91497	0.0640837	0.250708	0.0950879	0.111203	0.132826	0.91497	478410	25963	0.0543	3144000	3	2	1	0
