regime	schedule	metric	arm	driver	gran	nlr	seed	split	acc	forget	probe	g_h0	g_h1	g_out	acc_live	backbone_params	extra_params	param_ratio	buffer_bytes	fwd_train	bwd_train	fwd_infer	bwd_infer
normal	step	classil	erown	er	-	0	42	test	0.903365	0.0809186	nan	0	0	0	0.903365	478410	0	0	3144000	1	1	1	0
normal	step	taskil	erown	er	-	0	42	test	0.994133	0.00306472	nan	0	0	0	0.994133	478410	0	0	3144000	1	1	1	0
normal	step	classil	erown	nerisez	synapse	1e-07	42	val	0.903805	0.0802569	0.211035	0	0	0	0.903805	478410	502753	1.0509	3144000	3	2	1	0
normal	step	classil	erown	nerisez	synapse	1e-06	42	val	0.903967	0.0805877	0.271379	2.4005e-05	3.33078e-05	5.45631e-05	0.903967	478410	502753	1.0509	3144000	3	2	1	0
normal	step	classil	erown	nerisez	synapse	1e-05	42	val	0.868984	0.111166	0.247375	0.000179136	0.000262211	0.000559577	0.868984	478410	502753	1.0509	3144000	3	2	1	0
normal	step	classil	erown	nerisez	synapse	0.0001	42	val	0.092733	0.499116	0.187698	nan	nan	nan	0.092733	478410	502753	1.0509	3144000	3	2	1	0
normal	step	classil	erown	nerisez	synapse	0.001	42	val	0.092733	0.196803	0.187698	nan	nan	nan	0.092733	478410	502753	1.0509	3144000	3	2	1	0
normal	step	classil	bufcur	nerisez	synapse	1e-07	42	val	0.620855	0.105938	0.211035	0	0	0	0.620855	478410	502753	1.0509	3144000	3	2	1	0
normal	step	classil	bufcur	nerisez	synapse	1e-06	42	val	0.620855	0.105938	0.211035	0	0	0	0.620855	478410	502753	1.0509	3144000	3	2	1	0
normal	step	classil	bufcur	nerisez	synapse	1e-05	42	val	0.092733	0.190941	0.187698	nan	nan	nan	0.092733	478410	502753	1.0509	3144000	3	2	1	0
normal	step	classil	bufcur	nerisez	synapse	0.0001	42	val	0.092733	0.197513	0.187698	nan	nan	nan	0.092733	478410	502753	1.0509	3144000	3	2	1	0
normal	step	classil	bufcur	nerisez	synapse	0.001	42	val	0.092733	0.190941	0.187698	nan	nan	nan	0.092733	478410	502753	1.0509	3144000	3	2	1	0
normal	step	taskil	erown	nerisez	synapse	1e-07	42	val	0.991758	0.00217899	0.211035	0	0	0	0.991758	478410	502753	1.0509	3144000	3	2	1	0
normal	step	taskil	erown	nerisez	synapse	1e-06	42	val	0.991758	0.00217899	0.211035	0	0	0	0.991758	478410	502753	1.0509	3144000	3	2	1	0
normal	step	taskil	erown	nerisez	synapse	1e-05	42	val	0.979347	0.0125742	0.276546	6.29761e-05	8.47786e-05	0.00011084	0.979347	478410	502753	1.0509	3144000	3	2	1	0
normal	step	taskil	erown	nerisez	synapse	0.0001	42	val	0.092733	0.198934	0.187698	nan	nan	nan	0.092733	478410	502753	1.0509	3144000	3	2	1	0
normal	step	taskil	erown	nerisez	synapse	0.001	42	val	0.092733	0.198757	0.187698	nan	nan	nan	0.092733	478410	502753	1.0509	3144000	3	2	1	0
normal	step	taskil	bufcur	nerisez	synapse	1e-07	42	val	0.976584	0.00556138	0.211035	0	0	0	0.976584	478410	502753	1.0509	3144000	3	2	1	0
normal	step	taskil	bufcur	nerisez	synapse	1e-06	42	val	0.976584	0.00556138	0.211035	0	0	0	0.976584	478410	502753	1.0509	3144000	3	2	1	0
normal	step	taskil	bufcur	nerisez	synapse	1e-05	42	val	0.092733	0.196448	0.187698	nan	nan	nan	0.092733	478410	502753	1.0509	3144000	3	2	1	0
normal	step	taskil	bufcur	nerisez	synapse	0.0001	42	val	0.092733	0.302134	0.187698	nan	nan	nan	0.092733	478410	502753	1.0509	3144000	3	2	1	0
normal	step	taskil	bufcur	nerisez	synapse	0.001	42	val	0.092733	0.195382	0.187698	nan	nan	nan	0.092733	478410	502753	1.0509	3144000	3	2	1	0
normal	boundary	classil	erown	nerisez	synapse	0.0001	42	val	0.898144	0.085892	0.276046	0.00135842	0.00151669	0.00204062	0.898144	478410	502753	1.0509	3144000	3	2	1	0
normal	boundary	classil	erown	nerisez	synapse	0.001	42	val	0.909565	0.0674796	0.275879	0.00918862	0.0128976	0.0256224	0.909565	478410	502753	1.0509	3144000	3	2	1	0
normal	boundary	classil	erown	nerisez	synapse	0.01	42	val	0.910158	0.0647311	0.271545	0.032846	0.0535826	0.142714	0.910158	478410	502753	1.0509	3144000	3	2	1	0
