regime	schedule	metric	arm	driver	gran	nlr	seed	split	acc	forget	probe	g_h0	g_h1	g_out	acc_live	backbone_params	extra_params	param_ratio	buffer_bytes	fwd_train	bwd_train	fwd_infer	bwd_infer
normal	step	classil	erown	er	-	0	42	test	0.903365	0.0809186	nan	0	0	0	0.903365	478410	0	0	3144000	1	1	1	0
normal	step	taskil	erown	er	-	0	42	test	0.994133	0.00306472	nan	0	0	0	0.994133	478410	0	0	3144000	1	1	1	0
normal	step	classil	erown	taskid	neuron	1e-07	42	val	0.895025	0.0896723	0.211035	3.49128e-05	3.62554e-05	3.49283e-05	0.895025	478410	4050	0.0085	3144000	3	2	1	0
normal	step	classil	erown	taskid	neuron	1e-06	42	val	0.887638	0.100895	0.211035	0.000168048	0.000175148	0.000212049	0.887638	478410	4050	0.0085	3144000	3	2	1	0
normal	step	classil	erown	taskid	neuron	1e-05	42	val	0.839167	0.146542	0.211035	0.000244308	0.000326516	0.000286216	0.839167	478410	4050	0.0085	3144000	3	2	1	0
normal	step	classil	erown	taskid	neuron	0.0001	42	val	0.092733	0	0.211035	nan	nan	nan	0.092733	478410	4050	0.0085	3144000	3	2	1	0
normal	step	classil	erown	taskid	neuron	0.001	42	val	0.092733	0	0.211035	nan	nan	nan	0.092733	478410	4050	0.0085	3144000	3	2	1	0
normal	step	classil	bufcur	taskid	neuron	1e-07	42	val	0.554918	0.0516778	0.211035	6.83092e-05	6.60962e-05	0.000113583	0.554918	478410	4050	0.0085	3144000	3	2	1	0
normal	step	classil	bufcur	taskid	neuron	1e-06	42	val	0.478106	0.101399	0.211035	0.000310143	0.000312342	0.000497001	0.478106	478410	4050	0.0085	3144000	3	2	1	0
normal	step	classil	bufcur	taskid	neuron	1e-05	42	val	0.274287	0.0572318	0.211035	0.001017	0.00107869	0.000684834	0.274287	478410	4050	0.0085	3144000	3	2	1	0
normal	step	classil	bufcur	taskid	neuron	0.0001	42	val	0.092733	0	0.211035	nan	nan	nan	0.092733	478410	4050	0.0085	3144000	3	2	1	0
normal	step	classil	bufcur	taskid	neuron	0.001	42	val	0.092733	0	0.211035	nan	nan	nan	0.092733	478410	4050	0.0085	3144000	3	2	1	0
normal	step	taskil	erown	taskid	neuron	1e-07	42	val	0.991556	0.00370171	0.211035	2.04757e-05	1.98631e-05	9.1207e-05	0.991556	478410	4050	0.0085	3144000	3	2	1	0
normal	step	taskil	erown	taskid	neuron	1e-06	42	val	0.992231	0.00319662	0.211035	0.000113605	9.46404e-05	0.00051589	0.992231	478410	4050	0.0085	3144000	3	2	1	0
normal	step	taskil	erown	taskid	neuron	1e-05	42	val	0.092733	0.698655	0.211035	nan	nan	nan	0.092733	478410	4050	0.0085	3144000	3	2	1	0
normal	step	taskil	erown	taskid	neuron	0.0001	42	val	0.092733	0	0.211035	nan	nan	nan	0.092733	478410	4050	0.0085	3144000	3	2	1	0
normal	step	taskil	erown	taskid	neuron	0.001	42	val	0.092733	0	0.211035	nan	nan	nan	0.092733	478410	4050	0.0085	3144000	3	2	1	0
normal	step	taskil	bufcur	taskid	neuron	1e-07	42	val	0.979783	0.00336544	0.211035	5.18876e-05	5.03787e-05	3.81112e-05	0.979783	478410	4050	0.0085	3144000	3	2	1	0
normal	step	taskil	bufcur	taskid	neuron	1e-06	42	val	0.978346	0.00627116	0.211035	0.000257647	0.000264278	0.000463367	0.978346	478410	4050	0.0085	3144000	3	2	1	0
normal	step	taskil	bufcur	taskid	neuron	1e-05	42	val	0.963122	0.0236017	0.211035	0.000860584	0.000849057	0.000738817	0.963122	478410	4050	0.0085	3144000	3	2	1	0
normal	step	taskil	bufcur	taskid	neuron	0.0001	42	val	0.092733	0	0.211035	nan	nan	nan	0.092733	478410	4050	0.0085	3144000	3	2	1	0
normal	step	taskil	bufcur	taskid	neuron	0.001	42	val	0.092733	0	0.211035	nan	nan	nan	0.092733	478410	4050	0.0085	3144000	3	2	1	0
normal	boundary	classil	erown	taskid	neuron	0.0001	42	val	0.907714	0.0728167	0.211035	0.00601203	0.0067396	0.00899334	0.907714	478410	4050	0.0085	3144000	3	2	1	0
normal	boundary	classil	erown	taskid	neuron	0.001	42	val	0.920793	0.0559522	0.211035	0.0384574	0.0418737	0.0587481	0.920793	478410	4050	0.0085	3144000	3	2	1	0
