regime	schedule	metric	arm	driver	gran	nlr	seed	split	acc	forget	probe	g_h0	g_h1	g_out	acc_live	backbone_params	extra_params	param_ratio	buffer_bytes	fwd_train	bwd_train	fwd_infer	bwd_infer
normal	step	classil	erown	er	-	0	42	test	0.903365	0.0809186	nan	0	0	0	0.903365	478410	0	0	3144000	1	1	1	0
normal	step	taskil	erown	er	-	0	42	test	0.994133	0.00306472	nan	0	0	0	0.994133	478410	0	0	3144000	1	1	1	0
normal	step	classil	erown	taskid	synapse	1e-07	42	val	0.896378	0.089155	0.211035	1.32013e-05	1.69687e-05	1.70427e-05	0.896378	478410	2388000	4.9915	3144000	3	2	1	0
normal	step	classil	erown	taskid	synapse	1e-06	42	val	0.891997	0.0975386	0.211035	7.78646e-05	0.000107632	9.90387e-05	0.891997	478410	2388000	4.9915	3144000	3	2	1	0
normal	step	classil	erown	taskid	synapse	1e-05	42	val	0.883295	0.103632	0.211035	0.000296643	0.000227447	0.000323188	0.883295	478410	2388000	4.9915	3144000	3	2	1	0
normal	step	classil	erown	taskid	synapse	0.0001	42	val	0.092733	0	0.211035	nan	nan	nan	0.092733	478410	2388000	4.9915	3144000	3	2	1	0
normal	step	classil	erown	taskid	synapse	0.001	42	val	0.092733	0	0.211035	nan	nan	nan	0.092733	478410	2388000	4.9915	3144000	3	2	1	0
normal	step	classil	bufcur	taskid	synapse	1e-07	42	val	0.566633	0.0447125	0.211035	4.6827e-05	4.47672e-05	3.52597e-05	0.566633	478410	2388000	4.9915	3144000	3	2	1	0
normal	step	classil	bufcur	taskid	synapse	1e-06	42	val	0.501628	0.101611	0.211035	0.000200086	0.000159711	0.000168229	0.501628	478410	2388000	4.9915	3144000	3	2	1	0
normal	step	classil	bufcur	taskid	synapse	1e-05	42	val	0.350772	0.204743	0.211035	0.00053045	0.000376129	0.000594967	0.350772	478410	2388000	4.9915	3144000	3	2	1	0
normal	step	classil	bufcur	taskid	synapse	0.0001	42	val	0.092733	0	0.211035	nan	nan	nan	0.092733	478410	2388000	4.9915	3144000	3	2	1	0
normal	step	classil	bufcur	taskid	synapse	0.001	42	val	0.092733	0	0.211035	nan	nan	nan	0.092733	478410	2388000	4.9915	3144000	3	2	1	0
normal	step	taskil	erown	taskid	synapse	1e-07	42	val	0.991213	0.00404476	0.211035	1.27002e-05	1.25334e-05	2.75412e-05	0.991213	478410	2388000	4.9915	3144000	3	2	1	0
normal	step	taskil	erown	taskid	synapse	1e-06	42	val	0.988317	0.00694982	0.211035	8.08623e-05	7.6098e-05	0.000180883	0.988317	478410	2388000	4.9915	3144000	3	2	1	0
normal	step	taskil	erown	taskid	synapse	1e-05	42	val	0.980821	0.0132427	0.211035	0.000148462	0.000116179	0.000430867	0.980821	478410	2388000	4.9915	3144000	3	2	1	0
normal	step	taskil	erown	taskid	synapse	0.0001	42	val	0.092733	0	0.211035	nan	nan	nan	0.092733	478410	2388000	4.9915	3144000	3	2	1	0
normal	step	taskil	erown	taskid	synapse	0.001	42	val	0.092733	0	0.211035	nan	nan	nan	0.092733	478410	2388000	4.9915	3144000	3	2	1	0
normal	step	taskil	bufcur	taskid	synapse	1e-07	42	val	0.977228	0.00673086	0.211035	3.14669e-05	3.10116e-05	3.25214e-05	0.977228	478410	2388000	4.9915	3144000	3	2	1	0
normal	step	taskil	bufcur	taskid	synapse	1e-06	42	val	0.978972	0.00772005	0.211035	0.000179088	0.000139968	0.000151365	0.978972	478410	2388000	4.9915	3144000	3	2	1	0
normal	step	taskil	bufcur	taskid	synapse	1e-05	42	val	0.982382	0.00863591	0.211035	0.00035607	0.000270461	0.000522188	0.982382	478410	2388000	4.9915	3144000	3	2	1	0
normal	step	taskil	bufcur	taskid	synapse	0.0001	42	val	0.092733	0	0.211035	nan	nan	nan	0.092733	478410	2388000	4.9915	3144000	3	2	1	0
normal	step	taskil	bufcur	taskid	synapse	0.001	42	val	0.092733	0	0.211035	nan	nan	nan	0.092733	478410	2388000	4.9915	3144000	3	2	1	0
normal	boundary	classil	erown	taskid	synapse	0.0001	42	val	0.915647	0.0635664	0.211035	0.00352033	0.00437667	0.00538102	0.915647	478410	2388000	4.9915	3144000	3	2	1	0
