regime	schedule	metric	arm	driver	gran	nlr	seed	split	acc	forget	probe	g_h0	g_h1	g_out	acc_live	backbone_params	extra_params	param_ratio	buffer_bytes	fwd_train	bwd_train	fwd_infer	bwd_infer
normal	step	classil	erown	er	-	0	42	test	0.903365	0.0809186	nan	0	0	0	0.903365	478410	0	0	3144000	1	1	1	0
normal	step	taskil	erown	er	-	0	42	test	0.994133	0.00306472	nan	0	0	0	0.994133	478410	0	0	3144000	1	1	1	0
normal	step	classil	erown	vecproj	global	1e-07	42	val	0.897954	0.0867462	0.673446	9.79517e-06	9.79517e-06	9.79517e-06	0.897954	478410	32	0.0001	3144000	3	2	1	0
normal	step	classil	erown	vecproj	global	1e-06	42	val	0.898121	0.0869103	0.673446	9.35682e-05	9.35682e-05	9.35682e-05	0.898121	478410	32	0.0001	3144000	3	2	1	0
normal	step	classil	erown	vecproj	global	1e-05	42	val	0.899169	0.0858676	0.673446	0.000833753	0.000833753	0.000833753	0.899169	478410	32	0.0001	3144000	3	2	1	0
normal	step	classil	erown	vecproj	global	0.0001	42	val	0.89525	0.0882739	0.673446	0.00510136	0.00510136	0.00510136	0.89525	478410	32	0.0001	3144000	3	2	1	0
normal	step	classil	erown	vecproj	global	0.001	42	val	0.883093	0.104141	0.673446	0.0533948	0.0533948	0.0533948	0.883093	478410	32	0.0001	3144000	3	2	1	0
normal	step	classil	bufcur	vecproj	global	1e-07	42	val	0.619647	0.109991	0.673446	3.96888e-05	3.96888e-05	3.96888e-05	0.619647	478410	32	0.0001	3144000	3	2	1	0
normal	step	classil	bufcur	vecproj	global	1e-06	42	val	0.621655	0.121225	0.673446	0.000416462	0.000416462	0.000416462	0.621655	478410	32	0.0001	3144000	3	2	1	0
normal	step	classil	bufcur	vecproj	global	1e-05	42	val	0.514571	0.217075	0.673446	0.00569909	0.00569909	0.00569909	0.514571	478410	32	0.0001	3144000	3	2	1	0
normal	step	classil	bufcur	vecproj	global	0.0001	42	val	0.414265	0.114733	0.673446	0.0447306	0.0447306	0.0447306	0.414265	478410	32	0.0001	3144000	3	2	1	0
normal	step	classil	bufcur	vecproj	global	0.001	42	val	0.092733	0.1156	0.673446	nan	nan	nan	0.092733	478410	32	0.0001	3144000	3	2	1	0
normal	step	taskil	erown	vecproj	global	1e-07	42	val	0.991363	0.00389491	0.673446	3.58554e-05	3.58554e-05	3.58554e-05	0.991363	478410	32	0.0001	3144000	3	2	1	0
normal	step	taskil	erown	vecproj	global	1e-06	42	val	0.991552	0.00353629	0.673446	0.000364281	0.000364281	0.000364281	0.991552	478410	32	0.0001	3144000	3	2	1	0
normal	step	taskil	erown	vecproj	global	1e-05	42	val	0.992391	0.00286645	0.673446	0.00449545	0.00449545	0.00449545	0.992391	478410	32	0.0001	3144000	3	2	1	0
normal	step	taskil	erown	vecproj	global	0.0001	42	val	0.986053	0.0081899	0.673446	0.0432111	0.0432111	0.0432111	0.986053	478410	32	0.0001	3144000	3	2	1	0
normal	step	taskil	erown	vecproj	global	0.001	42	val	0.969068	0.0203225	0.673446	0.0524999	0.0524999	0.0524999	0.969068	478410	32	0.0001	3144000	3	2	1	0
normal	step	taskil	bufcur	vecproj	global	1e-07	42	val	0.975748	0.00689292	0.673446	5.89767e-05	5.89767e-05	5.89767e-05	0.975748	478410	32	0.0001	3144000	3	2	1	0
normal	step	taskil	bufcur	vecproj	global	1e-06	42	val	0.975912	0.00689292	0.673446	0.000633029	0.000633029	0.000633029	0.975912	478410	32	0.0001	3144000	3	2	1	0
normal	step	taskil	bufcur	vecproj	global	1e-05	42	val	0.978917	0.00489493	0.673446	0.00849952	0.00849952	0.00849952	0.978917	478410	32	0.0001	3144000	3	2	1	0
normal	step	taskil	bufcur	vecproj	global	0.0001	42	val	0.946819	0.0372726	0.673446	0.0300644	0.0300644	0.0300644	0.946819	478410	32	0.0001	3144000	3	2	1	0
normal	step	taskil	bufcur	vecproj	global	0.001	42	val	0.522361	0.0941385	0.673446	1.23215	1.23215	1.23215	0.522361	478410	32	0.0001	3144000	3	2	1	0
normal	boundary	classil	erown	vecproj	global	0.0001	42	val	0.903511	0.0773584	0.673446	0.0266738	0.0266738	0.0266738	0.903511	478410	32	0.0001	3144000	3	2	1	0
