regime	schedule	metric	arm	driver	gran	nlr	seed	split	acc	forget	probe	g_h0	g_h1	g_out	acc_live	backbone_params	extra_params	param_ratio	buffer_bytes	fwd_train	bwd_train	fwd_infer	bwd_infer
normal	step	classil	erown	er	-	0	42	test	0.903365	0.0809186	nan	0	0	0	0.903365	478410	0	0	3144000	1	1	1	0
normal	step	taskil	erown	er	-	0	42	test	0.994133	0.00306472	nan	0	0	0	0.994133	478410	0	0	3144000	1	1	1	0
normal	step	classil	erown	vecproj	neuron	1e-07	42	val	0.897599	0.0872662	0.673446	3.81187e-05	4.12922e-05	3.80573e-05	0.897599	478410	25920	0.0542	3144000	3	2	1	0
normal	step	classil	erown	vecproj	neuron	1e-06	42	val	0.898759	0.0866106	0.673446	0.000376144	0.000404967	0.00037062	0.898759	478410	25920	0.0542	3144000	3	2	1	0
normal	step	classil	erown	vecproj	neuron	1e-05	42	val	0.901111	0.0850838	0.673446	0.00331344	0.00350994	0.0028893	0.901111	478410	25920	0.0542	3144000	3	2	1	0
normal	step	classil	erown	vecproj	neuron	0.0001	42	val	0.873155	0.108712	0.673446	0.0177734	0.0195262	0.031735	0.873155	478410	25920	0.0542	3144000	3	2	1	0
normal	step	classil	erown	vecproj	neuron	0.001	42	val	0.092733	0.213113	0.673446	nan	nan	nan	0.092733	478410	25920	0.0542	3144000	3	2	1	0
normal	step	classil	bufcur	vecproj	neuron	1e-07	42	val	0.622267	0.111383	0.673446	7.91545e-05	8.18805e-05	0.000120651	0.622267	478410	25920	0.0542	3144000	3	2	1	0
normal	step	classil	bufcur	vecproj	neuron	1e-06	42	val	0.615895	0.156692	0.673446	0.000789139	0.000815913	0.00120281	0.615895	478410	25920	0.0542	3144000	3	2	1	0
normal	step	classil	bufcur	vecproj	neuron	1e-05	42	val	0.33371	0.490791	0.673446	0.00715517	0.00771399	0.0106729	0.33371	478410	25920	0.0542	3144000	3	2	1	0
normal	step	classil	bufcur	vecproj	neuron	0.0001	42	val	0.0957087	0.411366	0.673446	0.0314154	0.0440176	0.0597591	0.0957087	478410	25920	0.0542	3144000	3	2	1	0
normal	step	classil	bufcur	vecproj	neuron	0.001	42	val	0.092733	0.194671	0.673446	nan	nan	nan	0.092733	478410	25920	0.0542	3144000	3	2	1	0
normal	step	taskil	erown	vecproj	neuron	1e-07	42	val	0.991541	0.00371729	0.673446	3.27728e-05	3.57565e-05	3.35556e-05	0.991541	478410	25920	0.0542	3144000	3	2	1	0
normal	step	taskil	erown	vecproj	neuron	1e-06	42	val	0.991383	0.00370578	0.673446	0.000327753	0.000354974	0.000331987	0.991383	478410	25920	0.0542	3144000	3	2	1	0
normal	step	taskil	erown	vecproj	neuron	1e-05	42	val	0.992052	0.00337086	0.673446	0.00298626	0.00318148	0.00257862	0.992052	478410	25920	0.0542	3144000	3	2	1	0
normal	step	taskil	erown	vecproj	neuron	0.0001	42	val	0.988056	0.00320341	0.673446	0.0175337	0.0213942	0.0220147	0.988056	478410	25920	0.0542	3144000	3	2	1	0
normal	step	taskil	erown	vecproj	neuron	0.001	42	val	0.092733	0.198934	0.673446	nan	nan	nan	0.092733	478410	25920	0.0542	3144000	3	2	1	0
normal	step	taskil	bufcur	vecproj	neuron	1e-07	42	val	0.975748	0.00689292	0.673446	7.81158e-05	7.84981e-05	0.000111654	0.975748	478410	25920	0.0542	3144000	3	2	1	0
normal	step	taskil	bufcur	vecproj	neuron	1e-06	42	val	0.976748	0.00622308	0.673446	0.000770973	0.000777167	0.00109563	0.976748	478410	25920	0.0542	3144000	3	2	1	0
normal	step	taskil	bufcur	vecproj	neuron	1e-05	42	val	0.971341	0.0131337	0.673446	0.00621239	0.00640823	0.00817261	0.971341	478410	25920	0.0542	3144000	3	2	1	0
normal	step	taskil	bufcur	vecproj	neuron	0.0001	42	val	0.655717	0.211501	0.673446	0.03064	0.0381896	0.0352636	0.655717	478410	25920	0.0542	3144000	3	2	1	0
normal	step	taskil	bufcur	vecproj	neuron	0.001	42	val	0.092733	0.198046	0.673446	nan	nan	nan	0.092733	478410	25920	0.0542	3144000	3	2	1	0
normal	boundary	classil	erown	vecproj	neuron	0.0001	42	val	0.904667	0.0763726	0.673446	0.0234881	0.0255634	0.0323082	0.904667	478410	25920	0.0542	3144000	3	2	1	0
