regime	schedule	metric	arm	driver	gran	nlr	seed	split	acc	forget	probe	g_h0	g_h1	g_out	acc_live	backbone_params	extra_params	param_ratio	buffer_bytes	fwd_train	bwd_train	fwd_infer	bwd_infer
normal	step	classil	erown	er	-	0	42	test	0.903365	0.0809186	nan	0	0	0	0.903365	478410	0	0	3144000	1	1	1	0
normal	step	taskil	erown	er	-	0	42	test	0.994133	0.00306472	nan	0	0	0	0.994133	478410	0	0	3144000	1	1	1	0
normal	step	classil	erown	vecproj	synapse	1e-07	42	val	0.897959	0.0865767	0.673446	3.12881e-05	3.72474e-05	3.82017e-05	0.897959	478410	15283200	31.9458	3144000	3	2	1	0
normal	step	classil	erown	vecproj	synapse	1e-06	42	val	0.896898	0.08814	0.673446	0.000290768	0.000352213	0.000365712	0.896898	478410	15283200	31.9458	3144000	3	2	1	0
normal	step	classil	erown	vecproj	synapse	1e-05	42	val	0.900535	0.0850145	0.673446	0.00212147	0.00273475	0.00289187	0.900535	478410	15283200	31.9458	3144000	3	2	1	0
normal	step	classil	erown	vecproj	synapse	0.0001	42	val	0.816789	0.165183	0.673446	0.0131089	0.0132132	0.0196655	0.816789	478410	15283200	31.9458	3144000	3	2	1	0
normal	step	classil	erown	vecproj	synapse	0.001	42	val	0.092733	0.198224	0.673446	nan	nan	nan	0.092733	478410	15283200	31.9458	3144000	3	2	1	0
normal	step	classil	bufcur	vecproj	synapse	1e-07	42	val	0.626814	0.121036	0.673446	7.23174e-05	7.53081e-05	6.26263e-05	0.626814	478410	15283200	31.9458	3144000	3	2	1	0
normal	step	classil	bufcur	vecproj	synapse	1e-06	42	val	0.504118	0.317633	0.673446	0.0006273	0.000668577	0.000583538	0.504118	478410	15283200	31.9458	3144000	3	2	1	0
normal	step	classil	bufcur	vecproj	synapse	1e-05	42	val	0.239939	0.447284	0.673446	0.00349376	0.00380816	0.00406624	0.239939	478410	15283200	31.9458	3144000	3	2	1	0
normal	step	classil	bufcur	vecproj	synapse	0.0001	42	val	0.0967742	0.445702	0.673446	0.0350415	0.0286504	0.0239051	0.0967742	478410	15283200	31.9458	3144000	3	2	1	0
normal	step	classil	bufcur	vecproj	synapse	0.001	42	val	0.092733	0.176377	0.673446	nan	nan	nan	0.092733	478410	15283200	31.9458	3144000	3	2	1	0
normal	step	taskil	erown	vecproj	synapse	1e-07	42	val	0.991363	0.00389491	0.673446	2.36019e-05	2.55908e-05	1.80927e-05	0.991363	478410	15283200	31.9458	3144000	3	2	1	0
normal	step	taskil	erown	vecproj	synapse	1e-06	42	val	0.991217	0.0040407	0.673446	0.00023014	0.000250957	0.000176471	0.991217	478410	15283200	31.9458	3144000	3	2	1	0
normal	step	taskil	erown	vecproj	synapse	1e-05	42	val	0.991722	0.00370171	0.673446	0.00192999	0.00207994	0.00148758	0.991722	478410	15283200	31.9458	3144000	3	2	1	0
normal	step	taskil	erown	vecproj	synapse	0.0001	42	val	0.98332	0.0109424	0.673446	0.0111335	0.0112913	0.0117148	0.98332	478410	15283200	31.9458	3144000	3	2	1	0
normal	step	taskil	erown	vecproj	synapse	0.001	42	val	0.092733	0.198401	0.673446	nan	nan	nan	0.092733	478410	15283200	31.9458	3144000	3	2	1	0
normal	step	taskil	bufcur	vecproj	synapse	1e-07	42	val	0.976764	0.00621902	0.673446	6.64821e-05	6.83062e-05	5.61265e-05	0.976764	478410	15283200	31.9458	3144000	3	2	1	0
normal	step	taskil	bufcur	vecproj	synapse	1e-06	42	val	0.978546	0.00495533	0.673446	0.000569904	0.00061255	0.000519262	0.978546	478410	15283200	31.9458	3144000	3	2	1	0
normal	step	taskil	bufcur	vecproj	synapse	1e-05	42	val	0.612773	0.368994	0.673446	0.0039949	0.00398191	0.00434711	0.612773	478410	15283200	31.9458	3144000	3	2	1	0
normal	step	taskil	bufcur	vecproj	synapse	0.0001	42	val	0.506764	0.273735	0.673446	0.0307966	0.0247348	0.0194425	0.506764	478410	15283200	31.9458	3144000	3	2	1	0
normal	step	taskil	bufcur	vecproj	synapse	0.001	42	val	0.092733	0.194494	0.673446	nan	nan	nan	0.092733	478410	15283200	31.9458	3144000	3	2	1	0
normal	boundary	classil	erown	vecproj	synapse	0.0001	42	val	0.904783	0.0759169	0.673446	0.0135013	0.0153134	0.0199474	0.904783	478410	15283200	31.9458	3144000	3	2	1	0
