stage	variant	gran	nlr	seed	acc	forget
anchor	base	neuron	0.01	42	0.979672	0.004958
anchor	base	neuron	0.01	43	0.975181	0.008811
anchor	base	neuron	0.01	44	0.978690	0.005133
anchor	base	neuron	0	42	0.978401	0.002070
anchor	base	neuron	0	43	0.971657	0.007760
anchor	base	neuron	0	44	0.976019	0.003533
anchor	base	synapse	0.0001	42	0.978673	0.003830
anchor	base	synapse	0.0001	43	0.974492	0.006999
anchor	base	synapse	0.0001	44	0.976898	0.005395
anchor	base	synapse	0	42	0.978673	0.003830
anchor	base	synapse	0	43	0.974492	0.006999
anchor	base	synapse	0	44	0.976898	0.005395
tune	multi5	neuron	0.0001	42	0.975098	0.001901
tune	multi5	neuron	0.0003	42	0.975990	0.002531
tune	multi5	neuron	0.001	42	0.975708	0.005045
tune	multi5	neuron	0.003	42	0.976592	0.005384
tune	multi5	neuron	0.01	42	0.975914	0.006231
tune	multi5	synapse	0.0001	42	0.976700	0.002684
tune	multi5	synapse	0.0003	42	0.976886	0.002845
tune	multi5	synapse	0.001	42	0.976054	0.004533
tune	multi5	synapse	0.003	42	0.975570	0.005372
tune	multi5	synapse	0.01	42	0.976773	0.004702
tune	phase	neuron	0.0001	42	0.974400	0.002934
tune	phase	neuron	0.0003	42	0.974420	0.003407
tune	phase	neuron	0.001	42	0.974489	0.005722
tune	phase	neuron	0.003	42	0.975567	0.006901
tune	phase	neuron	0.01	42	0.975575	0.007066
tune	phase	synapse	0.0001	42	0.976005	0.003196
tune	phase	synapse	0.0003	42	0.976517	0.002692
tune	phase	synapse	0.001	42	0.976211	0.003713
tune	phase	synapse	0.003	42	0.976054	0.004713
tune	phase	synapse	0.01	42	0.975924	0.005888
test	multi5	neuron	0.003	42	0.979770	0.004966
test	multi5	neuron	0.003	43	0.975569	0.008422
test	multi5	neuron	0.003	44	0.978687	0.005136
test	multi5	neuron	0	42	0.978401	0.002070
test	multi5	neuron	0	43	0.971657	0.007760
test	multi5	neuron	0	44	0.976019	0.003533
test	multi5	synapse	0.0003	42	0.978785	0.004222
test	multi5	synapse	0.0003	43	0.975169	0.006316
test	multi5	synapse	0.0003	44	0.976483	0.005893
test	multi5	synapse	0	42	0.978673	0.003830
test	multi5	synapse	0	43	0.974492	0.006999
test	multi5	synapse	0	44	0.976898	0.005395
test	phase	neuron	0.01	42	0.980173	0.004477
test	phase	neuron	0.01	43	0.976668	0.007722
test	phase	neuron	0.01	44	0.979153	0.005883
test	phase	neuron	0	42	0.977796	0.002165
test	phase	neuron	0	43	0.971547	0.007564
test	phase	neuron	0	44	0.975913	0.003438
test	phase	synapse	0.0003	42	0.979275	0.003340
test	phase	synapse	0.0003	43	0.975163	0.006103
test	phase	synapse	0.0003	44	0.976857	0.004727
test	phase	synapse	0	42	0.979073	0.003139
test	phase	synapse	0	43	0.974475	0.006694
test	phase	synapse	0	44	0.976574	0.005119
