stage	gate	gran	nlr	seed	acc	forget
anchor	sigmoid	neuron	0.01	42	0.979672	0.004958
anchor	sigmoid	neuron	0	42	0.978401	0.002070
tune	binary	global	1e-05	42	0.976079	0.006066
tune	binary	global	0.0001	42	0.976079	0.006066
tune	binary	global	0.001	42	0.976079	0.006066
tune	binary	global	0.01	42	0.976079	0.006066
tune	binary	global	0.1	42	0.976079	0.006066
tune	binary	neuron	1e-05	42	0.976079	0.006066
tune	binary	neuron	0.0001	42	0.976079	0.006066
tune	binary	neuron	0.001	42	0.976079	0.006066
tune	binary	neuron	0.01	42	0.976079	0.006066
tune	binary	neuron	0.1	42	0.976079	0.006066
tune	binary	synapse	1e-05	42	0.976600	0.005723
tune	binary	synapse	0.0001	42	0.976600	0.005723
tune	binary	synapse	0.001	42	0.976600	0.005723
tune	binary	synapse	0.01	42	0.976600	0.005723
tune	binary	synapse	0.1	42	0.976430	0.005892
test	binary	global	0.1	42	0.980286	0.004972
test	binary	global	0.1	43	0.976374	0.008018
test	binary	global	0.1	44	0.978583	0.005347
open	binary-open	global	0.1	42	0.980286	0.004972
open	binary-open	neuron	0.1	42	0.980286	0.004972
open	binary-open	synapse	0.1	42	0.980384	0.004874
tune	binary-spread	global	1e-05	42	0.976079	0.006066
tune	binary-spread	global	0.0001	42	0.976079	0.006066
tune	binary-spread	global	0.001	42	0.976079	0.006066
tune	binary-spread	global	0.01	42	0.976079	0.006066
tune	binary-spread	global	0.1	42	0.976079	0.006066
tune	binary-spread	neuron	1e-05	42	0.974641	0.005417
tune	binary-spread	neuron	0.0001	42	0.974958	0.004936
tune	binary-spread	neuron	0.001	42	0.974423	0.006503
tune	binary-spread	neuron	0.01	42	0.975602	0.006374
tune	binary-spread	neuron	0.1	42	0.975416	0.006551
tune	binary-spread	synapse	1e-05	42	0.977024	0.002357
tune	binary-spread	synapse	0.0001	42	0.977197	0.002199
tune	binary-spread	synapse	0.001	42	0.976725	0.004040
tune	binary-spread	synapse	0.01	42	0.976438	0.005538
tune	binary-spread	synapse	0.1	42	0.976265	0.006058
test	binary-spread	global	0.1	42	0.980286	0.004972
test	binary-spread	global	0.1	43	0.976374	0.008018
test	binary-spread	global	0.1	44	0.978583	0.005347
test	dead-spread	global	0	42	0.980286	0.004972
test	dead-spread	global	0	43	0.976374	0.008018
test	dead-spread	global	0	44	0.978583	0.005347
test	binary-spread	neuron	0.01	42	0.980067	0.004562
test	binary-spread	neuron	0.01	43	0.974204	0.010079
test	binary-spread	neuron	0.01	44	0.978476	0.005650
test	dead-spread	neuron	0	42	0.974434	0.007550
test	dead-spread	neuron	0	43	0.962205	0.019171
test	dead-spread	neuron	0	44	0.960495	0.022100
test	binary-spread	synapse	0.0001	42	0.978673	0.003732
test	binary-spread	synapse	0.0001	43	0.973493	0.007998
test	binary-spread	synapse	0.0001	44	0.975901	0.006190
test	dead-spread	synapse	0	42	0.978770	0.003830
test	dead-spread	synapse	0	43	0.973389	0.007794
test	dead-spread	synapse	0	44	0.976112	0.005989
