stage	gran	init	ep	nlr	seed	acc	forget
tune	neuron	0.5	5	0.0001	42	0.974405	0.002260
tune	neuron	0.5	5	0.0003	42	0.974574	0.002426
tune	neuron	0.5	5	0.001	42	0.974787	0.003556
tune	neuron	0.5	5	0.003	42	0.975866	0.005056
tune	neuron	0.5	5	0.01	42	0.976071	0.005549
tune	neuron	0.5	10	0.0001	42	0.976410	0.005061
tune	neuron	0.5	10	0.0003	42	0.975748	0.006405
tune	neuron	0.5	10	0.001	42	0.974738	0.008770
tune	neuron	0.5	10	0.003	42	0.968745	0.015921
tune	neuron	0.5	10	0.01	42	0.963103	0.022056
tune	neuron	0.5	20	0.0001	42	0.964104	0.021249
tune	neuron	0.5	20	0.0003	42	0.960702	0.025317
tune	neuron	0.5	20	0.001	42	0.952661	0.035531
tune	neuron	0.5	20	0.003	42	0.945767	0.044268
tune	neuron	0.5	20	0.01	42	0.944391	0.046157
tune	neuron	0.9	5	0.0001	42	0.976414	0.004883
tune	neuron	0.9	5	0.0003	42	0.976245	0.005218
tune	neuron	0.9	5	0.001	42	0.976410	0.005388
tune	neuron	0.9	5	0.003	42	0.976588	0.005388
tune	neuron	0.9	5	0.01	42	0.976249	0.005896
tune	neuron	0.9	10	0.0001	42	0.966021	0.018811
tune	neuron	0.9	10	0.0003	42	0.965496	0.019513
tune	neuron	0.9	10	0.001	42	0.964637	0.020365
tune	neuron	0.9	10	0.003	42	0.962934	0.022403
tune	neuron	0.9	10	0.01	42	0.961917	0.023924
tune	neuron	0.9	20	0.0001	42	0.947301	0.042747
tune	neuron	0.9	20	0.0003	42	0.946946	0.043102
tune	neuron	0.9	20	0.001	42	0.946086	0.044293
tune	neuron	0.9	20	0.003	42	0.945069	0.045479
tune	neuron	0.9	20	0.01	42	0.944899	0.045826
tune	neuron	0.99	5	0.0001	42	0.976249	0.005896
tune	neuron	0.99	5	0.0003	42	0.976249	0.005896
tune	neuron	0.99	5	0.001	42	0.976249	0.005896
tune	neuron	0.99	5	0.003	42	0.976079	0.006066
tune	neuron	0.99	5	0.01	42	0.976079	0.006066
tune	neuron	0.99	10	0.0001	42	0.961917	0.023924
tune	neuron	0.99	10	0.0003	42	0.961917	0.023924
tune	neuron	0.99	10	0.001	42	0.961747	0.024259
tune	neuron	0.99	10	0.003	42	0.961747	0.024259
tune	neuron	0.99	10	0.01	42	0.961578	0.024428
tune	neuron	0.99	20	0.0001	42	0.945069	0.045657
tune	neuron	0.99	20	0.0003	42	0.945069	0.045657
tune	neuron	0.99	20	0.001	42	0.945069	0.045657
tune	neuron	0.99	20	0.003	42	0.945069	0.045657
tune	neuron	0.99	20	0.01	42	0.944730	0.045996
tune	synapse	0.5	5	0.0001	42	0.977186	0.002014
tune	synapse	0.5	5	0.0003	42	0.976700	0.002519
tune	synapse	0.5	5	0.001	42	0.976543	0.003188
tune	synapse	0.5	5	0.003	42	0.976211	0.004029
tune	synapse	0.5	5	0.01	42	0.975916	0.005026
tune	synapse	0.5	10	0.0001	42	0.975210	0.007592
tune	synapse	0.5	10	0.0003	42	0.974871	0.008108
tune	synapse	0.5	10	0.001	42	0.973640	0.009517
tune	synapse	0.5	10	0.003	42	0.971395	0.012435
tune	synapse	0.5	10	0.01	42	0.970023	0.014473
tune	synapse	0.5	20	0.0001	42	0.952971	0.034567
tune	synapse	0.5	20	0.0003	42	0.952801	0.034902
tune	synapse	0.5	20	0.001	42	0.952060	0.036645
tune	synapse	0.5	20	0.003	42	0.950975	0.038061
tune	synapse	0.5	20	0.01	42	0.952129	0.037590
tune	synapse	0.9	5	0.0001	42	0.976422	0.005553
tune	synapse	0.9	5	0.0003	42	0.976422	0.005553
tune	synapse	0.9	5	0.001	42	0.976600	0.005553
tune	synapse	0.9	5	0.003	42	0.976422	0.005553
tune	synapse	0.9	5	0.01	42	0.976422	0.005553
tune	synapse	0.9	10	0.0001	42	0.964290	0.020712
tune	synapse	0.9	10	0.0003	42	0.964120	0.020881
tune	synapse	0.9	10	0.001	42	0.964290	0.020712
tune	synapse	0.9	10	0.003	42	0.964290	0.020712
tune	synapse	0.9	10	0.01	42	0.963595	0.021571
tune	synapse	0.9	20	0.0001	42	0.945243	0.044971
tune	synapse	0.9	20	0.0003	42	0.945243	0.044971
tune	synapse	0.9	20	0.001	42	0.945412	0.044971
tune	synapse	0.9	20	0.003	42	0.945582	0.044967
tune	synapse	0.9	20	0.01	42	0.946578	0.043970
tune	synapse	0.99	5	0.0001	42	0.976249	0.005896
tune	synapse	0.99	5	0.0003	42	0.976249	0.005896
tune	synapse	0.99	5	0.001	42	0.976249	0.005896
tune	synapse	0.99	5	0.003	42	0.976249	0.005896
tune	synapse	0.99	5	0.01	42	0.976249	0.005896
tune	synapse	0.99	10	0.0001	42	0.961747	0.024259
tune	synapse	0.99	10	0.0003	42	0.961747	0.024259
tune	synapse	0.99	10	0.001	42	0.961747	0.024259
tune	synapse	0.99	10	0.003	42	0.961747	0.024259
tune	synapse	0.99	10	0.01	42	0.961747	0.024259
tune	synapse	0.99	20	0.0001	42	0.945069	0.045657
tune	synapse	0.99	20	0.0003	42	0.945069	0.045657
tune	synapse	0.99	20	0.001	42	0.945069	0.045657
tune	synapse	0.99	20	0.003	42	0.945069	0.045657
tune	synapse	0.99	20	0.01	42	0.945069	0.045657
test	neuron	0.5	5	0.01	42	0.979672	0.004958
test	neuron	0.5	5	0.01	43	0.975181	0.008811
test	neuron	0.5	5	0.01	44	0.978690	0.005133
test	neuron	0.5	5	0	42	0.978401	0.002070
test	neuron	0.5	5	0	43	0.971657	0.007760
test	neuron	0.5	5	0	44	0.976019	0.003533
test	neuron	0.9	5	0.003	42	0.980072	0.004972
test	neuron	0.9	5	0.003	43	0.976175	0.008116
test	neuron	0.9	5	0.003	44	0.978690	0.005341
test	neuron	0.9	5	0	42	0.979577	0.004643
test	neuron	0.9	5	0	43	0.975751	0.007567
test	neuron	0.9	5	0	44	0.978586	0.005139
test	neuron	0.99	5	0.0001	42	0.980286	0.004759
test	neuron	0.99	5	0.0001	43	0.976374	0.008010
test	neuron	0.99	5	0.0001	44	0.978583	0.005445
test	neuron	0.99	5	0	42	0.980286	0.004759
test	neuron	0.99	5	0	43	0.976374	0.008010
test	neuron	0.99	5	0	44	0.978583	0.005445
test	synapse	0.5	5	0.0001	42	0.978673	0.003830
test	synapse	0.5	5	0.0001	43	0.974492	0.006999
test	synapse	0.5	5	0.0001	44	0.976898	0.005395
test	synapse	0.5	5	0	42	0.978673	0.003830
test	synapse	0.5	5	0	43	0.974492	0.006999
test	synapse	0.5	5	0	44	0.976898	0.005395
test	synapse	0.9	5	0.001	42	0.979871	0.004860
test	synapse	0.9	5	0.001	43	0.975968	0.008232
test	synapse	0.9	5	0.001	44	0.978589	0.005335
test	synapse	0.9	5	0	42	0.979871	0.004860
test	synapse	0.9	5	0	43	0.975973	0.008125
test	synapse	0.9	5	0	44	0.978589	0.005335
test	synapse	0.99	5	0.0001	42	0.980286	0.004972
test	synapse	0.99	5	0.0001	43	0.976374	0.008010
test	synapse	0.99	5	0.0001	44	0.978583	0.005445
test	synapse	0.99	5	0	42	0.980286	0.004972
test	synapse	0.99	5	0	43	0.976374	0.008010
test	synapse	0.99	5	0	44	0.978583	0.005445
