stage	cell	opt	lr	ep	lam	nlr	seed	acc	forget
tune_main	naive	sgd	0.001	5	-	-	42	0.970786	0.002091
tune_main	naive	sgd	0.001	10	-	-	42	0.976713	0.003196
tune_main	naive	sgd	0.001	20	-	-	42	0.974570	0.008770
tune_main	naive	sgd	0.003	5	-	-	42	0.976079	0.006066
tune_main	naive	sgd	0.003	10	-	-	42	0.961578	0.024428
tune_main	naive	sgd	0.003	20	-	-	42	0.944730	0.045996
tune_main	naive	sgd	0.01	5	-	-	42	0.944856	0.043670
tune_main	naive	sgd	0.01	10	-	-	42	0.934847	0.056871
tune_main	naive	sgd	0.01	20	-	-	42	0.937399	0.056325
tune_main	naive	sgd	0.03	5	-	-	42	0.932617	0.058919
tune_main	naive	sgd	0.03	10	-	-	42	0.933473	0.060598
tune_main	naive	sgd	0.03	20	-	-	42	0.933215	0.061700
tune_main	naive	sgd	0.1	5	-	-	42	0.933202	0.061393
tune_main	naive	sgd	0.1	10	-	-	42	0.933210	0.062561
tune_main	naive	sgd	0.1	20	-	-	42	0.906516	0.089086
tune_main	er	sgd	0.001	5	-	-	42	0.968701	0.000000
tune_main	er	sgd	0.001	10	-	-	42	0.979153	0.000000
tune_main	er	sgd	0.001	20	-	-	42	0.982849	0.000827
tune_main	er	sgd	0.003	5	-	-	42	0.979512	0.001316
tune_main	er	sgd	0.003	10	-	-	42	0.984023	0.000508
tune_main	naive_unmasked	sgd	0.001	5	-	-	42	0.966286	0.008145
tune_main	naive_unmasked	sgd	0.001	10	-	-	42	0.975535	0.004170
tune_main	naive_unmasked	sgd	0.001	20	-	-	42	0.977495	0.005631
tune_main	naive_unmasked	sgd	0.003	5	-	-	42	0.977619	0.003963
tune_main	naive_unmasked	sgd	0.003	10	-	-	42	0.974765	0.011071
tune_main	naive_unmasked	sgd	0.003	20	-	-	42	0.968487	0.021074
tune_main	naive_unmasked	sgd	0.01	5	-	-	42	0.970185	0.017841
tune_main	naive_unmasked	sgd	0.01	10	-	-	42	0.966933	0.024443
tune_main	naive_unmasked	sgd	0.01	20	-	-	42	0.966599	0.027114
tune_main	naive_unmasked	sgd	0.03	5	-	-	42	0.963553	0.028155
tune_main	naive_unmasked	sgd	0.03	10	-	-	42	0.964750	0.028628
tune_main	naive_unmasked	sgd	0.03	20	-	-	42	0.964835	0.029721
tune_main	naive_unmasked	sgd	0.1	5	-	-	42	0.707626	0.286450
tune_main	naive_unmasked	sgd	0.1	10	-	-	42	0.776497	0.219275
tune_main	naive_unmasked	sgd	0.1	20	-	-	42	0.855434	0.141511
tune_main	er	sgd	0.003	20	-	-	42	0.984511	0.002374
tune_main	er	sgd	0.01	5	-	-	42	0.984687	0.002199
tune_main	er	sgd	0.01	10	-	-	42	0.987192	0.002365
tune_main	er	sgd	0.01	20	-	-	42	0.986497	0.005234
tune_main	er	sgd	0.03	5	-	-	42	0.987488	0.003225
tune_main	er	sgd	0.03	10	-	-	42	0.990708	0.002511
tune_main	er	sgd	0.03	20	-	-	42	0.988877	0.006231
tune_main	er	sgd	0.1	5	-	-	42	0.990919	0.002676
tune_main	er	sgd	0.1	10	-	-	42	0.991396	0.003673
tune_main	er	sgd	0.1	20	-	-	42	0.989898	0.005178
tune_main	er	sgd	0.3	5	-	-	42	0.990230	0.005200
tune_main	er	sgd	0.3	10	-	-	42	0.990068	0.006045
tune_main	er	sgd	0.3	20	-	-	42	0.988212	0.007723
tune_main	er	sgd	1	5	-	-	42	0.092733	0.000000
tune_main	er	sgd	1	10	-	-	42	0.092733	0.000000
tune_main	er	sgd	1	20	-	-	42	0.092733	0.000000
