cell	after_task	avg_seen	first_task	per_task
naive	0	0.999000	0.999000	0.9990
naive	1	0.985500	0.999000	0.9990,0.9720
naive	2	0.978333	0.999000	0.9990,0.9490,0.9870
naive	3	0.983250	0.999000	0.9990,0.9500,0.9900,0.9940
naive	4	0.980400	0.999000	0.9990,0.9530,0.9870,0.9910,0.9720
naive_unmasked	0	0.998000	0.998000	0.9980
naive_unmasked	1	0.984000	0.997000	0.9970,0.9710
naive_unmasked	2	0.982667	0.998000	0.9980,0.9610,0.9890
naive_unmasked	3	0.985250	0.997000	0.9970,0.9590,0.9910,0.9940
naive_unmasked	4	0.978800	0.997000	0.9970,0.9590,0.9860,0.9820,0.9700
er	0	0.999000	0.999000	0.9990
er	1	0.996500	1.000000	1.0000,0.9930
er	2	0.996333	1.000000	1.0000,0.9890,1.0000
er	3	0.995500	1.000000	1.0000,0.9850,0.9990,0.9980
er	4	0.995000	0.999000	0.9990,0.9890,0.9970,0.9960,0.9940
ewc	0	0.999000	0.999000	0.9990
ewc	1	0.985500	0.999000	0.9990,0.9720
ewc	2	0.980000	0.998000	0.9980,0.9530,0.9890
ewc	3	0.985500	0.999000	0.9990,0.9610,0.9890,0.9930
ewc	4	0.983400	0.999000	0.9990,0.9670,0.9890,0.9910,0.9710
ewc_lam0	0	0.999000	0.999000	0.9990
ewc_lam0	1	0.986000	0.999000	0.9990,0.9730
ewc_lam0	2	0.979333	0.999000	0.9990,0.9500,0.9890
ewc_lam0	3	0.983500	0.999000	0.9990,0.9510,0.9900,0.9940
ewc_lam0	4	0.980800	0.999000	0.9990,0.9540,0.9870,0.9910,0.9730
ewc_er	0	0.999000	0.999000	0.9990
ewc_er	1	0.996500	1.000000	1.0000,0.9930
ewc_er	2	0.995000	1.000000	1.0000,0.9860,0.9990
ewc_er	3	0.993750	1.000000	1.0000,0.9790,0.9980,0.9980
ewc_er	4	0.993600	0.999000	0.9990,0.9840,0.9960,0.9950,0.9940
dead-nobuf-neuron	0	0.999000	0.999000	0.9990
dead-nobuf-neuron	1	0.985500	0.999000	0.9990,0.9720
dead-nobuf-neuron	2	0.978333	0.999000	0.9990,0.9490,0.9870
dead-nobuf-neuron	3	0.983250	0.999000	0.9990,0.9500,0.9900,0.9940
dead-nobuf-neuron	4	0.980400	0.999000	0.9990,0.9530,0.9870,0.9910,0.9720
plast-nobuf-neuron	0	0.999000	0.999000	0.9990
plast-nobuf-neuron	1	0.985500	0.999000	0.9990,0.9720
plast-nobuf-neuron	2	0.977333	0.999000	0.9990,0.9470,0.9860
plast-nobuf-neuron	3	0.982750	0.999000	0.9990,0.9490,0.9890,0.9940
plast-nobuf-neuron	4	0.979800	0.999000	0.9990,0.9520,0.9860,0.9910,0.9710
dead-nobuf-synapse	0	0.999000	0.999000	0.9990
dead-nobuf-synapse	1	0.985500	0.999000	0.9990,0.9720
dead-nobuf-synapse	2	0.978333	0.999000	0.9990,0.9490,0.9870
dead-nobuf-synapse	3	0.983250	0.999000	0.9990,0.9500,0.9900,0.9940
dead-nobuf-synapse	4	0.980400	0.999000	0.9990,0.9530,0.9870,0.9910,0.9720
plast-nobuf-synapse	0	0.999000	0.999000	0.9990
plast-nobuf-synapse	1	0.983000	0.998000	0.9980,0.9680
plast-nobuf-synapse	2	0.976000	0.998000	0.9980,0.9460,0.9840
plast-nobuf-synapse	3	0.981750	0.999000	0.9990,0.9500,0.9850,0.9930
plast-nobuf-synapse	4	0.978800	0.998000	0.9980,0.9520,0.9860,0.9910,0.9670
dead-neuron	0	0.999000	0.999000	0.9990
dead-neuron	1	0.985500	0.999000	0.9990,0.9720
dead-neuron	2	0.978333	0.999000	0.9990,0.9490,0.9870
dead-neuron	3	0.983250	0.999000	0.9990,0.9500,0.9900,0.9940
dead-neuron	4	0.980400	0.999000	0.9990,0.9530,0.9870,0.9910,0.9720
plast-neuron	0	0.999000	0.999000	0.9990
plast-neuron	1	0.985500	0.999000	0.9990,0.9720
plast-neuron	2	0.977333	0.999000	0.9990,0.9470,0.9860
plast-neuron	3	0.982500	0.999000	0.9990,0.9490,0.9880,0.9940
plast-neuron	4	0.979800	0.999000	0.9990,0.9520,0.9860,0.9910,0.9710
dead-synapse	0	0.999000	0.999000	0.9990
dead-synapse	1	0.985500	0.999000	0.9990,0.9720
dead-synapse	2	0.978333	0.999000	0.9990,0.9490,0.9870
dead-synapse	3	0.983250	0.999000	0.9990,0.9500,0.9900,0.9940
dead-synapse	4	0.980400	0.999000	0.9990,0.9530,0.9870,0.9910,0.9720
plast-synapse	0	0.999000	0.999000	0.9990
plast-synapse	1	0.983000	0.998000	0.9980,0.9680
plast-synapse	2	0.976000	0.998000	0.9980,0.9460,0.9840
plast-synapse	3	0.981750	0.999000	0.9990,0.9500,0.9850,0.9930
plast-synapse	4	0.978800	0.998000	0.9980,0.9520,0.9860,0.9910,0.9670
plast-bufown-neuron	0	0.999000	0.999000	0.9990
plast-bufown-neuron	1	0.985500	0.999000	0.9990,0.9720
plast-bufown-neuron	2	0.977333	0.999000	0.9990,0.9470,0.9860
plast-bufown-neuron	3	0.982500	0.999000	0.9990,0.9490,0.9880,0.9940
plast-bufown-neuron	4	0.979800	0.999000	0.9990,0.9520,0.9860,0.9910,0.9710
plast-bufown-synapse	0	0.999000	0.999000	0.9990
plast-bufown-synapse	1	0.983000	0.998000	0.9980,0.9680
plast-bufown-synapse	2	0.976000	0.998000	0.9980,0.9460,0.9840
plast-bufown-synapse	3	0.981750	0.999000	0.9990,0.9500,0.9850,0.9930
plast-bufown-synapse	4	0.978800	0.998000	0.9980,0.9520,0.9860,0.9910,0.9670
dead-ercur-neuron	0	0.999000	0.999000	0.9990
dead-ercur-neuron	1	0.996500	1.000000	1.0000,0.9930
dead-ercur-neuron	2	0.996667	1.000000	1.0000,0.9900,1.0000
dead-ercur-neuron	3	0.995500	1.000000	1.0000,0.9850,0.9990,0.9980
dead-ercur-neuron	4	0.995000	0.999000	0.9990,0.9890,0.9970,0.9960,0.9940
plast-ercur-neuron	0	0.999000	0.999000	0.9990
plast-ercur-neuron	1	0.996500	1.000000	1.0000,0.9930
plast-ercur-neuron	2	0.996667	1.000000	1.0000,0.9910,0.9990
plast-ercur-neuron	3	0.994750	1.000000	1.0000,0.9830,0.9990,0.9970
plast-ercur-neuron	4	0.993400	0.999000	0.9990,0.9850,0.9960,0.9960,0.9910
dead-ercur-synapse	0	0.999000	0.999000	0.9990
dead-ercur-synapse	1	0.996500	1.000000	1.0000,0.9930
dead-ercur-synapse	2	0.996667	1.000000	1.0000,0.9900,1.0000
dead-ercur-synapse	3	0.995250	1.000000	1.0000,0.9840,0.9990,0.9980
dead-ercur-synapse	4	0.994800	0.999000	0.9990,0.9890,0.9960,0.9960,0.9940
plast-ercur-synapse	0	0.999000	0.999000	0.9990
