######## STANDARD (full MNIST) ########
Epoch  1/20 | val_acc=0.9608
Epoch  2/20 | val_acc=0.9739
Epoch  3/20 | val_acc=0.9755
Epoch  4/20 | val_acc=0.9785
Epoch  5/20 | val_acc=0.9777
Epoch  6/20 | val_acc=0.9780
Epoch  7/20 | val_acc=0.9776
Epoch  8/20 | val_acc=0.9793
Epoch  9/20 | val_acc=0.9790
Epoch 10/20 | val_acc=0.9801
Epoch 11/20 | val_acc=0.9821
Epoch 12/20 | val_acc=0.9793
Epoch 13/20 | val_acc=0.9772
Epoch 14/20 | val_acc=0.9803
Epoch 15/20 | val_acc=0.9802
Epoch 16/20 | val_acc=0.9801
Epoch 17/20 | val_acc=0.9801
Epoch 18/20 | val_acc=0.9815
Epoch 19/20 | val_acc=0.9812
Epoch 20/20 | val_acc=0.9797
Test accuracy: 0.9796
Epoch  1/20 | val_acc=0.9662
Epoch  2/20 | val_acc=0.9725
Epoch  3/20 | val_acc=0.9756
Epoch  4/20 | val_acc=0.9759
Epoch  5/20 | val_acc=0.9730
Epoch  6/20 | val_acc=0.9734
Epoch  7/20 | val_acc=0.9803
Epoch  8/20 | val_acc=0.9798
Epoch  9/20 | val_acc=0.9773
Epoch 10/20 | val_acc=0.9797
Epoch 11/20 | val_acc=0.9790
Epoch 12/20 | val_acc=0.9740
Epoch 13/20 | val_acc=0.9795
Epoch 14/20 | val_acc=0.9792
Epoch 15/20 | val_acc=0.9788
Epoch 16/20 | val_acc=0.9790
Epoch 17/20 | val_acc=0.9778
Epoch 18/20 | val_acc=0.9810
Epoch 19/20 | val_acc=0.9805
Epoch 20/20 | val_acc=0.9772
Test accuracy: 0.9792
Epoch  1/20 | val_acc=0.9658
Epoch  2/20 | val_acc=0.9691
Epoch  3/20 | val_acc=0.9752
Epoch  4/20 | val_acc=0.9761
Epoch  5/20 | val_acc=0.9775
Epoch  6/20 | val_acc=0.9767
Epoch  7/20 | val_acc=0.9785
Epoch  8/20 | val_acc=0.9798
Epoch  9/20 | val_acc=0.9796
Epoch 10/20 | val_acc=0.9810
Epoch 11/20 | val_acc=0.9807
Epoch 12/20 | val_acc=0.9779
Epoch 13/20 | val_acc=0.9780
Epoch 14/20 | val_acc=0.9813
Epoch 15/20 | val_acc=0.9805
Epoch 16/20 | val_acc=0.9805
Epoch 17/20 | val_acc=0.9821
Epoch 18/20 | val_acc=0.9805
Epoch 19/20 | val_acc=0.9808
Epoch 20/20 | val_acc=0.9809
Test accuracy: 0.9815
>>> std last_hidden            test_acc=0.9801±0.0010
Epoch  1/20 | val_acc=0.9727
Epoch  2/20 | val_acc=0.9721
Epoch  3/20 | val_acc=0.9721
Epoch  4/20 | val_acc=0.9764
Epoch  5/20 | val_acc=0.9760
Epoch  6/20 | val_acc=0.9773
Epoch  7/20 | val_acc=0.9734
Epoch  8/20 | val_acc=0.9781
Epoch  9/20 | val_acc=0.9807
Epoch 10/20 | val_acc=0.9815
Epoch 11/20 | val_acc=0.9790
Epoch 12/20 | val_acc=0.9755
Epoch 13/20 | val_acc=0.9767
Epoch 14/20 | val_acc=0.9789
Epoch 15/20 | val_acc=0.9791
Epoch 16/20 | val_acc=0.9806
Epoch 17/20 | val_acc=0.9747
Epoch 18/20 | val_acc=0.9795
Epoch 19/20 | val_acc=0.9784
Epoch 20/20 | val_acc=0.9817
Test accuracy: 0.9808
Epoch  1/20 | val_acc=0.9603
Epoch  2/20 | val_acc=0.9712
Epoch  3/20 | val_acc=0.9742
