### naive + masked-loss
After task 1/5 | seen tasks: [0.999]
After task 2/5 | seen tasks: [0.204, 0.988]
After task 3/5 | seen tasks: [0.113, 0.307, 0.996]
After task 4/5 | seen tasks: [0.035, 0.288, 0.871, 0.936]
After task 5/5 | seen tasks: [0.017, 0.104, 0.420, 0.701, 0.705]

avg_final_acc=0.3894 | forgetting=0.5355

### gain (bottleneck, learned-proj) + masked-loss
After task 1/5 | seen tasks: [0.999]
After task 2/5 | seen tasks: [0.146, 0.990]
After task 3/5 | seen tasks: [0.085, 0.549, 0.985]
After task 4/5 | seen tasks: [0.035, 0.328, 0.578, 0.987]
After task 5/5 | seen tasks: [0.000, 0.134, 0.162, 0.833, 0.862]

avg_final_acc=0.3984 | forgetting=0.5660

### plasticity (bottleneck, learned-proj) + masked-loss
After task 1/5 | seen tasks: [0.997]
After task 2/5 | seen tasks: [0.992, 0.800]
After task 3/5 | seen tasks: [0.958, 0.508, 0.777]
After task 4/5 | seen tasks: [0.957, 0.470, 0.741, 0.720]
After task 5/5 | seen tasks: [0.911, 0.312, 0.736, 0.692, 0.487]
[plasticity debug] alpha range [0.000, 1.000], alpha_mean=0.982, mod_gradnorm_mean=1.7261e-06

avg_final_acc=0.6276 | forgetting=0.1283

### weight_mask (bottleneck, learned-proj) + masked-loss
After task 1/5 | seen tasks: [0.999]
After task 2/5 | seen tasks: [0.188, 0.990]
After task 3/5 | seen tasks: [0.033, 0.376, 0.997]
After task 4/5 | seen tasks: [0.026, 0.247, 0.580, 0.968]
After task 5/5 | seen tasks: [0.015, 0.058, 0.327, 0.566, 0.833]

avg_final_acc=0.3599 | forgetting=0.5973

After task 1/5 | seen tasks: [0.999]
After task 2/5 | seen tasks: [0.204, 0.988]
After task 3/5 | seen tasks: [0.113, 0.307, 0.996]
After task 4/5 | seen tasks: [0.035, 0.288, 0.871, 0.936]
After task 5/5 | seen tasks: [0.017, 0.104, 0.420, 0.701, 0.705]

avg_final_acc=0.3894 | forgetting=0.5355
### gain (bottleneck, learned-proj) + SGD + masked-loss
After task 1/5 | seen tasks: [0.997]
After task 2/5 | seen tasks: [0.993, 0.805]
After task 3/5 | seen tasks: [0.947, 0.531, 0.776]
After task 4/5 | seen tasks: [0.927, 0.489, 0.718, 0.816]
After task 5/5 | seen tasks: [0.751, 0.215, 0.637, 0.906, 0.368]

avg_final_acc=0.5753 | forgetting=0.1951
### weight_mask (bottleneck, learned-proj) + SGD + masked-loss
After task 1/5 | seen tasks: [0.997]
After task 2/5 | seen tasks: [0.992, 0.795]
After task 3/5 | seen tasks: [0.965, 0.516, 0.774]
After task 4/5 | seen tasks: [0.959, 0.477, 0.740, 0.722]
After task 5/5 | seen tasks: [0.916, 0.319, 0.736, 0.691, 0.482]

avg_final_acc=0.6287 | forgetting=0.1252
