stage	mech	arm	opt	lr	ep	lam	seed	acc	forget	extra
tune_main	baseline	naive_masked	sgd	0.003	5	-	42	0.523244	0.068512	
tune_main	baseline	naive_masked	sgd	0.003	10	-	42	0.452503	0.075537	
tune_main	baseline	naive_masked	sgd	0.003	20	-	42	0.409374	0.101551	
tune_main	baseline	naive_masked	sgd	0.01	5	-	42	0.427626	0.097464	
tune_main	baseline	naive_masked	sgd	0.01	10	-	42	0.394866	0.126141	
tune_main	baseline	naive_masked	sgd	0.01	20	-	42	0.397453	0.139825	
tune_main	baseline	naive_masked	sgd	0.03	5	-	42	0.427402	0.142718	
tune_main	baseline	naive_masked	sgd	0.03	10	-	42	0.406321	0.160488	
tune_main	baseline	naive_masked	sgd	0.03	20	-	42	0.378193	0.196888	
tune_main	baseline	naive_masked	adam	0.0003	5	-	42	0.450756	0.315277	
tune_main	baseline	naive_masked	adam	0.0003	10	-	42	0.465343	0.296046	
tune_main	baseline	naive_masked	adam	0.0003	20	-	42	0.375779	0.344666	
tune_main	baseline	naive_masked	adam	0.001	5	-	42	0.376777	0.587600	
tune_main	baseline	naive_masked	adam	0.001	10	-	42	0.309508	0.597584	
tune_main	baseline	naive_masked	adam	0.001	20	-	42	0.306353	0.627697	
tune_main	baseline	naive_masked	adam	0.003	5	-	42	0.234601	0.696219	
tune_main	baseline	naive_masked	adam	0.003	10	-	42	0.292737	0.601328	
tune_main	baseline	naive_masked	adam	0.003	20	-	42	0.311566	0.559975	
tune_main	baseline	naive_masked	sgd	0.0003	5	-	42	0.513427	0.100188	
tune_main	baseline	naive_masked	sgd	0.0003	10	-	42	0.622963	0.127632	
tune_main	baseline	naive_masked	sgd	0.0003	20	-	42	0.609166	0.091347	
tune_main	baseline	naive_masked	sgd	0.001	5	-	42	0.623458	0.102976	
tune_main	baseline	naive_masked	sgd	0.001	10	-	42	0.557152	0.079217	
tune_main	baseline	naive_masked	sgd	0.001	20	-	42	0.492203	0.063889	
tune_main	baseline	naive_masked	adam	3e-05	5	-	42	0.578904	0.115975	
tune_main	baseline	naive_masked	adam	3e-05	10	-	42	0.539449	0.149617	
tune_main	baseline	naive_masked	adam	3e-05	20	-	42	0.532428	0.147071	
tune_main	baseline	naive_masked	adam	0.0001	5	-	42	0.534122	0.176382	
tune_main	baseline	naive_masked	adam	0.0001	10	-	42	0.494735	0.232816	
tune_main	baseline	naive_masked	adam	0.0001	20	-	42	0.358002	0.266408	
tune_main	baseline	naive_masked	adam	3e-06	5	-	42	0.600087	0.139477	
tune_main	baseline	naive_masked	adam	3e-06	10	-	42	0.606924	0.083715	
tune_main	baseline	naive_masked	adam	3e-06	20	-	42	0.579991	0.074078	
tune_main	baseline	naive_masked	adam	1e-05	5	-	42	0.603219	0.077708	
tune_main	baseline	naive_masked	adam	1e-05	10	-	42	0.555654	0.092312	
tune_main	baseline	naive_masked	adam	1e-05	20	-	42	0.560030	0.108557	
tune_lam	consolidation	er	sgd	0.03	5	0.001	42	0.897435	0.087485	boundaries=13
tune_lam	consolidation	er	sgd	0.03	5	0.01	42	0.897735	0.087185	boundaries=13
tune_lam	consolidation	er	sgd	0.03	5	0.1	42	0.898580	0.085841	boundaries=12
