standard|all4|-|sgd|std1	0.8849	nan	nan	0.0031	0.0034	0.1063
standard|all4|-|adam|std1	0.9804	nan	nan	0.0095	0.0092	0.0069
standard|vanilla|-|sgd|std1	0.8802	nan	nan	0.0000	0.0000	0.0000
standard|vanilla|-|adam|std1	0.9766	nan	nan	0.0000	0.0000	0.0000
head|DA_fast|er-own|sgd|std1	0.7275	0.7364	0.264	0.0009	0.0010	0.0388
head|DA_fast|er-own|adam|std1	0.8820	0.8836	0.358	0.0006	0.0008	0.0014
head|DA_fast|nobuf|sgd|std1	0.6328	0.6298	0.356	0.0005	0.0005	0.0093
head|DA_fast|nobuf|adam|std1	0.4134	0.4114	0.249	0.0003	0.0005	0.0011
head|DA_fast|er-own|sgd|std0	0.7224	0.7577	0.282	0.0023	0.0027	0.1089
head|DA_fast|er-own|adam|std0	0.8843	0.8910	0.286	0.0377	0.0667	0.0584
head|DA_fast|nobuf|sgd|std0	0.6343	0.6290	0.361	0.0005	0.0004	0.0159
head|DA_fast|nobuf|adam|std0	0.2962	0.3133	0.322	0.0763	0.0961	0.0778
head|ACh_ema|er-own|sgd|std1	0.0980	0.0980	0.212	nan	nan	nan
head|ACh_ema|er-own|adam|std1	0.8547	0.5670	0.342	2.1731	2.3416	0.9188
head|DA_fast|buf-own|sgd|std1	0.5985	0.5984	0.265	0.1855	0.2128	0.1180
head|DA_fast|buf-own|adam|std1	0.4156	0.4173	0.370	0.0327	0.0563	0.0902
head|DA_fast|buf-own|sgd|std0	0.5578	0.5061	0.268	0.3897	0.5089	0.2333
head|DA_fast|buf-own|adam|std0	0.4441	0.4036	0.331	0.1404	0.3492	0.2310
head|ACh_ema|nobuf|sgd|std1	0.0980	0.0980	0.212	nan	nan	nan
head|ACh_ema|nobuf|adam|std1	0.1981	0.1981	0.272	6.3562	7.4916	3.0750
head|ACh_ema|buf-own|sgd|std1	0.0980	0.0980	0.212	nan	nan	nan
head|ACh_ema|buf-own|adam|std1	0.1847	0.1842	0.323	208.8633	364.7650	168.1624
head|ACh_ema|er-own|sgd|std0	0.7587	0.7588	0.249	0.0053	0.0053	0.1868
head|ACh_ema|er-own|adam|std0	0.8890	0.8888	0.236	0.0004	0.0005	0.0026
head|ACh_ema|nobuf|sgd|std0	0.6181	0.6181	0.263	0.0072	0.0070	0.2442
head|ACh_ema|nobuf|adam|std0	0.4066	0.4066	0.311	0.0122	0.0176	0.0406
head|ACh_ema|buf-own|sgd|std0	0.5169	0.5167	0.234	1.1500	1.1921	1.7767
head|ACh_ema|buf-own|adam|std0	0.3891	0.3893	0.306	0.2175	0.3250	0.4609
head|ACh_vol_ps|er-own|sgd|std1	0.7248	0.7235	0.272	0.0006	0.0006	0.0251
head|ACh_vol_ps|er-own|adam|std1	0.8905	0.8904	0.264	0.0006	0.0006	0.0034
head|ACh_vol_ps|nobuf|sgd|std1	0.6303	0.6300	0.352	0.0002	0.0002	0.0018
