mech	metric	opt	driver	arm	seed	acc	forget	probe	g_h0	g_h1	g_out	msd	n_miss
gain	classil	adam	er	base	42	0.897549	0.097203	nan	0.000000	0.000000	0.000000	0.000000	0.000000
plast	taskil	sgd	er	base	42	0.994133	0.003065	nan	0.000000	0.000000	0.000000	0.000000	0.000000
wdecay	classil	sgd	er	base	42	0.903365	0.080919	nan	0.000000	0.000000	0.000000	0.000000	0.000000
gain	classil	adam	state01	dead	42	0.897549	0.097203	0.587900	0.000000	0.000000	0.000000	0.032208	0.000000
gain	taskil	adam	er	base	42	0.995213	0.003090	nan	0.000000	0.000000	0.000000	0.000000	0.000000
gain	taskil	adam	state01	dead	42	0.995213	0.003090	0.479500	0.000000	0.000000	0.000000	0.026777	0.000000
slope	classil	adam	er	base	42	0.897549	0.097203	nan	0.000000	0.000000	0.000000	0.000000	0.000000
slope	classil	adam	state01	dead	42	0.897549	0.097203	0.587900	0.000000	0.000000	0.000000	0.032208	0.000000
temp	classil	adam	er	base	42	0.897549	0.097203	nan	0.000000	0.000000	0.000000	0.000000	0.000000
temp	classil	adam	state01	dead	42	0.897549	0.097203	0.587900	0.000000	0.000000	0.000000	0.032208	0.000000
plast	taskil	sgd	state01	dead	42	0.994133	0.003065	0.429400	0.000000	0.000000	0.000000	0.023849	0.000000
selplast	taskil	sgd	naive	base	42	0.980695	0.004338	nan	0.000000	0.000000	0.000000	0.000000	0.000000
selplast	taskil	sgd	state01	dead	42	0.977349	0.003357	0.432800	0.500000	0.477500	0.600000	0.022234	0.000000
lossmod	classil	adam	er	base	42	0.897549	0.097203	nan	0.000000	0.000000	0.000000	0.000000	0.000000
lossmod	classil	adam	state01	dead	42	0.897841	0.097113	0.602100	0.000000	0.000000	0.000000	0.032431	0.000000
wdecay	classil	sgd	state01	dead	42	0.903365	0.080919	0.488400	0.000000	0.000000	0.000000	0.025596	0.000000
gain	classil	adam	act_frac	live	42	0.895695	0.099265	0.442400	0.045469	0.048808	0.066012	0.029277	0.000000
gain	classil	adam	act_norm	live	42	0.893000	0.101234	0.407500	0.231096	0.213933	0.352324	0.188266	0.000000
gain	classil	adam	act_entropy	live	42	0.904488	0.090270	0.489200	0.120805	0.123469	0.191724	0.025286	0.000000
gain	classil	adam	act_pr	live	42	0.897205	0.097536	0.483700	0.028218	0.032815	0.040324	0.020664	0.000000
gain	classil	adam	w_fro	live	42	0.901349	0.093216	0.211500	0.015224	0.017508	0.029210	0.000000	0.000000
gain	classil	adam	w_l1	live	42	0.895896	0.098359	0.211500	0.012287	0.013365	0.021142	0.000000	0.000000
gain	classil	adam	w_absmean	live	42	0.895097	0.099445	0.211500	0.012505	0.014325	0.021894	0.000000	0.000000
gain	classil	adam	w_absmax	live	42	0.888871	0.105686	0.211500	0.089001	0.093722	0.154794	0.000000	0.000000
gain	classil	adam	grad_norm	live	42	0.900340	0.094006	0.211500	0.000000	0.000000	0.000000	0.000000	161.000000
gain	classil	adam	grad_norm_layer	live	42	0.900102	0.094638	0.211500	0.000000	0.000000	0.000000	0.000000	161.000000
gain	classil	adam	grad_weight_ratio	live	42	0.092671	0.505102	0.211500	nan	nan	nan	0.000000	161.000000
gain	classil	adam	step_norm	live	42	0.904151	0.089392	0.211500	0.000000	0.000000	0.000000	0.000000	1.000000
gain	classil	adam	state01	live	42	0.898186	0.097299	0.625800	0.158965	0.182988	0.230489	0.026466	0.000000
