mech	metric	opt	driver	arm	seed	acc	forget	probe	g_h0	g_h1	g_out	msd	n_miss
gain	classil	adam	er	base	42	0.897549	0.097203	nan	0.000000	0.000000	0.000000	0.000000	0.000000
plast	taskil	sgd	er	base	42	0.994133	0.003065	nan	0.000000	0.000000	0.000000	0.000000	0.000000
wdecay	classil	sgd	er	base	42	0.903365	0.080919	nan	0.000000	0.000000	0.000000	0.000000	0.000000
gain	classil	adam	state01	dead	42	0.897549	0.097203	0.587900	0.000000	0.000000	0.000000	0.032208	0.000000
gain	taskil	adam	er	base	42	0.995213	0.003090	nan	0.000000	0.000000	0.000000	0.000000	0.000000
gain	taskil	adam	state01	dead	42	0.995213	0.003090	0.479500	0.000000	0.000000	0.000000	0.026777	0.000000
slope	classil	adam	er	base	42	0.897549	0.097203	nan	0.000000	0.000000	0.000000	0.000000	0.000000
slope	classil	adam	state01	dead	42	0.897549	0.097203	0.587900	0.000000	0.000000	0.000000	0.032208	0.000000
temp	classil	adam	er	base	42	0.897549	0.097203	nan	0.000000	0.000000	0.000000	0.000000	0.000000
temp	classil	adam	state01	dead	42	0.897549	0.097203	0.587900	0.000000	0.000000	0.000000	0.032208	0.000000
plast	taskil	sgd	state01	dead	42	0.994133	0.003065	0.429400	0.000000	0.000000	0.000000	0.023849	0.000000
selplast	taskil	sgd	naive	base	42	0.980695	0.004338	nan	0.000000	0.000000	0.000000	0.000000	0.000000
selplast	taskil	sgd	state01	dead	42	0.977349	0.003357	0.432800	0.500000	0.477500	0.600000	0.022234	0.000000
lossmod	classil	adam	er	base	42	0.897549	0.097203	nan	0.000000	0.000000	0.000000	0.000000	0.000000
lossmod	classil	adam	state01	dead	42	0.897841	0.097113	0.602100	0.000000	0.000000	0.000000	0.032431	0.000000
wdecay	classil	sgd	state01	dead	42	0.903365	0.080919	0.488400	0.000000	0.000000	0.000000	0.025596	0.000000
gain	taskil	adam	act_frac	live	42	0.995405	0.002999	0.428500	0.054732	0.052014	0.065691	0.031432	0.000000
gain	taskil	adam	act_norm	live	42	0.994204	0.004395	0.292900	0.197251	0.192541	0.194942	0.313699	0.000000
gain	taskil	adam	act_entropy	live	42	0.994313	0.004183	0.398400	0.104561	0.102919	0.110435	0.018457	0.000000
gain	taskil	adam	act_pr	live	42	0.995627	0.002776	0.380500	0.036571	0.034045	0.051528	0.027671	0.000000
gain	taskil	adam	w_fro	live	42	0.994293	0.003707	0.211500	0.008608	0.009320	0.013691	0.000000	0.000000
gain	taskil	adam	w_l1	live	42	0.994803	0.003500	0.211500	0.007090	0.007835	0.011529	0.000000	0.000000
gain	taskil	adam	w_absmean	live	42	0.995793	0.002510	0.211500	0.007533	0.007786	0.013541	0.000000	0.000000
gain	taskil	adam	w_absmax	live	42	0.995688	0.002915	0.211500	0.054693	0.052462	0.080291	0.000000	0.000000
gain	taskil	adam	grad_norm	live	42	0.994619	0.003476	0.211500	0.000000	0.000000	0.000000	0.000000	161.000000
gain	taskil	adam	grad_norm_layer	live	42	0.995192	0.003307	0.211500	0.000000	0.000000	0.000000	0.000000	161.000000
gain	taskil	adam	grad_weight_ratio	live	42	0.994005	0.004100	0.211500	0.000000	0.000000	0.000000	0.000000	161.000000
gain	taskil	adam	step_norm	live	42	0.995287	0.002821	0.211500	0.000000	0.000000	0.000000	0.000000	1.000000
gain	taskil	adam	state01	live	42	0.995195	0.003111	0.448700	0.169803	0.150361	0.153149	0.023895	0.000000
