mech	metric	opt	driver	arm	seed	acc	forget	probe	g_h0	g_h1	g_out	msd	n_miss
gain	classil	adam	er	base	42	0.897549	0.097203	nan	0.000000	0.000000	0.000000	0.000000	0.000000
plast	taskil	sgd	er	base	42	0.994133	0.003065	nan	0.000000	0.000000	0.000000	0.000000	0.000000
wdecay	classil	sgd	er	base	42	0.903365	0.080919	nan	0.000000	0.000000	0.000000	0.000000	0.000000
gain	classil	adam	state01	dead	42	0.897549	0.097203	0.587900	0.000000	0.000000	0.000000	0.032208	0.000000
gain	taskil	adam	er	base	42	0.995213	0.003090	nan	0.000000	0.000000	0.000000	0.000000	0.000000
gain	taskil	adam	state01	dead	42	0.995213	0.003090	0.479500	0.000000	0.000000	0.000000	0.026777	0.000000
slope	classil	adam	er	base	42	0.897549	0.097203	nan	0.000000	0.000000	0.000000	0.000000	0.000000
slope	classil	adam	state01	dead	42	0.897549	0.097203	0.587900	0.000000	0.000000	0.000000	0.032208	0.000000
temp	classil	adam	er	base	42	0.897549	0.097203	nan	0.000000	0.000000	0.000000	0.000000	0.000000
temp	classil	adam	state01	dead	42	0.897549	0.097203	0.587900	0.000000	0.000000	0.000000	0.032208	0.000000
plast	taskil	sgd	state01	dead	42	0.994133	0.003065	0.429400	0.000000	0.000000	0.000000	0.023849	0.000000
selplast	taskil	sgd	naive	base	42	0.980695	0.004338	nan	0.000000	0.000000	0.000000	0.000000	0.000000
selplast	taskil	sgd	state01	dead	42	0.977349	0.003357	0.432800	0.500000	0.477500	0.600000	0.022234	0.000000
lossmod	classil	adam	er	base	42	0.897549	0.097203	nan	0.000000	0.000000	0.000000	0.000000	0.000000
lossmod	classil	adam	state01	dead	42	0.897841	0.097113	0.602100	0.000000	0.000000	0.000000	0.032431	0.000000
wdecay	classil	sgd	state01	dead	42	0.903365	0.080919	0.488400	0.000000	0.000000	0.000000	0.025596	0.000000
lossmod	classil	adam	act_frac	live	42	0.897570	0.097179	0.456400	0.000000	0.000000	0.003484	0.036328	0.000000
lossmod	classil	adam	act_norm	live	42	0.894849	0.099799	0.395200	0.000000	0.000000	0.018152	0.249679	0.000000
lossmod	classil	adam	act_entropy	live	42	0.898587	0.096168	0.475400	0.000000	0.000000	0.006721	0.025747	0.000000
lossmod	classil	adam	act_pr	live	42	0.894624	0.099945	0.523500	0.000000	0.000000	0.001971	0.028065	0.000000
lossmod	classil	adam	w_fro	live	42	0.900920	0.094035	0.211500	0.000000	0.000000	0.000839	0.000000	0.000000
lossmod	classil	adam	w_l1	live	42	0.899928	0.095133	0.211500	0.000000	0.000000	0.000510	0.000000	0.000000
lossmod	classil	adam	w_absmean	live	42	0.901521	0.093030	0.211500	0.000000	0.000000	0.000493	0.000000	0.000000
lossmod	classil	adam	w_absmax	live	42	0.894748	0.099589	0.211500	0.000000	0.000000	0.005006	0.000000	0.000000
lossmod	classil	adam	grad_norm	live	42	0.898012	0.096320	0.211500	0.000000	0.000000	0.000000	0.000000	161.000000
lossmod	classil	adam	grad_norm_layer	live	42	0.896731	0.097701	0.211500	0.000000	0.000000	0.000000	0.000000	161.000000
lossmod	classil	adam	grad_weight_ratio	live	42	0.895659	0.098281	0.211500	0.000000	0.000000	0.000000	0.000000	161.000000
lossmod	classil	adam	step_norm	live	42	0.900276	0.094796	0.211500	0.000000	0.000000	0.000004	0.000000	1.000000
lossmod	classil	adam	state01	live	42	0.905067	0.089492	0.623500	0.000000	0.000000	0.012831	0.026439	0.000000
