mech	metric	opt	driver	arm	seed	acc	forget	probe	g_h0	g_h1	g_out	msd	n_miss
gain	classil	adam	er	base	42	0.897549	0.097203	nan	0.000000	0.000000	0.000000	0.000000	0.000000
plast	taskil	sgd	er	base	42	0.994133	0.003065	nan	0.000000	0.000000	0.000000	0.000000	0.000000
wdecay	classil	sgd	er	base	42	0.903365	0.080919	nan	0.000000	0.000000	0.000000	0.000000	0.000000
gain	classil	adam	state01	dead	42	0.897549	0.097203	0.587900	0.000000	0.000000	0.000000	0.032208	0.000000
gain	taskil	adam	er	base	42	0.995213	0.003090	nan	0.000000	0.000000	0.000000	0.000000	0.000000
gain	taskil	adam	state01	dead	42	0.995213	0.003090	0.479500	0.000000	0.000000	0.000000	0.026777	0.000000
slope	classil	adam	er	base	42	0.897549	0.097203	nan	0.000000	0.000000	0.000000	0.000000	0.000000
slope	classil	adam	state01	dead	42	0.897549	0.097203	0.587900	0.000000	0.000000	0.000000	0.032208	0.000000
temp	classil	adam	er	base	42	0.897549	0.097203	nan	0.000000	0.000000	0.000000	0.000000	0.000000
temp	classil	adam	state01	dead	42	0.897549	0.097203	0.587900	0.000000	0.000000	0.000000	0.032208	0.000000
plast	taskil	sgd	state01	dead	42	0.994133	0.003065	0.429400	0.000000	0.000000	0.000000	0.023849	0.000000
selplast	taskil	sgd	naive	base	42	0.980695	0.004338	nan	0.000000	0.000000	0.000000	0.000000	0.000000
selplast	taskil	sgd	state01	dead	42	0.977349	0.003357	0.432800	0.500000	0.477500	0.600000	0.022234	0.000000
lossmod	classil	adam	er	base	42	0.897549	0.097203	nan	0.000000	0.000000	0.000000	0.000000	0.000000
lossmod	classil	adam	state01	dead	42	0.897841	0.097113	0.602100	0.000000	0.000000	0.000000	0.032431	0.000000
wdecay	classil	sgd	state01	dead	42	0.903365	0.080919	0.488400	0.000000	0.000000	0.000000	0.025596	0.000000
plast	taskil	sgd	act_frac	live	42	0.994003	0.003702	0.349700	4.456230	0.470988	0.112353	0.034407	0.000000
plast	taskil	sgd	act_norm	live	42	0.092671	0.506344	0.211500	nan	nan	nan	0.000000	0.000000
plast	taskil	sgd	act_entropy	live	42	0.994125	0.003980	0.371800	7.479007	0.754149	0.189989	0.017033	0.000000
plast	taskil	sgd	act_pr	live	42	0.993412	0.003690	0.359400	2.430111	0.295049	0.062992	0.030929	0.000000
plast	taskil	sgd	w_fro	live	42	0.994231	0.003067	0.211500	0.362500	0.085077	0.017206	0.000000	0.000000
plast	taskil	sgd	w_l1	live	42	0.993824	0.003174	0.211500	0.288484	0.069222	0.014480	0.000000	0.000000
plast	taskil	sgd	w_absmean	live	42	0.994326	0.002774	0.211500	0.288497	0.068941	0.014416	0.000000	0.000000
plast	taskil	sgd	w_absmax	live	42	0.993539	0.003560	0.211500	2.664778	0.337035	0.068943	0.000000	0.000000
plast	taskil	sgd	grad_norm	live	42	0.994231	0.002967	0.211500	0.000000	0.000000	0.000000	0.000000	160.000000
plast	taskil	sgd	grad_norm_layer	live	42	0.994231	0.002970	0.211500	0.000000	0.000000	0.000000	0.000000	160.000000
plast	taskil	sgd	grad_weight_ratio	live	42	0.092671	0.705538	0.211500	nan	nan	nan	0.000000	160.000000
plast	taskil	sgd	step_norm	live	42	0.994240	0.003059	0.211500	0.000006	0.000001	0.000001	0.000000	1.000000
plast	taskil	sgd	state01	live	42	0.992178	0.005527	0.493400	16.496739	4.425822	0.329864	0.035113	0.000000
