mech	metric	opt	driver	arm	seed	acc	forget	probe	g_h0	g_h1	g_out	msd	n_miss
gain	classil	adam	er	base	42	0.897549	0.097203	nan	0.000000	0.000000	0.000000	0.000000	0.000000
plast	taskil	sgd	er	base	42	0.994133	0.003065	nan	0.000000	0.000000	0.000000	0.000000	0.000000
wdecay	classil	sgd	er	base	42	0.903365	0.080919	nan	0.000000	0.000000	0.000000	0.000000	0.000000
gain	classil	adam	state01	dead	42	0.897549	0.097203	0.587900	0.000000	0.000000	0.000000	0.032208	0.000000
gain	taskil	adam	er	base	42	0.995213	0.003090	nan	0.000000	0.000000	0.000000	0.000000	0.000000
gain	taskil	adam	state01	dead	42	0.995213	0.003090	0.479500	0.000000	0.000000	0.000000	0.026777	0.000000
slope	classil	adam	er	base	42	0.897549	0.097203	nan	0.000000	0.000000	0.000000	0.000000	0.000000
slope	classil	adam	state01	dead	42	0.897549	0.097203	0.587900	0.000000	0.000000	0.000000	0.032208	0.000000
temp	classil	adam	er	base	42	0.897549	0.097203	nan	0.000000	0.000000	0.000000	0.000000	0.000000
temp	classil	adam	state01	dead	42	0.897549	0.097203	0.587900	0.000000	0.000000	0.000000	0.032208	0.000000
plast	taskil	sgd	state01	dead	42	0.994133	0.003065	0.429400	0.000000	0.000000	0.000000	0.023849	0.000000
selplast	taskil	sgd	naive	base	42	0.980695	0.004338	nan	0.000000	0.000000	0.000000	0.000000	0.000000
selplast	taskil	sgd	state01	dead	42	0.977349	0.003357	0.432800	0.500000	0.477500	0.600000	0.022234	0.000000
lossmod	classil	adam	er	base	42	0.897549	0.097203	nan	0.000000	0.000000	0.000000	0.000000	0.000000
lossmod	classil	adam	state01	dead	42	0.897841	0.097113	0.602100	0.000000	0.000000	0.000000	0.032431	0.000000
wdecay	classil	sgd	state01	dead	42	0.903365	0.080919	0.488400	0.000000	0.000000	0.000000	0.025596	0.000000
selplast	taskil	sgd	act_frac	live	42	0.981666	0.003293	0.398600	0.025000	0.025000	0.100000	0.027880	0.000000
selplast	taskil	sgd	act_norm	live	42	0.981568	0.003284	0.355100	0.025000	0.025000	0.100000	0.160514	0.000000
selplast	taskil	sgd	act_entropy	live	42	0.981479	0.003569	0.433900	0.025000	0.020299	0.100000	0.010712	0.000000
selplast	taskil	sgd	act_pr	live	42	0.982262	0.002483	0.467500	0.025000	0.032500	0.100000	0.031356	0.000000
selplast	taskil	sgd	w_fro	live	42	0.979294	0.002361	0.211500	0.292500	0.302500	0.600000	0.000000	0.000000
selplast	taskil	sgd	w_l1	live	42	0.979384	0.002272	0.211500	0.322500	0.340000	0.600000	0.000000	0.000000
selplast	taskil	sgd	w_absmean	live	42	0.979384	0.002272	0.211500	0.322500	0.340000	0.600000	0.000000	0.000000
selplast	taskil	sgd	w_absmax	live	42	0.981673	0.002554	0.211500	0.042500	0.057500	0.300000	0.000000	0.000000
selplast	taskil	sgd	grad_norm	live	42	0.977447	0.003259	0.211500	0.500000	0.477500	0.600000	0.000000	160.000000
selplast	taskil	sgd	grad_norm_layer	live	42	0.977536	0.003384	0.211500	0.500000	0.477500	0.600000	0.000000	160.000000
selplast	taskil	sgd	grad_weight_ratio	live	42	0.981249	0.002364	0.211500	0.500000	0.477500	0.600000	0.000000	160.000000
selplast	taskil	sgd	step_norm	live	42	0.977741	0.003179	0.211500	0.500000	0.477469	0.600000	0.000000	1.000000
selplast	taskil	sgd	state01	live	42	0.980882	0.004165	0.460300	0.025000	0.020000	0.100000	0.024083	0.000000
