mech	metric	opt	driver	arm	seed	acc	forget	probe	g_h0	g_h1	g_out	msd	n_miss
gain	classil	adam	er	base	42	0.897549	0.097203	nan	0.000000	0.000000	0.000000	0.000000	0.000000
plast	taskil	sgd	er	base	42	0.994133	0.003065	nan	0.000000	0.000000	0.000000	0.000000	0.000000
wdecay	classil	sgd	er	base	42	0.903365	0.080919	nan	0.000000	0.000000	0.000000	0.000000	0.000000
gain	classil	adam	state01	dead	42	0.897549	0.097203	0.587900	0.000000	0.000000	0.000000	0.032208	0.000000
gain	taskil	adam	er	base	42	0.995213	0.003090	nan	0.000000	0.000000	0.000000	0.000000	0.000000
gain	taskil	adam	state01	dead	42	0.995213	0.003090	0.479500	0.000000	0.000000	0.000000	0.026777	0.000000
slope	classil	adam	er	base	42	0.897549	0.097203	nan	0.000000	0.000000	0.000000	0.000000	0.000000
slope	classil	adam	state01	dead	42	0.897549	0.097203	0.587900	0.000000	0.000000	0.000000	0.032208	0.000000
temp	classil	adam	er	base	42	0.897549	0.097203	nan	0.000000	0.000000	0.000000	0.000000	0.000000
temp	classil	adam	state01	dead	42	0.897549	0.097203	0.587900	0.000000	0.000000	0.000000	0.032208	0.000000
plast	taskil	sgd	state01	dead	42	0.994133	0.003065	0.429400	0.000000	0.000000	0.000000	0.023849	0.000000
selplast	taskil	sgd	naive	base	42	0.980695	0.004338	nan	0.000000	0.000000	0.000000	0.000000	0.000000
selplast	taskil	sgd	state01	dead	42	0.977349	0.003357	0.432800	0.500000	0.477500	0.600000	0.022234	0.000000
lossmod	classil	adam	er	base	42	0.897549	0.097203	nan	0.000000	0.000000	0.000000	0.000000	0.000000
lossmod	classil	adam	state01	dead	42	0.897841	0.097113	0.602100	0.000000	0.000000	0.000000	0.032431	0.000000
wdecay	classil	sgd	state01	dead	42	0.903365	0.080919	0.488400	0.000000	0.000000	0.000000	0.025596	0.000000
slope	classil	adam	act_frac	live	42	0.900908	0.093838	0.461300	0.033149	0.033544	0.000000	0.035294	0.000000
slope	classil	adam	act_norm	live	42	0.900019	0.094731	0.328600	0.072928	0.075662	0.000000	0.302791	0.000000
slope	classil	adam	act_entropy	live	42	0.898728	0.095612	0.460100	0.038874	0.040003	0.000000	0.025339	0.000000
slope	classil	adam	act_pr	live	42	0.894874	0.098947	0.356100	0.020425	0.020605	0.000000	0.028162	0.000000
slope	classil	adam	w_fro	live	42	0.896345	0.098407	0.211500	0.000341	0.000211	0.000000	0.000000	0.000000
slope	classil	adam	w_l1	live	42	0.899718	0.094328	0.211500	0.001523	0.001612	0.000000	0.000000	0.000000
slope	classil	adam	w_absmean	live	42	0.898891	0.094848	0.211500	0.000912	0.001001	0.000000	0.000000	0.000000
slope	classil	adam	w_absmax	live	42	0.895457	0.098786	0.211500	0.007979	0.007218	0.000000	0.000000	0.000000
slope	classil	adam	grad_norm	live	42	0.897105	0.097950	0.211500	0.000000	0.000000	0.000000	0.000000	161.000000
slope	classil	adam	grad_norm_layer	live	42	0.892056	0.102794	0.211500	0.000000	0.000000	0.000000	0.000000	161.000000
slope	classil	adam	grad_weight_ratio	live	42	0.896423	0.098329	0.211500	0.000000	0.000000	0.000000	0.000000	161.000000
slope	classil	adam	step_norm	live	42	0.894729	0.099632	0.211500	0.000000	0.000000	0.000000	0.000000	1.000000
slope	classil	adam	state01	live	42	0.896812	0.097336	0.667900	0.086191	0.087617	0.000000	0.026898	0.000000
