mech	metric	opt	driver	arm	seed	acc	forget	probe	g_h0	g_h1	g_out	msd	n_miss
gain	classil	adam	er	base	42	0.897549	0.097203	nan	0.000000	0.000000	0.000000	0.000000	0.000000
plast	taskil	sgd	er	base	42	0.994133	0.003065	nan	0.000000	0.000000	0.000000	0.000000	0.000000
wdecay	classil	sgd	er	base	42	0.903365	0.080919	nan	0.000000	0.000000	0.000000	0.000000	0.000000
gain	classil	adam	state01	dead	42	0.897549	0.097203	0.587900	0.000000	0.000000	0.000000	0.032208	0.000000
gain	taskil	adam	er	base	42	0.995213	0.003090	nan	0.000000	0.000000	0.000000	0.000000	0.000000
gain	taskil	adam	state01	dead	42	0.995213	0.003090	0.479500	0.000000	0.000000	0.000000	0.026777	0.000000
slope	classil	adam	er	base	42	0.897549	0.097203	nan	0.000000	0.000000	0.000000	0.000000	0.000000
slope	classil	adam	state01	dead	42	0.897549	0.097203	0.587900	0.000000	0.000000	0.000000	0.032208	0.000000
temp	classil	adam	er	base	42	0.897549	0.097203	nan	0.000000	0.000000	0.000000	0.000000	0.000000
temp	classil	adam	state01	dead	42	0.897549	0.097203	0.587900	0.000000	0.000000	0.000000	0.032208	0.000000
plast	taskil	sgd	state01	dead	42	0.994133	0.003065	0.429400	0.000000	0.000000	0.000000	0.023849	0.000000
selplast	taskil	sgd	naive	base	42	0.980695	0.004338	nan	0.000000	0.000000	0.000000	0.000000	0.000000
selplast	taskil	sgd	state01	dead	42	0.977349	0.003357	0.432800	0.500000	0.477500	0.600000	0.022234	0.000000
lossmod	classil	adam	er	base	42	0.897549	0.097203	nan	0.000000	0.000000	0.000000	0.000000	0.000000
lossmod	classil	adam	state01	dead	42	0.897841	0.097113	0.602100	0.000000	0.000000	0.000000	0.032431	0.000000
wdecay	classil	sgd	state01	dead	42	0.903365	0.080919	0.488400	0.000000	0.000000	0.000000	0.025596	0.000000
temp	classil	adam	act_frac	live	42	0.901190	0.092765	0.467000	0.000000	0.000000	0.027349	0.031294	0.000000
temp	classil	adam	act_norm	live	42	0.898791	0.096463	0.289200	0.000000	0.000000	0.081602	0.232818	0.000000
temp	classil	adam	act_entropy	live	42	0.899397	0.095569	0.487600	0.000000	0.000000	0.035926	0.023581	0.000000
temp	classil	adam	act_pr	live	42	0.898483	0.096466	0.537900	0.000000	0.000000	0.019211	0.027611	0.000000
temp	classil	adam	w_fro	live	42	0.897550	0.097407	0.211500	0.000000	0.000000	0.000891	0.000000	0.000000
temp	classil	adam	w_l1	live	42	0.900170	0.094695	0.211500	0.000000	0.000000	0.000205	0.000000	0.000000
temp	classil	adam	w_absmean	live	42	0.898743	0.096021	0.211500	0.000000	0.000000	0.000438	0.000000	0.000000
temp	classil	adam	w_absmax	live	42	0.901113	0.093548	0.211500	0.000000	0.000000	0.003541	0.000000	0.000000
temp	classil	adam	grad_norm	live	42	0.901082	0.094068	0.211500	0.000000	0.000000	0.000000	0.000000	161.000000
temp	classil	adam	grad_norm_layer	live	42	0.898243	0.096527	0.211500	0.000000	0.000000	0.000000	0.000000	161.000000
temp	classil	adam	grad_weight_ratio	live	42	0.897612	0.097271	0.211500	0.000000	0.000000	0.000000	0.000000	161.000000
temp	classil	adam	step_norm	live	42	0.899205	0.095071	0.211500	0.000000	0.000000	0.000000	0.000000	1.000000
temp	classil	adam	state01	live	42	0.904508	0.091054	0.613000	0.000000	0.000000	0.089823	0.024819	0.000000
