mech	metric	opt	driver	arm	seed	acc	forget	probe	g_h0	g_h1	g_out	msd	n_miss
gain	classil	adam	er	base	42	0.897549	0.097203	nan	0.000000	0.000000	0.000000	0.000000	0.000000
plast	taskil	sgd	er	base	42	0.994133	0.003065	nan	0.000000	0.000000	0.000000	0.000000	0.000000
wdecay	classil	sgd	er	base	42	0.903365	0.080919	nan	0.000000	0.000000	0.000000	0.000000	0.000000
gain	classil	adam	state01	dead	42	0.897549	0.097203	0.587900	0.000000	0.000000	0.000000	0.032208	0.000000
gain	taskil	adam	er	base	42	0.995213	0.003090	nan	0.000000	0.000000	0.000000	0.000000	0.000000
gain	taskil	adam	state01	dead	42	0.995213	0.003090	0.479500	0.000000	0.000000	0.000000	0.026777	0.000000
slope	classil	adam	er	base	42	0.897549	0.097203	nan	0.000000	0.000000	0.000000	0.000000	0.000000
slope	classil	adam	state01	dead	42	0.897549	0.097203	0.587900	0.000000	0.000000	0.000000	0.032208	0.000000
temp	classil	adam	er	base	42	0.897549	0.097203	nan	0.000000	0.000000	0.000000	0.000000	0.000000
temp	classil	adam	state01	dead	42	0.897549	0.097203	0.587900	0.000000	0.000000	0.000000	0.032208	0.000000
plast	taskil	sgd	state01	dead	42	0.994133	0.003065	0.429400	0.000000	0.000000	0.000000	0.023849	0.000000
selplast	taskil	sgd	naive	base	42	0.980695	0.004338	nan	0.000000	0.000000	0.000000	0.000000	0.000000
selplast	taskil	sgd	state01	dead	42	0.977349	0.003357	0.432800	0.500000	0.477500	0.600000	0.022234	0.000000
lossmod	classil	adam	er	base	42	0.897549	0.097203	nan	0.000000	0.000000	0.000000	0.000000	0.000000
lossmod	classil	adam	state01	dead	42	0.897841	0.097113	0.602100	0.000000	0.000000	0.000000	0.032431	0.000000
wdecay	classil	sgd	state01	dead	42	0.903365	0.080919	0.488400	0.000000	0.000000	0.000000	0.025596	0.000000
wdecay	classil	sgd	act_frac	live	42	0.919368	0.064202	0.304000	0.110946	0.119697	0.218950	0.032212	0.000000
wdecay	classil	sgd	act_norm	live	42	0.916888	0.068380	0.425700	0.232256	0.262610	0.502350	0.220674	0.000000
wdecay	classil	sgd	act_entropy	live	42	0.916340	0.068941	0.321200	0.127901	0.144168	0.260009	0.011762	0.000000
wdecay	classil	sgd	act_pr	live	42	0.923439	0.059620	0.312300	0.086506	0.092089	0.165731	0.031371	0.000000
wdecay	classil	sgd	w_fro	live	42	0.914909	0.069579	0.211500	0.025929	0.025657	0.039543	0.000000	0.000000
wdecay	classil	sgd	w_l1	live	42	0.913161	0.071630	0.211500	0.021439	0.021161	0.031723	0.000000	0.000000
wdecay	classil	sgd	w_absmean	live	42	0.913261	0.071529	0.211500	0.021454	0.021176	0.031713	0.000000	0.000000
wdecay	classil	sgd	w_absmax	live	42	0.923183	0.060087	0.211500	0.086435	0.088333	0.162449	0.000000	0.000000
wdecay	classil	sgd	grad_norm	live	42	0.902462	0.083562	0.211500	0.000000	0.000000	0.000000	0.000000	160.000000
wdecay	classil	sgd	grad_norm_layer	live	42	0.903498	0.082425	0.211500	0.000000	0.000000	0.000000	0.000000	160.000000
wdecay	classil	sgd	grad_weight_ratio	live	42	0.917307	0.067178	0.211500	0.000000	0.000000	0.000000	0.000000	160.000000
wdecay	classil	sgd	step_norm	live	42	0.903303	0.082522	0.211500	0.000018	0.000017	0.000020	0.000000	1.000000
wdecay	classil	sgd	state01	live	42	0.916495	0.070508	0.513000	0.156920	0.186766	0.341592	0.025102	0.000000
