regime	arm	cap	seed	acc	forget	backbone_params	extra_params	param_ratio	buffer_bytes	fwd_train	bwd_train	fwd_infer	bwd_infer
normal	fp32	1000	42	0.897549	0.0972032	478410	0	0	3144000	1	1	1	0
normal	fp32	1000	43	0.903204	0.091441	478410	0	0	3144000	1	1	1	0
normal	fp32	1000	44	0.907919	0.0869602	478410	0	0	3144000	1	1	1	0
budget	fp32	200	42	0.767866	0.228719	478410	0	0	628800	1	1	1	0
budget	fp32	200	43	0.767735	0.228559	478410	0	0	628800	1	1	1	0
budget	fp32	200	44	0.766476	0.229111	478410	0	0	628800	1	1	1	0
normal	u8bytes	3969	42	0.943213	0.0510506	478410	0	0	3143448	1	1	1	0
normal	u8bytes	3969	43	0.95341	0.0394258	478410	0	0	3143448	1	1	1	0
normal	u8bytes	3969	44	0.951355	0.0410508	478410	0	0	3143448	1	1	1	0
budget	u8bytes	793	42	0.893472	0.102403	478410	0	0	628056	1	1	1	0
budget	u8bytes	793	43	0.889972	0.105601	478410	0	0	628056	1	1	1	0
budget	u8bytes	793	44	0.885442	0.109541	478410	0	0	628056	1	1	1	0
normal	u8count	1000	42	0.897549	0.0972032	478410	0	0	792000	1	1	1	0
budget	u8count	200	42	0.767866	0.228719	478410	0	0	158400	1	1	1	0
budget	fp32big	793	42	0.893472	0.102403	478410	0	0	2493192	1	1	1	0
budget	fp32big	793	43	0.889972	0.105601	478410	0	0	2493192	1	1	1	0
budget	fp32big	793	44	0.885442	0.109541	478410	0	0	2493192	1	1	1	0
